"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;106820;359;6150220.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;92372;35;1030032.5;0.941791263664625;0.235793367586079;-0.254339712946591;0.799233121777112;0.593262611429247;1.49507278434113
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;59085;39;895980;0.682029116690011;0.18814552634808;-2.03397304407949;0.0419543133564395;0.471686181392993;0.986172023609479
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;8794;11;316824;0.450034043321306;0.311095547651272;-2.56651711437902;0.0102725555835856;0.244590935127533;0.828038210175371
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;42527;13;543318;0.343268349659115;0.295724331642012;-3.61567400031467;0.000299567176950199;0.192270543788187;0.612850817166785
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34782;46;1346919;0.436760944251146;0.165010528698681;-5.02009949562763;5.16447224754034e-07;0.3160724039512;0.60353298813333
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;26401;23;731551;0.421503388757708;0.232013816208275;-3.72360351609276;0.000196399279284876;0.267491848636002;0.664188862726784
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;25863;20;650087;0.514287811694057;0.25621451345279;-2.59537298003258;0.00944883206101664;0.311254789306499;0.849760268256022
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;28925;26;916328;1.25125263627168;0.269759851545175;0.830906294141306;0.406026567695296;0.737437135096912;2.12307339197271
