"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";3;"contr.treatment";"treatment";TRUE;200039;0;7344292;NA;NA;NA;NA;NA;NA
"periodV1 14D+";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;102365;0;1517468;1.00000000543938;79863.6735176731;6.81082516357886e-14;0.999999999999946;0;Inf
"periodV2 7D+";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;54925;1;4064436;213076470.116545;15058.2577749766;0.00127353123850378;0.998983869361772;0;Inf
