"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;103046;121;5874401.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;88960;3;990999.5;0.995492068979832;0.816497110152215;-0.00553354362744472;0.995584893504982;0.200925105108571;4.9322082418036
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;56816;16;808583;2.80797699095665;0.336741104550803;3.06604770867962;0.00216908701456527;1.45130602072799;5.4328547316209
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;6658;8;156916;2.43226599846302;0.390463242797375;2.27633035602339;0.0228262445561902;1.13148331415274;5.22846233195154
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;42437;1;543095;0.133520466510064;1.0270274205148;-1.96051289915065;0.0499358718001937;0.0178377681912263;0.999436408520769
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34798;9;1348799;0.343532603369241;0.359669697072075;-2.97070691617227;0.0029711517880791;0.16975264868458;0.695215364780159
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;26420;8;731564;0.391335691137487;0.387123399625692;-2.42348962406892;0.0153721923901964;0.183243856674061;0.835736738669792
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;25845;13;649573;0.381988279013994;0.31146138922297;-3.08983837918606;0.00200265439049539;0.20745964098474;0.703341838496704
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;28914;27;915868;0.952573398564833;0.253269750308226;-0.191843345011847;0.847864917105393;0.579848912499537;1.56488364484788
