"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;102979;352;5851595.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;88960;35;990846.5;1.0559299556558;0.24264071858192;0.224289861696793;0.822531764464508;0.656294789728308;1.69891348933739
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;56786;35;806448;0.652929834000886;0.197771674650173;-2.15544317957988;0.031127170495862;0.443121638900949;0.962077521616404
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;6641;7;156191;0.518028126215146;0.389235136762338;-1.68979025366275;0.0910680890808957;0.241565990638277;1.1108895703444
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;42408;13;542508;0.331529956070264;0.296121948735463;-3.72831906899846;0.000192761227697549;0.185551007298538;0.592355241678159
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34750;46;1345564;0.424162317443054;0.165525491147834;-5.18131114974027;2.20331593885386e-07;0.306645453299378;0.586715601365896
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;26351;23;729580;0.394723894176839;0.232284724258233;-4.00185058896693;6.28489832562236e-05;0.250364241795248;0.622321109104511
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;25774;20;647682;0.474529260964205;0.256251284978663;-2.90898832352421;0.00362600402450789;0.287171613511472;0.784123530727174
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;28811;26;912851;1.19722860966644;0.269454092755008;0.668052179200906;0.504100285637481;0.706020557650894;2.03019066268122
