"term";"estimate";"std.error";"statistic";"p.value"
"periodV1 14D+";-0.161459422349064;0.107114495346607;-1.50735362031632;0.13
"periodV2 7D+";-0.607150363414237;0.131797104704688;-4.60670486483486;4.1e-06
