"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";" -0.99426913";"  0.30509054";"Inf";"-1.672123e+00";"  -0.31641540";"V1 14D+";"no-vax";"141";" 65878";"2737009.0";" 12";" 40987";" 583282";"14731.53";"14754.09";"355460";"0.0004223781";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";" -1.39909663";"  0.22636249";"Inf";"-1.902031e+00";"  -0.89616181";"V2 7D+";"no-vax";"141";" 65878";"2737009.0";" 23";" 20030";"1495426";"14731.53";"14754.09";"355460";"0.0004223781";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" -0.31483678";"  0.15373705";"Inf";"-6.564116e-01";"   0.02673799";"V1 14D+";"no-vax";"320";"133229";"4432682.0";" 56";" 61161";" 915840";"14731.53";"14754.09";"355460";"0.0004223781";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" -0.55455253";"  0.11020931";"Inf";"-7.994169e-01";"  -0.30968819";"V2 7D+";"no-vax";"320";"133229";"4432682.0";"122";" 34175";"2481664";"14731.53";"14754.09";"355460";"0.0004223781";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";" -0.85516245";"  0.22931650";"Inf";"-1.364661e+00";"  -0.34566438";"V1 14D+";"no-vax";"195";" 89457";"3664044.0";" 22";" 52790";" 889515";"14718.07";"14740.64";"355460";"0.0001562708";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";" -1.28266838";"  0.18771641";"Inf";"-1.699739e+00";"  -0.86559787";"V2 7D+";"no-vax";"195";" 89457";"3664044.0";" 34";" 26283";"1909523";"14718.07";"14740.64";"355460";"0.0001562708";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" -0.11629592";"  0.17073144";"Inf";"-4.956290e-01";"   0.26303719";"V1 14D+";"no-vax";"266";"109650";"3505647.0";" 46";" 49358";" 609607";"14718.07";"14740.64";"355460";"0.0001562708";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" -0.53292560";"  0.11637210";"Inf";"-7.914825e-01";"  -0.27436870";"V2 7D+";"no-vax";"266";"109650";"3505647.0";"111";" 27922";"2067567";"14718.07";"14740.64";"355460";"0.0001562708";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";" -0.58862495";"  0.18428061";"Inf";"-9.980618e-01";"  -0.17918813";"V1 14D+";"no-vax";"233";"115575";"4580721.0";" 36";" 65492";"1165396";"14694.69";"14717.25";"355460";"0.0065036169";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";" -1.08968141";"  0.16083158";"Inf";"-1.447019e+00";"  -0.73234392";"V2 7D+";"no-vax";"233";"115575";"4580721.0";" 48";" 32496";"2310668";"14694.69";"14717.25";"355460";"0.0065036169";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age 70+";"  0.05057988";"  0.20655765";"Inf";"-4.083523e-01";"   0.50951207";"V1 14D+";"no-vax";"228";" 83532";"2588970.0";" 32";" 36656";" 333726";"14694.69";"14717.25";"355460";"0.0065036169";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age 70+";" -0.60745134";"  0.12407450";"Inf";"-8.831215e-01";"  -0.33178118";"V2 7D+";"no-vax";"228";" 83532";"2588970.0";" 97";" 21709";"1666422";"14694.69";"14717.25";"355460";"0.0065036169";"age_bin_70"
"(V1 14D+) - (no-vax)";"Age < 75";" -0.52679354";"  0.16823408";"Inf";"-9.005780e-01";"  -0.15300909";"V1 14D+";"no-vax";"285";"143164";"5397404.0";" 44";" 76941";"1296146";"14693.44";"14716.01";"355460";"0.0188869450";"age_bin_75"
"(V2 7D+) - (no-vax)";"Age < 75";" -0.96444677";"  0.13767745";"Inf";"-1.270340e+00";"  -0.65855340";"V2 7D+";"no-vax";"285";"143164";"5397404.0";" 68";" 38751";"2773521";"14693.44";"14716.01";"355460";"0.0188869450";"age_bin_75"
"(V1 14D+) - (no-vax)";"Age 75+";"  0.17291280";"  0.23935382";"Inf";"-3.588863e-01";"   0.70471192";"V1 14D+";"no-vax";"176";" 55943";"1772287.0";" 24";" 25207";" 202976";"14693.44";"14716.01";"355460";"0.0188869450";"age_bin_75"
"(V2 7D+) - (no-vax)";"Age 75+";" -0.62434637";"  0.13913333";"Inf";"-9.334744e-01";"  -0.31521831";"V2 7D+";"no-vax";"176";" 55943";"1772287.0";" 77";" 15454";"1203569";"14693.44";"14716.01";"355460";"0.0188869450";"age_bin_75"
"(V1 14D+) - (no-vax)";"Age < 80";" -0.51391021";"  0.15605191";"Inf";"-8.606282e-01";"  -0.16719225";"V1 14D+";"no-vax";"352";"167210";"6080478.0";" 52";" 86104";"1375132";"14730.69";"14753.25";"355460";"0.0202916596";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age < 80";" -0.90923931";"  0.12070907";"Inf";"-1.177432e+00";"  -0.64104648";"V2 7D+";"no-vax";"352";"167210";"6080478.0";" 91";" 44347";"3214498";"14730.69";"14753.25";"355460";"0.0202916596";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age 80+";"  0.25039750";"  0.28765450";"Inf";"-3.887166e-01";"   0.88951163";"V1 14D+";"no-vax";"109";" 31897";"1089213.0";" 16";" 16044";" 123990";"14730.69";"14753.25";"355460";"0.0202916596";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age 80+";" -0.51855511";"  0.16854427";"Inf";"-8.930287e-01";"  -0.14408148";"V2 7D+";"no-vax";"109";" 31897";"1089213.0";" 54";"  9858";" 762592";"14730.69";"14753.25";"355460";"0.0202916596";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";" -0.43790945";"  0.14733805";"Inf";"-7.652668e-01";"  -0.11055205";"V1 14D+";"no-vax";"388";"183881";"6631516.0";" 60";" 94183";"1438898";"14734.51";"14757.07";"355460";"0.5721622622";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";" -0.80679496";"  0.11033439";"Inf";"-1.051937e+00";"  -0.56165273";"V2 7D+";"no-vax";"388";"183881";"6631516.0";"113";" 49348";"3592361";"14734.51";"14757.07";"355460";"0.5721622622";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";" -0.05114648";"  0.38716811";"Inf";"-9.113611e-01";"   0.80906815";"V1 14D+";"no-vax";" 73";" 15226";" 538175.0";"  8";"  7965";"  60224";"14734.51";"14757.07";"355460";"0.5721622622";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" -0.65261558";"  0.21372934";"Inf";"-1.127482e+00";"  -0.17774923";"V2 7D+";"no-vax";" 73";" 15226";" 538175.0";" 32";"  4857";" 384729";"14734.51";"14757.07";"355460";"0.5721622622";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" -0.31967148";"  0.17875528";"Inf";"-7.168320e-01";"   0.07748909";"V1 14D+";"no-vax";"236";" 97787";"3330276.0";" 40";" 47309";" 691502";"14777.31";"14799.88";"355460";"0.0462352933";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" -0.55520283";"  0.12658077";"Inf";"-8.364415e-01";"  -0.27396419";"V2 7D+";"no-vax";"236";" 97787";"3330276.0";" 91";" 25340";"1857042";"14777.31";"14799.88";"355460";"0.0462352933";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";" -0.62216402";"  0.20681962";"Inf";"-1.081678e+00";"  -0.16264978";"V1 14D+";"no-vax";"225";"101320";"3839415.0";" 28";" 54839";" 807620";"14777.31";"14799.88";"355460";"0.0462352933";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";" -1.01230664";"  0.15388685";"Inf";"-1.354214e+00";"  -0.67039904";"V2 7D+";"no-vax";"225";"101320";"3839415.0";" 54";" 28865";"2120048";"14777.31";"14799.88";"355460";"0.0462352933";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";" -0.46453174";"  0.13970481";"Inf";"-7.749295e-01";"  -0.15413396";"V1 14D+";"no-vax";"446";"184744";"6649654.0";" 68";"101547";"1487021";"14790.59";"14808.64";"355460";"0.0060902484";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";" -0.84684279";"  0.10574067";"Inf";"-1.081779e+00";"  -0.61190694";"V2 7D+";"no-vax";"446";"184744";"6649654.0";"123";" 38273";"3379960";"14790.59";"14808.64";"355460";"0.0060902484";"covid_voc"
"(V1 14D+) - (no-vax)";"Delta VOC";"-11.89585069";"711.88544316";"Inf";"-1.593571e+03";"1569.77953711";"V1 14D+";"no-vax";" 15";" 14363";" 520037.0";"  0";"   601";"  12101";"14790.59";"14808.64";"355460";"0.0060902484";"covid_voc"
"(V2 7D+) - (no-vax)";"Delta VOC";"  0.23076265";"  0.33491183";"Inf";"-5.133484e-01";"   0.97487367";"V2 7D+";"no-vax";" 15";" 14363";" 520037.0";" 22";" 15932";" 597130";"14790.59";"14808.64";"355460";"0.0060902484";"covid_voc"
"(V1 14D+) - (no-vax)";"0";" -0.55356304";"  0.24440253";"Inf";"-1.096579e+00";"  -0.01054664";"V1 14D+";"no-vax";" 75";"147982";"2500846.0";" 26";" 97880";"1174137";"14710.81";"14733.38";"355460";"0.0027720035";"vac_heterologous"
"(V2 7D+) - (no-vax)";"0";"  0.11344566";"  0.16770861";"Inf";"-2.591713e-01";"   0.48606260";"V2 7D+";"no-vax";" 75";"147982";"2500846.0";"145";" 53982";"3968651";"14710.81";"14733.38";"355460";"0.0027720035";"vac_heterologous"
"(V1 14D+) - (no-vax)";"1";"  0.35845861";"  0.16337031";"Inf";"-4.519462e-03";"   0.72143668";"V1 14D+";"no-vax";"386";" 51125";"4668845.0";" 42";"  4268";" 324985";"14710.81";"14733.38";"355460";"0.0027720035";"vac_heterologous"
"(V2 7D+) - (no-vax)";"1";"-12.44277182";"635.47127253";"Inf";"-1.424340e+03";"1399.45471965";"V2 7D+";"no-vax";"386";" 51125";"4668845.0";"  0";"   223";"   8439";"14710.81";"14733.38";"355460";"0.0027720035";"vac_heterologous"
"(V1 14D+) - (no-vax)";"< 1y";" -0.36541081";"  0.21092513";"Inf";"-8.340467e-01";"   0.10322510";"V1 14D+";"no-vax";"163";" 50833";"1858072.0";" 28";" 28844";" 417534";"14777.16";"14799.73";"355460";"0.0904794102";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"< 1y";" -1.03877745";"  0.18061838";"Inf";"-1.440077e+00";"  -0.63747742";"V2 7D+";"no-vax";"163";" 50833";"1858072.0";" 39";" 14410";"1028040";"14777.16";"14799.73";"355460";"0.0904794102";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"1-5yr";" -0.51665166";"  0.17615711";"Inf";"-9.080396e-01";"  -0.12526374";"V1 14D+";"no-vax";"298";"148274";"5311619.0";" 40";" 73304";"1081588";"14777.16";"14799.73";"355460";"0.0904794102";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"1-5yr";" -0.62687361";"  0.11620941";"Inf";"-8.850690e-01";"  -0.36867820";"V2 7D+";"no-vax";"298";"148274";"5311619.0";"106";" 39795";"2949050";"14777.16";"14799.73";"355460";"0.0904794102";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"< 2y";" -0.43370767";"  0.17970064";"Inf";"-8.329687e-01";"  -0.03444669";"V1 14D+";"no-vax";"251";" 91405";"3336730.0";" 39";" 49705";" 724651";"14788.00";"14810.57";"355460";"0.0284271762";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"< 2y";" -1.00638664";"  0.14461572";"Inf";"-1.327696e+00";"  -0.68507774";"V2 7D+";"no-vax";"251";" 91405";"3336730.0";" 62";" 25749";"1864501";"14788.00";"14810.57";"355460";"0.0284271762";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"2-5yr";" -0.48476602";"  0.20472976";"Inf";"-9.396370e-01";"  -0.02989505";"V1 14D+";"no-vax";"210";"107702";"3832961.0";" 29";" 52443";" 774471";"14788.00";"14810.57";"355460";"0.0284271762";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"2-5yr";" -0.51187230";"  0.13236838";"Inf";"-8.059699e-01";"  -0.21777470";"V2 7D+";"no-vax";"210";"107702";"3832961.0";" 83";" 28456";"2112589";"14788.00";"14810.57";"355460";"0.0284271762";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"< 3y";" -0.47332595";"  0.16453635";"Inf";"-8.388947e-01";"  -0.10775717";"V1 14D+";"no-vax";"319";"129477";"4712406.0";" 47";" 68745";"1006336";"14800.22";"14822.79";"355460";"0.6547925825";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"< 3y";" -0.81116515";"  0.12016605";"Inf";"-1.078151e+00";"  -0.54417882";"V2 7D+";"no-vax";"319";"129477";"4712406.0";" 95";" 36070";"2624069";"14800.22";"14822.79";"355460";"0.6547925825";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"3-5yr";" -0.41131886";"  0.23949060";"Inf";"-9.434219e-01";"   0.12078415";"V1 14D+";"no-vax";"142";" 69630";"2457285.0";" 21";" 33403";" 492786";"14800.22";"14822.79";"355460";"0.6547925825";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"3-5yr";" -0.62495901";"  0.16659568";"Inf";"-9.951032e-01";"  -0.25481477";"V2 7D+";"no-vax";"142";" 69630";"2457285.0";" 50";" 18135";"1353021";"14800.22";"14822.79";"355460";"0.6547925825";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"< 4y";" -0.45878927";"  0.15102160";"Inf";"-7.943308e-01";"  -0.12324771";"V1 14D+";"no-vax";"386";"164859";"5969849.0";" 57";" 85763";"1256905";"14802.73";"14825.30";"355460";"0.9895977879";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"< 4y";" -0.75485111";"  0.10779565";"Inf";"-9.943527e-01";"  -0.51534947";"V2 7D+";"no-vax";"386";"164859";"5969849.0";"121";" 45341";"3316073";"14802.73";"14825.30";"355460";"0.9895977879";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"4-5yr";" -0.42759041";"  0.32697587";"Inf";"-1.154069e+00";"   0.29888839";"V1 14D+";"no-vax";" 75";" 34248";"1199842.0";" 11";" 16385";" 242217";"14802.73";"14825.30";"355460";"0.9895977879";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"4-5yr";" -0.72189491";"  0.23604359";"Inf";"-1.246339e+00";"  -0.19745050";"V2 7D+";"no-vax";" 75";" 34248";"1199842.0";" 24";"  8864";" 661017";"14802.73";"14825.30";"355460";"0.9895977879";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"0";" -0.43298147";"  0.15869045";"Inf";"-7.855618e-01";"  -0.08040119";"V1 14D+";"no-vax";"334";"169558";"6046109.0";" 51";" 86031";"1281809";"14725.73";"14748.29";"355460";"0.2249883500";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"0";" -0.83852876";"  0.11816429";"Inf";"-1.101068e+00";"  -0.57598996";"V2 7D+";"no-vax";"334";"169558";"6046109.0";" 98";" 46035";"3413364";"14725.73";"14748.29";"355460";"0.2249883500";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"1";" -0.43773127";"  0.26487258";"Inf";"-1.026228e+00";"   0.15076572";"V1 14D+";"no-vax";"127";" 29549";"1123582.0";" 17";" 16117";" 217313";"14725.73";"14748.29";"355460";"0.2249883500";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"1";" -0.48495210";"  0.17283968";"Inf";"-8.689693e-01";"  -0.10093487";"V2 7D+";"no-vax";"127";" 29549";"1123582.0";" 47";"  8170";" 563726";"14725.73";"14748.29";"355460";"0.2249883500";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"0";" -0.37956884";"  0.14710715";"Inf";"-7.064132e-01";"  -0.05272445";"V1 14D+";"no-vax";"391";"166005";"5948650.0";" 61";" 83792";"1220746";"14780.23";"14802.80";"355460";"0.0036960134";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"0";" -0.63650258";"  0.10326607";"Inf";"-8.659404e-01";"  -0.40706482";"V2 7D+";"no-vax";"391";"166005";"5948650.0";"136";" 44431";"3261110";"14780.23";"14802.80";"355460";"0.0036960134";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"1";" -0.92452402";"  0.39965455";"Inf";"-1.812481e+00";"  -0.03656687";"V1 14D+";"no-vax";" 70";" 33102";"1221041.0";"  7";" 18356";" 278376";"14780.23";"14802.80";"355460";"0.0036960134";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"1";" -1.70120667";"  0.35519722";"Inf";"-2.490388e+00";"  -0.91202535";"V2 7D+";"no-vax";" 70";" 33102";"1221041.0";"  9";"  9774";" 715980";"14780.23";"14802.80";"355460";"0.0036960134";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"0";" -0.44057454";"  0.14464485";"Inf";"-7.619482e-01";"  -0.11920093";"V1 14D+";"no-vax";"422";"174619";"6390990.5";" 63";" 91496";"1340862";"14799.32";"14821.88";"355460";"0.3736868482";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"0";" -0.79025515";"  0.10485687";"Inf";"-1.023227e+00";"  -0.55728293";"V2 7D+";"no-vax";"422";"174619";"6390990.5";"127";" 48226";"3534032";"14799.32";"14821.88";"355460";"0.3736868482";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"1";" -0.59535264";"  0.47782198";"Inf";"-1.656983e+00";"   0.46627782";"V1 14D+";"no-vax";" 39";" 24488";" 778700.5";"  5";" 10652";" 158260";"14799.32";"14821.88";"355460";"0.3736868482";"cancer_dx_prostate"
