"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"Age 80+";" -1.53927566";"   0.2287406";"Inf";"   -2.047494";"-1.031057e+00";"V3 60+";"no-vax";"111";" 24864";" 612190";"24";" 3947";" 258144";"6216.401";"6235.442";"167779";"0.4583622246";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -1.66512566";"   0.3264682";"Inf";"   -2.390476";"-9.397748e-01";"V3 14-60D";"no-vax";"210";"104256";"2523739";"11";"25339";" 700825";"6237.061";"6256.102";"167779";"0.1030146568";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.95740508";"   0.2017970";"Inf";"   -2.405760";"-1.509050e+00";"V3 60+";"no-vax";"210";"104256";"2523739";"29";"20264";"1153819";"6237.061";"6256.102";"167779";"0.1030146568";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -2.15024404";"   0.7260068";"Inf";"   -3.763295";"-5.371935e-01";"V3 14-60D";"no-vax";" 63";" 12275";" 312574";" 2";" 3537";"  90534";"6237.061";"6256.102";"167779";"0.1030146568";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -1.28787434";"   0.2704239";"Inf";"   -1.888705";"-6.870434e-01";"V3 60+";"no-vax";" 63";" 12275";" 312574";"18";" 2108";" 136790";"6237.061";"6256.102";"167779";"0.1030146568";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";" -1.55206140";"   0.3416899";"Inf";"   -2.311232";"-7.928907e-01";"V3 14-60D";"no-vax";"169";" 58797";"1353354";"10";"14174";" 372390";"6249.892";"6268.932";"167779";"0.5508972070";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";" -1.73512210";"   0.2019601";"Inf";"   -2.183839";"-1.286405e+00";"V3 60+";"no-vax";"169";" 58797";"1353354";"30";"10163";" 598387";"6249.892";"6268.932";"167779";"0.5508972070";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";" -2.24494218";"   0.5948988";"Inf";"   -3.566695";"-9.231891e-01";"V3 14-60D";"no-vax";"104";" 57734";"1482959";" 3";"14702";" 418969";"6249.892";"6268.932";"167779";"0.5508972070";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";" -1.78820992";"   0.2643462";"Inf";"   -2.375537";"-1.200882e+00";"V3 60+";"no-vax";"104";" 57734";"1482959";"17";"12209";" 692222";"6249.892";"6268.932";"167779";"0.5508972070";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"0";" -1.45163025";"   1.0303171";"Inf";"   -3.740801";" 8.375403e-01";"V3 14-60D";"no-vax";" 20";" 10444";" 309517";" 1";" 2408";"  74397";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";" -1.65077263";"   0.6201373";"Inf";"   -3.028601";"-2.729444e-01";"V3 60+";"no-vax";" 20";" 10444";" 309517";" 3";" 2401";" 132951";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";"-15.03035338";"1116.2633209";"Inf";"-2495.157231";" 2.465097e+03";"V3 14-60D";"no-vax";" 10";" 11149";" 272612";" 0";" 2630";"  74464";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" -1.60940271";"   0.7755641";"Inf";"   -3.332560";" 1.137546e-01";"V3 60+";"no-vax";" 10";" 11149";" 272612";" 2";" 2226";" 128046";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";"-14.76208791";"1107.2563877";"Inf";"-2474.877256";" 2.445353e+03";"V3 14-60D";"no-vax";"  8";" 10994";" 276368";" 0";" 2667";"  75671";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";" -0.65468303";"   0.6134583";"Inf";"   -2.017672";" 7.083057e-01";"V3 60+";"no-vax";"  8";" 10994";" 276368";" 4";" 2234";" 127482";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
