"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";3;"contr.treatment";"treatment";TRUE;116210;4639;2720619;NA;NA;NA;NA;NA;NA
"periodV3 14-60D";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;28309;930;764543;0.47524115755627;0.0446796014939327;-16.6503925458278;3.00623834280681e-62;0.435394260048542;0.518734807873312
"periodV3 60+";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;21706;1100;1256382;0.818976279650438;0.0526576651076468;-3.79242333886296;0.000149184311968774;0.738667578579184;0.90801622553977
