"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";" -2.13776639";"   0.5149952";"Inf";"   -3.2819887";"-9.935441e-01";"V3 14-60D";"no-vax";" 76";" 26311";" 775575";"  4";" 6867";" 230432";"18443.374";"18467.539";"167779";"5.324661e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";" -0.83143453";"   0.2660570";"Inf";"   -1.4225631";"-2.403060e-01";"V3 60+";"no-vax";" 76";" 26311";" 775575";" 18";" 7926";" 400218";"18443.374";"18467.539";"167779";"5.324661e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";" -1.95528375";"   0.1668986";"Inf";"   -2.3261011";"-1.584466e+00";"V3 14-60D";"no-vax";"679";" 90220";"2060738";" 41";"22009";" 560927";"18443.374";"18467.539";"167779";"5.324661e-01";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" -1.12868225";"   0.1137853";"Inf";"   -1.3814918";"-8.758727e-01";"V3 60+";"no-vax";"679";" 90220";"2060738";"110";"14446";" 890391";"18443.374";"18467.539";"167779";"5.324661e-01";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";" -1.94700326";"   0.3673635";"Inf";"   -2.7632157";"-1.130791e+00";"V3 14-60D";"no-vax";"126";" 40175";"1081712";"  8";" 9819";" 316355";"18407.949";"18432.114";"167779";"8.325772e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";" -0.96555351";"   0.2202736";"Inf";"   -1.4549600";"-4.761470e-01";"V3 60+";"no-vax";"126";" 40175";"1081712";" 26";"10460";" 546479";"18407.949";"18432.114";"167779";"8.325772e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";" -1.97854467";"   0.1749712";"Inf";"   -2.3672977";"-1.589792e+00";"V3 14-60D";"no-vax";"629";" 76356";"1754601";" 37";"19057";" 475004";"18407.949";"18432.114";"167779";"8.325772e-01";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" -1.11269125";"   0.1174721";"Inf";"   -1.3736920";"-8.516905e-01";"V3 60+";"no-vax";"629";" 76356";"1754601";"102";"11912";" 744130";"18407.949";"18432.114";"167779";"8.325772e-01";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";" -1.92194763";"   0.3012122";"Inf";"   -2.5911844";"-1.252711e+00";"V3 14-60D";"no-vax";"186";" 56730";"1432010";" 12";"13319";" 410958";"18353.703";"18377.868";"167779";"9.662197e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";" -1.04597395";"   0.1900626";"Inf";"   -1.4682572";"-6.236907e-01";"V3 60+";"no-vax";"186";" 56730";"1432010";" 35";"13168";" 703274";"18353.703";"18377.868";"167779";"9.662197e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";" -1.98921573";"   0.1845513";"Inf";"   -2.3992540";"-1.579177e+00";"V3 14-60D";"no-vax";"569";" 59801";"1404303";" 33";"15557";" 380401";"18353.703";"18377.868";"167779";"9.662197e-01";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" -1.08816212";"   0.1222301";"Inf";"   -1.3597345";"-8.165898e-01";"V3 60+";"no-vax";"569";" 59801";"1404303";" 93";" 9204";" 587335";"18353.703";"18377.868";"167779";"9.662197e-01";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 75";" -2.18605218";"   0.2875580";"Inf";"   -2.8249518";"-1.547153e+00";"V3 14-60D";"no-vax";"270";" 73689";"1814189";" 13";"17203";" 507847";"18298.871";"18323.036";"167779";"6.285114e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";" -1.11698746";"   0.1647127";"Inf";"   -1.4829481";"-7.510268e-01";"V3 60+";"no-vax";"270";" 73689";"1814189";" 47";"15827";" 867278";"18298.871";"18323.036";"167779";"6.285114e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";" -1.87214835";"   0.1878491";"Inf";"   -2.2895136";"-1.454783e+00";"V3 14-60D";"no-vax";"485";" 42842";"1022124";" 32";"11673";" 283512";"18298.871";"18323.036";"167779";"6.285114e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" -1.06491756";"   0.1300469";"Inf";"   -1.3538572";"-7.759779e-01";"V3 60+";"no-vax";"485";" 42842";"1022124";" 81";" 6545";" 423331";"18298.871";"18323.036";"167779";"6.285114e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 80";" -2.21569928";"   0.2331557";"Inf";"   -2.7337273";"-1.697671e+00";"V3 14-60D";"no-vax";"430";" 91667";"2224123";" 20";"21880";" 618068";"18383.318";"18407.483";"167779";"1.755887e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";" -1.17921901";"   0.1387893";"Inf";"   -1.4875828";"-8.708552e-01";"V3 60+";"no-vax";"430";" 91667";"2224123";" 68";"18425";"1032465";"18383.318";"18407.483";"167779";"1.755887e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";" -1.72573018";"   0.2122246";"Inf";"   -2.1972533";"-1.254207e+00";"V3 14-60D";"no-vax";"325";" 24864";" 612190";" 25";" 6996";" 173291";"18383.318";"18407.483";"167779";"1.755887e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";" -0.96534349";"   0.1494426";"Inf";"   -1.2973769";"-6.333101e-01";"V3 60+";"no-vax";"325";" 24864";" 612190";" 60";" 3947";" 258144";"18383.318";"18407.483";"167779";"1.755887e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -2.15188535";"   0.2022070";"Inf";"   -2.6011512";"-1.702620e+00";"V3 14-60D";"no-vax";"545";"104256";"2523739";" 27";"25339";" 700825";"18405.846";"18430.011";"167779";"2.084113e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.14000749";"   0.1244065";"Inf";"   -1.4164154";"-8.635996e-01";"V3 60+";"no-vax";"545";"104256";"2523739";" 88";"20264";"1153819";"18405.846";"18430.011";"167779";"2.084113e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -1.63051539";"   0.2495354";"Inf";"   -2.1849361";"-1.076095e+00";"V3 14-60D";"no-vax";"210";" 12275";" 312574";" 18";" 3537";"  90534";"18405.846";"18430.011";"167779";"2.084113e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -0.96091956";"   0.1799755";"Inf";"   -1.3607912";"-5.610479e-01";"V3 60+";"no-vax";"210";" 12275";" 312574";" 40";" 2108";" 136790";"18405.846";"18430.011";"167779";"2.084113e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";" -1.76132583";"   0.1858459";"Inf";"   -2.1742403";"-1.348411e+00";"V3 14-60D";"no-vax";"448";" 58797";"1353354";" 33";"14174";" 372390";"18554.529";"18578.694";"167779";"1.295381e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";" -1.02890905";"   0.1309021";"Inf";"   -1.3197489";"-7.380692e-01";"V3 60+";"no-vax";"448";" 58797";"1353354";" 80";"10163";" 598387";"18554.529";"18578.694";"167779";"1.295381e-01";"gender_concept_id"
