"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age < 60";"-0.9640506717";"0.06355169";"Inf";"-1.105250559";"-0.8228507847";"V3 14-60D";"no-vax";"1940";" 26226";" 732071";" 318";" 6530";" 218151";"138061.01";"138095.04";"166225";"1.743892e-34";"age_bin_60"
"(V3 60+) - (no-vax)";"Age < 60";"-0.7012950694";"0.06892867";"Inf";"-0.854441593";"-0.5481485460";"V3 60+";"no-vax";"1940";" 26226";" 732071";" 293";" 7747";" 391419";"138061.01";"138095.04";"166225";"1.743892e-34";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age 60+";"-0.4951665712";"0.04922476";"Inf";"-0.604534727";"-0.3857984152";"V3 14-60D";"no-vax";"2699";" 89984";"1988548";" 612";"21779";" 546392";"138061.01";"138095.04";"166225";"1.743892e-34";"age_bin_60"
"(V3 60+) - (no-vax)";"Age 60+";" 0.1451796258";"0.05056842";"Inf";" 0.032826111";" 0.2575331411";"V3 60+";"no-vax";"2699";" 89984";"1988548";" 807";"13959";" 864963";"138061.01";"138095.04";"166225";"1.743892e-34";"age_bin_60"
"(V3 14-60D) - (no-vax)";"Age < 65";"-0.8787445619";"0.05526896";"Inf";"-1.001541777";"-0.7559473468";"V3 14-60D";"no-vax";"2528";" 40066";"1023367";" 440";" 9415";" 300691";"137992.92";"138026.95";"166225";"9.790821e-36";"age_bin_65"
"(V3 60+) - (no-vax)";"Age < 65";"-0.5977856470";"0.06026099";"Inf";"-0.731674229";"-0.4638970652";"V3 60+";"no-vax";"2528";" 40066";"1023367";" 416";"10207";" 533791";"137992.92";"138026.95";"166225";"9.790821e-36";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age 65+";"-0.4675205635";"0.05414935";"Inf";"-0.587830215";"-0.3472109118";"V3 14-60D";"no-vax";"2111";" 76144";"1697252";" 490";"18894";" 463852";"137992.92";"138026.95";"166225";"9.790821e-36";"age_bin_65"
"(V3 60+) - (no-vax)";"Age 65+";" 0.2358647095";"0.05381391";"Inf";" 0.116300326";" 0.3554290933";"V3 60+";"no-vax";"2111";" 76144";"1697252";" 684";"11499";" 722591";"137992.92";"138026.95";"166225";"9.790821e-36";"age_bin_65"
"(V3 14-60D) - (no-vax)";"Age < 70";"-0.8115509400";"0.04974614";"Inf";"-0.922077504";"-0.7010243756";"V3 14-60D";"no-vax";"3118";" 56573";"1358351";" 568";"12862";" 391951";"137967.97";"138001.99";"166225";"6.047747e-33";"age_bin_70"
"(V3 60+) - (no-vax)";"Age < 70";"-0.4934995052";"0.05444861";"Inf";"-0.614474068";"-0.3725249426";"V3 60+";"no-vax";"3118";" 56573";"1358351";" 556";"12825";" 686274";"137967.97";"138001.99";"166225";"6.047747e-33";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age 70+";"-0.4470642069";"0.06190382";"Inf";"-0.584602841";"-0.3095255729";"V3 14-60D";"no-vax";"1521";" 59637";"1362268";" 362";"15447";" 372592";"137967.97";"138001.99";"166225";"6.047747e-33";"age_bin_70"
"(V3 60+) - (no-vax)";"Age 70+";" 0.3272496244";"0.05898029";"Inf";" 0.196206526";" 0.4582927225";"V3 60+";"no-vax";"1521";" 59637";"1362268";" 544";" 8881";" 570108";"137967.97";"138001.99";"166225";"6.047747e-33";"age_bin_70"
"(V3 14-60D) - (no-vax)";"Age < 75";"-0.7479264635";"0.04640030";"Inf";"-0.851019195";"-0.6448337324";"V3 14-60D";"no-vax";"3570";" 73487";"1727719";" 678";"16711";" 486452";"138164.98";"138199.01";"166225";"4.601039e-26";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";"-0.3922788013";"0.05073564";"Inf";"-0.505003848";"-0.2795537550";"V3 60+";"no-vax";"3570";" 73487";"1727719";" 691";"15399";" 845861";"138164.98";"138199.01";"166225";"4.601039e-26";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";"-0.4813337480";"0.07283472";"Inf";"-0.643158782";"-0.3195087143";"V3 14-60D";"no-vax";"1069";" 42723";" 992900";" 252";"11598";" 278091";"138164.98";"138199.01";"166225";"4.601039e-26";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";" 0.4006356956";"0.06628239";"Inf";" 0.253368718";" 0.5479026728";"V3 60+";"no-vax";"1069";" 42723";" 992900";" 409";" 6307";" 410521";"138164.98";"138199.01";"166225";"4.601039e-26";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 80";"-0.7062244496";"0.04373321";"Inf";"-0.803391413";"-0.6090574866";"V3 14-60D";"no-vax";"4033";" 91420";"2124538";" 790";"21359";" 594364";"138355.03";"138389.06";"166225";"3.162363e-20";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";"-0.3117604555";"0.04798244";"Inf";"-0.418368391";"-0.2051525199";"V3 60+";"no-vax";"4033";" 91420";"2124538";" 833";"17901";"1006596";"138355.03";"138389.06";"166225";"3.162363e-20";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age 80+";"-0.5217384935";"0.09583100";"Inf";"-0.734656925";"-0.3088200620";"V3 14-60D";"no-vax";" 606";" 24790";" 596081";" 140";" 6950";" 170179";"138355.03";"138389.06";"166225";"3.162363e-20";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";" 0.5078940364";"0.08008976";"Inf";" 0.329949674";" 0.6858383986";"V3 60+";"no-vax";" 606";" 24790";" 596081";" 267";" 3805";" 249786";"138355.03";"138389.06";"166225";"3.162363e-20";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";"-0.6988590938";"0.04251356";"Inf";"-0.793316214";"-0.6044019739";"V3 14-60D";"no-vax";"4325";"103974";"2416320";" 849";"24795";" 675630";"138541.92";"138575.95";"166225";"1.140572e-09";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";"-0.2337172447";"0.04616417";"Inf";"-0.336285346";"-0.1311491438";"V3 60+";"no-vax";"4325";"103974";"2416320";" 959";"19689";"1124475";"138541.92";"138575.95";"166225";"1.140572e-09";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";"-0.4344369865";"0.12614043";"Inf";"-0.714697259";"-0.1541767139";"V3 14-60D";"no-vax";" 314";" 12236";" 304299";"  81";" 3514";"  88913";"138541.92";"138575.95";"166225";"1.140572e-09";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" 0.4831563500";"0.10622705";"Inf";" 0.247139857";" 0.7191728435";"V3 60+";"no-vax";" 314";" 12236";" 304299";" 141";" 2017";" 131907";"138541.92";"138575.95";"166225";"1.140572e-09";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";"-0.6314010216";"0.05790689";"Inf";"-0.760059216";"-0.5027428271";"V3 14-60D";"no-vax";"1993";" 58647";"1301880";" 409";"13949";" 361307";"138617.24";"138651.27";"166225";"1.173949e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";"-0.0914849654";"0.05855468";"Inf";"-0.221582431";" 0.0386125002";"V3 60+";"no-vax";"1993";" 58647";"1301880";" 491";" 9874";" 582743";"138617.24";"138651.27";"166225";"1.173949e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";"-0.7105199535";"0.05184063";"Inf";"-0.825700061";"-0.5953398458";"V3 14-60D";"no-vax";"2646";" 57563";"1418739";" 521";"14360";" 403236";"138617.24";"138651.27";"166225";"1.173949e-01";"gender_concept_id"
