"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age 80+";" -0.4601441";"1.339359e-01";"Inf";"-7.577245e-01";"  -0.16256377";"V1 14D+";"no-vax";" 825";" 31908";"1091695.0";" 68";" 16058";" 124333";"68558.85";"68589.16";"355610";"4.547441e-05";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age 80+";" -1.3092386";"8.426812e-02";"Inf";"-1.496466e+00";"  -1.12201067";"V2 7D+";"no-vax";" 825";" 31908";"1091695.0";"175";"  9874";" 764236";"68558.85";"68589.16";"355610";"4.547441e-05";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";" -1.1215727";"8.497738e-02";"Inf";"-1.310376e+00";"  -0.93276896";"V1 14D+";"no-vax";"2030";"183934";"6644798.0";"163";" 94216";"1440680";"68747.27";"68777.58";"355610";"4.132419e-04";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";" -1.2202334";"5.870024e-02";"Inf";"-1.350654e+00";"  -1.08981257";"V2 7D+";"no-vax";"2030";"183934";"6644798.0";"363";" 49387";"3596992";"68747.27";"68777.58";"355610";"4.132419e-04";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";" -0.3595726";"1.674029e-01";"Inf";"-7.315102e-01";"   0.01236507";"V1 14D+";"no-vax";" 466";" 15230";" 539212.0";" 42";"  7976";"  60464";"68747.27";"68777.58";"355610";"4.132419e-04";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" -1.2262501";"1.068318e-01";"Inf";"-1.463610e+00";"  -0.98889005";"V2 7D+";"no-vax";" 466";" 15230";" 539212.0";"110";"  4867";" 385699";"68747.27";"68777.58";"355610";"4.132419e-04";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" -1.0526378";"9.542599e-02";"Inf";"-1.264656e+00";"  -0.84061919";"V1 14D+";"no-vax";"1543";" 97827";"3338786.0";"128";" 47330";" 692539";"68894.30";"68924.61";"355610";"9.135120e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" -1.2081744";"6.548866e-02";"Inf";"-1.353678e+00";"  -1.06267092";"V2 7D+";"no-vax";"1543";" 97827";"3338786.0";"291";" 25369";"1860165";"68894.30";"68924.61";"355610";"9.135120e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";" -1.0877971";"1.210753e-01";"Inf";"-1.356803e+00";"  -0.81879066";"V1 14D+";"no-vax";" 953";"101337";"3845224.0";" 77";" 54862";" 808605";"68894.30";"68924.61";"355610";"9.135120e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";" -1.1744462";"8.205235e-02";"Inf";"-1.356751e+00";"  -0.99214134";"V2 7D+";"no-vax";" 953";"101337";"3845224.0";"182";" 28885";"2122526";"68894.30";"68924.61";"355610";"9.135120e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";" -1.0688613";"7.756388e-02";"Inf";"-1.241194e+00";"  -0.89652901";"V1 14D+";"no-vax";"2231";"184744";"6661865.0";"202";"101590";"1489002";"69192.48";"69216.73";"355610";"7.659965e-01";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";" -1.2021519";"5.800340e-02";"Inf";"-1.331025e+00";"  -1.07327930";"V2 7D+";"no-vax";"2231";"184744";"6661865.0";"376";" 38292";"3384448";"69192.48";"69216.73";"355610";"7.659965e-01";"covid_voc"
"(V1 14D+) - (no-vax)";"Delta VOC";" -0.6995336";"5.811233e-01";"Inf";"-1.990680e+00";"   0.59161283";"V1 14D+";"no-vax";" 265";" 14420";" 522145.0";"  3";"   602";"  12142";"69192.48";"69216.73";"355610";"7.659965e-01";"covid_voc"
"(V2 7D+) - (no-vax)";"Delta VOC";" -1.1425596";"1.186868e-01";"Inf";"-1.406259e+00";"  -0.87886003";"V2 7D+";"no-vax";" 265";" 14420";" 522145.0";" 97";" 15962";" 598243";"69192.48";"69216.73";"355610";"7.659965e-01";"covid_voc"
"(V1 14D+) - (no-vax)";"0";" 12.3557032";"3.045625e+02";"Inf";"-6.643249e+02";" 689.03631991";"V1 14D+";"no-vax";"   0";"147999";"2504797.0";"  1";" 97916";"1175086";"66192.19";"66222.50";"355610";"4.636475e-47";"vac_heterologous"
"(V2 7D+) - (no-vax)";"0";" 17.8257074";"3.045609e+02";"Inf";"-6.588513e+02";" 694.50268277";"V2 7D+";"no-vax";"   0";"147999";"2504797.0";"473";" 54031";"3974252";"66192.19";"66222.50";"355610";"4.636475e-47";"vac_heterologous"
"(V1 14D+) - (no-vax)";"1";"  0.2419633";"7.388553e-02";"Inf";" 7.780359e-02";"   0.40612305";"V1 14D+";"no-vax";"2496";" 51165";"4679213.0";"204";"  4276";" 326058";"66192.19";"66222.50";"355610";"4.636475e-47";"vac_heterologous"
"(V2 7D+) - (no-vax)";"1";"-17.7733532";"3.713702e+03";"Inf";"-8.268919e+03";"8233.37212882";"V2 7D+";"no-vax";"2496";" 51165";"4679213.0";"  0";"   223";"   8439";"66192.19";"66222.50";"355610";"4.636475e-47";"vac_heterologous"
"(V1 14D+) - (no-vax)";"0";" -1.1527443";"2.027443e-01";"Inf";"-1.603204e+00";"  -0.70228463";"V1 14D+";"no-vax";" 476";" 22902";"1139694.0";" 26";" 10969";" 179293";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"0";" -1.5019072";"1.613550e-01";"Inf";"-1.860408e+00";"  -1.14340673";"V2 7D+";"no-vax";" 476";" 22902";"1139694.0";" 42";"  5609";" 421227";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"1";" -0.8102568";"2.261640e-01";"Inf";"-1.312751e+00";"  -0.30776304";"V1 14D+";"no-vax";" 196";" 19184";" 691563.0";" 22";"  9954";" 153858";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"1";" -0.8322875";"1.554786e-01";"Inf";"-1.177732e+00";"  -0.48684340";"V2 7D+";"no-vax";" 196";" 19184";" 691563.0";" 53";"  5224";" 383835";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
