"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V2 7D+) - (no-vax)";"Age 80+";" 0.2685456611";"0.08850157";"Inf";" 0.071911844";" 0.4651794786";"V2 7D+";"no-vax";" 293";" 31813";"1072502.0";" 243";"  9723";" 746809";"89520.46";"89551.96";"353997";"1.137057e-03";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";"-0.0115249983";"0.05507599";"Inf";"-0.133893467";" 0.1108434705";"V1 14D+";"no-vax";"2173";"183706";"6569584.0";" 499";" 93608";"1422458";"89532.12";"89563.62";"353997";"6.232540e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";"-0.0390494202";"0.04144586";"Inf";"-0.131134311";" 0.0530354704";"V2 7D+";"no-vax";"2173";"183706";"6569584.0";"1034";" 48787";"3536796";"89532.12";"89563.62";"353997";"6.232540e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";" 0.0407301084";"0.22613004";"Inf";"-0.461688265";" 0.5431484816";"V1 14D+";"no-vax";" 172";" 15174";" 528359.0";"  23";"  7936";"  59813";"89532.12";"89563.62";"353997";"6.232540e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" 0.0824449073";"0.11993462";"Inf";"-0.184027237";" 0.3489170515";"V2 7D+";"no-vax";" 172";" 15174";" 528359.0";" 121";"  4786";" 377043";"89532.12";"89563.62";"353997";"6.232540e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" 0.1018893275";"0.07671196";"Inf";"-0.068550191";" 0.2723288458";"V1 14D+";"no-vax";" 956";" 97670";"3298595.0";" 237";" 47116";" 685258";"89505.34";"89536.84";"353997";"4.075900e-03";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" 0.1007219409";"0.05681511";"Inf";"-0.025510539";" 0.2269544209";"V2 7D+";"no-vax";" 956";" 97670";"3298595.0";" 534";" 25073";"1829226";"89505.34";"89536.84";"353997";"4.075900e-03";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";"-0.0933740357";"0.06939639";"Inf";"-0.247559748";" 0.0608116766";"V1 14D+";"no-vax";"1389";"101210";"3799348.0";" 285";" 54428";" 797013";"89505.34";"89536.84";"353997";"4.075900e-03";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";"-0.1211055519";"0.05107116";"Inf";"-0.234576048";"-0.0076350555";"V2 7D+";"no-vax";"1389";"101210";"3799348.0";" 621";" 28500";"2084613";"89505.34";"89536.84";"353997";"4.075900e-03";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";"-0.0166257950";"0.05434147";"Inf";"-0.137362305";" 0.1041107147";"V1 14D+";"no-vax";"2259";"184744";"6587210.0";" 521";"100949";"1470254";"89521.79";"89546.99";"353997";"4.257973e-03";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";"-0.0657797997";"0.04182287";"Inf";"-0.158702335";" 0.0271427354";"V2 7D+";"no-vax";"2259";"184744";"6587210.0";"1012";" 37922";"3328890";"89521.79";"89546.99";"353997";"4.257973e-03";"covid_voc"
