"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;106734;435;6138608.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;92372;37;1030113.5;0.920952137589691;0.228094456373605;-0.36102241702245;0.718082689254785;0.588955805345521;1.44009589859368
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;59103;46;897277;0.763457943600227;0.175135431298271;-1.54107731104492;0.12329797115487;0.54163855250813;1.07611991234235
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;8801;15;316268;0.497912375657062;0.267037832493816;-2.61135721265619;0.00901836393012801;0.295018945068755;0.840341740679335
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;42559;13;543825;0.316685953876088;0.294042186492937;-3.91047519965615;9.21147182963414e-05;0.177967065089853;0.563531197931327
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34807;50;1347740;0.405522121689333;0.156779270905397;-5.75701014297308;8.56167683743892e-09;0.298238559557243;0.551398153959546
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;26392;28;730539;0.405800718409764;0.209212401113088;-4.31089685142615;1.62593742232451e-05;0.269296614011686;0.611497562515711
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;25810;25;648477;0.420639629440226;0.224561733819008;-3.85630616675637;0.000115113296690804;0.270871237461526;0.653217002712379
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;28846;39;913764;1.14146892187742;0.216944231511881;0.609907716869081;0.541922940341962;0.746106506033043;1.74633418831802
