"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age 80+";"  0.398769002";"  0.3218827";"Inf";"   -0.3163937";" 1.113932e+00";"V1 14D+";"no-vax";" 66";" 31894";"1088511.0";" 13";" 16042";" 123895";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V2 7D+) - (no-vax)";"Age 80+";" -0.273241163";"  0.2044831";"Inf";"   -0.7275640";" 1.810817e-01";"V2 7D+";"no-vax";" 66";" 31894";"1088511.0";" 39";"  9854";" 761730";"12754.03";"12775.83";"355385";"1.494149e-03";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";" -0.581901679";"  0.1558699";"Inf";"   -0.9282152";"-2.355881e-01";"V1 14D+";"no-vax";"363";"183873";"6622306.0";" 53";" 94168";"1437185";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";" -0.809653088";"  0.1182140";"Inf";"   -1.0723022";"-5.470039e-01";"V2 7D+";"no-vax";"363";"183873";"6622306.0";" 98";" 49301";"3587918";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";"  0.190792990";"  0.4530572";"Inf";"   -0.8158149";" 1.197401e+00";"V1 14D+";"no-vax";" 37";" 15224";" 537907.0";"  6";"  7964";"  60187";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" -0.322171235";"  0.2751231";"Inf";"   -0.9334430";" 2.891005e-01";"V2 7D+";"no-vax";" 37";" 15224";" 537907.0";" 21";"  4855";" 384270";"12766.77";"12788.57";"355385";"1.190062e-01";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" -0.504033567";"  0.1920016";"Inf";"   -0.9306250";"-7.744216e-02";"V1 14D+";"no-vax";"220";" 97784";"3326774.0";" 34";" 47300";" 690705";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" -0.574217788";"  0.1364184";"Inf";"   -0.8773137";"-2.711219e-01";"V2 7D+";"no-vax";"220";" 97784";"3326774.0";" 77";" 25323";"1854909";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";" -0.604320460";"  0.2198662";"Inf";"   -1.0928218";"-1.158192e-01";"V1 14D+";"no-vax";"180";"101313";"3833439.0";" 25";" 54832";" 806667";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";" -0.967779567";"  0.1741675";"Inf";"   -1.3547471";"-5.808121e-01";"V2 7D+";"no-vax";"180";"101313";"3833439.0";" 42";" 28833";"2117279";"12750.14";"12771.94";"355385";"1.853320e-01";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";" -0.549902446";"  0.1493490";"Inf";"   -0.8817277";"-2.180772e-01";"V1 14D+";"no-vax";"390";"184744";"6640553.0";" 59";"101531";"1485285";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";" -0.783050489";"  0.1139771";"Inf";"   -1.0362861";"-5.298149e-01";"V2 7D+";"no-vax";"390";"184744";"6640553.0";"107";" 38241";"3375654";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
"(V1 14D+) - (no-vax)";"Delta VOC";"-11.998258674";"827.1856491";"Inf";"-1849.8489899";" 1.825852e+03";"V1 14D+";"no-vax";" 10";" 14353";" 519660.0";"  0";"   601";"  12087";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
"(V2 7D+) - (no-vax)";"Delta VOC";"  0.043281058";"  0.4282554";"Inf";"   -0.9082218";" 9.947839e-01";"V2 7D+";"no-vax";" 10";" 14353";" 519660.0";" 12";" 15915";" 596534";"12777.38";"12794.82";"355385";"1.450221e-01";"covid_voc"
"(V1 14D+) - (no-vax)";"0";" -0.504444422";"  0.2388367";"Inf";"   -1.0350945";" 2.620564e-02";"V1 14D+";"no-vax";" 76";"147981";"2499671.0";" 28";" 97865";"1173155";"12719.85";"12741.65";"355385";"3.912466e-02";"vac_heterologous"
"(V2 7D+) - (no-vax)";"0";"  0.031036259";"  0.1731873";"Inf";"   -0.3537534";" 4.158259e-01";"V2 7D+";"no-vax";" 76";"147981";"2499671.0";"119";" 53933";"3963756";"12719.85";"12741.65";"355385";"3.912466e-02";"vac_heterologous"
"(V1 14D+) - (no-vax)";"1";"  0.201111162";"  0.1888307";"Inf";"   -0.2184351";" 6.206574e-01";"V1 14D+";"no-vax";"324";" 51116";"4660542.0";" 31";"  4267";" 324217";"12719.85";"12741.65";"355385";"3.912466e-02";"vac_heterologous"
"(V2 7D+) - (no-vax)";"1";"-12.431742544";"773.2601196";"Inf";"-1730.4701030";" 1.705607e+03";"V2 7D+";"no-vax";"324";" 51116";"4660542.0";"  0";"   223";"   8432";"12719.85";"12741.65";"355385";"3.912466e-02";"vac_heterologous"
"(V1 14D+) - (no-vax)";"0";" -1.137149173";"  0.7291777";"Inf";"   -2.7572447";" 4.829463e-01";"V1 14D+";"no-vax";" 34";" 22900";"1137871.0";"  2";" 10964";" 178987";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"0";" -0.150254925";"  0.3366760";"Inf";"   -0.8982856";" 5.977758e-01";"V2 7D+";"no-vax";" 34";" 22900";"1137871.0";" 12";"  5600";" 420350";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"1";" -0.776843370";"  0.6144285";"Inf";"   -2.1419878";" 5.883011e-01";"V1 14D+";"no-vax";" 24";" 19179";" 689934.0";"  3";"  9952";" 153601";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"1";" -0.634283067";"  0.4094640";"Inf";"   -1.5440349";" 2.754688e-01";"V2 7D+";"no-vax";" 24";" 19179";" 689934.0";"  8";"  5224";" 383395";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"2";" -0.075134979";"  0.4574889";"Inf";"   -1.0915892";" 9.413192e-01";"V1 14D+";"no-vax";" 25";" 18711";" 689465.0";"  6";"  9672";" 147002";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"2";" -0.427542162";"  0.3754242";"Inf";"   -1.2616641";" 4.065798e-01";"V2 7D+";"no-vax";" 25";" 18711";" 689465.0";" 10";"  5089";" 376089";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"3+";" -0.574566742";"  0.1641908";"Inf";"   -0.9393678";"-2.097657e-01";"V1 14D+";"no-vax";"317";"138307";"4642943.0";" 48";" 71544";"1017782";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"3+";" -0.885101529";"  0.1244501";"Inf";"   -1.1616063";"-6.085968e-01";"V2 7D+";"no-vax";"317";"138307";"4642943.0";" 89";" 38243";"2792354";"12739.92";"12787.88";"355385";"3.194950e-01";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"< 1y";" -0.529193587";"  0.2355656";"Inf";"   -1.0525759";"-5.811266e-03";"V1 14D+";"no-vax";"139";" 50828";"1854985.0";" 22";" 28837";" 416989";"12766.74";"12788.54";"355385";"1.617895e-01";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"< 1y";" -1.031171219";"  0.2014388";"Inf";"   -1.4787304";"-5.836121e-01";"V2 7D+";"no-vax";"139";" 50828";"1854985.0";" 31";" 14396";"1026515";"12766.74";"12788.54";"355385";"1.617895e-01";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"1-5yr";" -0.559078824";"  0.1836290";"Inf";"   -0.9670679";"-1.510897e-01";"V1 14D+";"no-vax";"261";"148269";"5305228.0";" 37";" 73295";"1080383";"12766.74";"12788.54";"355385";"1.617895e-01";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"1-5yr";" -0.604417362";"  0.1271891";"Inf";"   -0.8870075";"-3.218272e-01";"V2 7D+";"no-vax";"261";"148269";"5305228.0";" 88";" 39760";"2945673";"12766.74";"12788.54";"355385";"1.617895e-01";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"< 2y";" -0.527303661";"  0.1973280";"Inf";"   -0.9657293";"-8.887805e-02";"V1 14D+";"no-vax";"207";" 91400";"3331494.0";" 32";" 49696";" 723790";"12777.24";"12799.03";"355385";"1.266687e-01";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"< 2y";" -0.950528033";"  0.1609557";"Inf";"   -1.3081414";"-5.929147e-01";"V2 7D+";"no-vax";"207";" 91400";"3331494.0";" 50";" 25727";"1861988";"12777.24";"12799.03";"355385";"1.266687e-01";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"2-5yr";" -0.568915317";"  0.2123164";"Inf";"   -1.0406424";"-9.718821e-02";"V1 14D+";"no-vax";"193";"107697";"3828719.0";" 27";" 52436";" 773582";"12777.24";"12799.03";"355385";"1.266687e-01";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"2-5yr";" -0.536575863";"  0.1437124";"Inf";"   -0.8558777";"-2.172740e-01";"V2 7D+";"no-vax";"193";"107697";"3828719.0";" 69";" 28429";"2110200";"12777.24";"12799.03";"355385";"1.266687e-01";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"< 3y";" -0.518081247";"  0.1760675";"Inf";"   -0.9092701";"-1.268924e-01";"V1 14D+";"no-vax";"266";"129471";"4705368.0";" 41";" 68732";"1005157";"12783.05";"12804.85";"355385";"9.483909e-01";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"< 3y";" -0.736880151";"  0.1321687";"Inf";"   -1.0305341";"-4.432262e-01";"V2 7D+";"no-vax";"266";"129471";"4705368.0";" 79";" 36036";"2620770";"12783.05";"12804.85";"355385";"9.483909e-01";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"3-5yr";" -0.604789375";"  0.2567144";"Inf";"   -1.1751604";"-3.441836e-02";"V1 14D+";"no-vax";"134";" 69626";"2454845.0";" 18";" 33400";" 492215";"12783.05";"12804.85";"355385";"9.483909e-01";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"3-5yr";" -0.714732947";"  0.1828735";"Inf";"   -1.1210434";"-3.084225e-01";"V2 7D+";"no-vax";"134";" 69626";"2454845.0";" 40";" 18120";"1351418";"12783.05";"12804.85";"355385";"9.483909e-01";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"< 4y";" -0.495121088";"  0.1597714";"Inf";"   -0.8501031";"-1.401391e-01";"V1 14D+";"no-vax";"327";"164851";"5961595.0";" 51";" 85748";"1255387";"12781.74";"12803.54";"355385";"4.930589e-01";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"< 4y";" -0.683547082";"  0.1178865";"Inf";"   -0.9454686";"-4.216256e-01";"V2 7D+";"no-vax";"327";"164851";"5961595.0";"102";" 45298";"3311916";"12781.74";"12803.54";"355385";"4.930589e-01";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"4-5yr";" -0.814982462";"  0.3762465";"Inf";"   -1.6509313";" 2.096641e-02";"V1 14D+";"no-vax";" 73";" 34246";"1198618.0";"  8";" 16384";" 241985";"12781.74";"12803.54";"355385";"4.930589e-01";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"4-5yr";" -0.964697038";"  0.2711214";"Inf";"   -1.5670777";"-3.623164e-01";"V2 7D+";"no-vax";" 73";" 34246";"1198618.0";" 17";"  8858";" 660272";"12781.74";"12803.54";"355385";"4.930589e-01";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"0";" -0.485735984";"  0.1655947";"Inf";"   -0.8536562";"-1.178158e-01";"V1 14D+";"no-vax";"296";"169548";"6038238.0";" 47";" 86019";"1280247";"12719.97";"12741.77";"355385";"1.946443e-02";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"0";" -0.894144545";"  0.1325685";"Inf";"   -1.1886869";"-5.996022e-01";"V2 7D+";"no-vax";"296";"169548";"6038238.0";" 76";" 45991";"3409107";"12719.97";"12741.77";"355385";"1.946443e-02";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"1";" -0.689239211";"  0.3108266";"Inf";"   -1.3798373";" 1.358865e-03";"V1 14D+";"no-vax";"104";" 29549";"1121975.0";" 12";" 16113";" 217125";"12719.97";"12741.77";"355385";"1.946443e-02";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"1";" -0.306884403";"  0.1840094";"Inf";"   -0.7157186";" 1.019498e-01";"V2 7D+";"no-vax";"104";" 29549";"1121975.0";" 43";"  8165";" 563081";"12719.97";"12741.77";"355385";"1.946443e-02";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"0";" -0.469798106";"  0.1584866";"Inf";"   -0.8219255";"-1.176708e-01";"V1 14D+";"no-vax";"333";"165995";"5940824.0";" 52";" 83779";"1219290";"12762.98";"12784.77";"355385";"7.095927e-04";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"0";" -0.585830494";"  0.1134683";"Inf";"   -0.8379357";"-3.337253e-01";"V2 7D+";"no-vax";"333";"165995";"5940824.0";"113";" 44395";"3257094";"12762.98";"12784.77";"355385";"7.095927e-04";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"1";" -0.972913190";"  0.4006600";"Inf";"   -1.8631042";"-8.272218e-02";"V1 14D+";"no-vax";" 67";" 33102";"1219389.0";"  7";" 18353";" 278082";"12762.98";"12784.77";"355385";"7.095927e-04";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"1";" -1.985846829";"  0.4273526";"Inf";"   -2.9353438";"-1.036350e+00";"V2 7D+";"no-vax";" 67";" 33102";"1219389.0";"  6";"  9761";" 715094";"12762.98";"12784.77";"355385";"7.095927e-04";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"0";" -0.483958004";"  0.1521754";"Inf";"   -0.8220630";"-1.458530e-01";"V1 14D+";"no-vax";"364";"174610";"6382263.5";" 57";" 91480";"1339236";"12777.61";"12799.41";"355385";"1.086936e-01";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"0";" -0.767058449";"  0.1156690";"Inf";"   -1.0240531";"-5.100638e-01";"V2 7D+";"no-vax";"364";"174610";"6382263.5";"104";" 48184";"3529671";"12777.61";"12799.41";"355385";"1.086936e-01";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"1";" -1.527214646";"  0.7284554";"Inf";"   -3.1457054";" 9.127608e-02";"V1 14D+";"no-vax";" 36";" 24487";" 777949.5";"  2";" 10652";" 158136";"12777.61";"12799.41";"355385";"1.086936e-01";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"1";" -0.414891161";"  0.3091431";"Inf";"   -1.1017490";" 2.719667e-01";"V2 7D+";"no-vax";" 36";" 24487";" 777949.5";" 15";"  5972";" 442517";"12777.61";"12799.41";"355385";"1.086936e-01";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"0";" -0.643341753";"  0.1673420";"Inf";"   -1.0151441";"-2.715394e-01";"V1 14D+";"no-vax";"338";"173047";"6295642.0";" 45";" 89236";"1313864";"12770.88";"12792.68";"355385";"3.497001e-01";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"0";" -0.733808562";"  0.1185799";"Inf";"   -0.9972708";"-4.703464e-01";"V2 7D+";"no-vax";"338";"173047";"6295642.0";" 99";" 47128";"3450926";"12770.88";"12792.68";"355385";"3.497001e-01";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"1";" -0.150659201";"  0.3010211";"Inf";"   -0.8194714";" 5.181530e-01";"V1 14D+";"no-vax";" 62";" 26050";" 864571.0";" 14";" 12896";" 183508";"12770.88";"12792.68";"355385";"3.497001e-01";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"1";" -0.735495393";"  0.2594116";"Inf";"   -1.3118591";"-1.591316e-01";"V2 7D+";"no-vax";" 62";" 26050";" 864571.0";" 20";"  7028";" 521262";"12770.88";"12792.68";"355385";"3.497001e-01";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"0";" -0.494550407";"  0.1532706";"Inf";"   -0.8350889";"-1.540120e-01";"V1 14D+";"no-vax";"358";"187463";"6720231.0";" 56";" 96299";"1415634";"12767.96";"12789.76";"355385";"4.463558e-01";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"0";" -0.734501159";"  0.1147747";"Inf";"   -0.9895090";"-4.794934e-01";"V2 7D+";"no-vax";"358";"187463";"6720231.0";"107";" 51171";"3765820";"12767.96";"12789.76";"355385";"4.463558e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"1";" -1.136885345";"  0.6003763";"Inf";"   -2.4708084";" 1.970377e-01";"V1 14D+";"no-vax";" 42";" 11634";" 439982.0";"  3";"  5833";"  81738";"12767.96";"12789.76";"355385";"4.463558e-01";"cancer_dx_lung"
