"term";"estimate";"std.error";"statistic";"p.value"
"periodV1 14D+";-0.380206881881571;0.0640657057775697;-5.93463971507024;2.9e-09
"periodV2 7D+";-0.885404482362609;0.0849799214713138;-10.4189844734264;0
