"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;106508;1949;6069939.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;92372;396;1028003.5;1.18156939706489;0.0742917935750188;2.24578710915698;0.0247176473964838;1.02146136484001;1.36677341712181
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;58788;315;887163;0.957790510051412;0.0696509852827015;-0.619175723312106;0.535800602897944;0.835571278804273;1.09788678047589
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;8683;88;311834;0.831590575832028;0.111943713587856;-1.64739090499333;0.0994777235752533;0.667763838880459;1.03560996500208
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;42276;191;539129;1.01660478771066;0.0845366123996191;0.194808321324094;0.845543007624748;0.861379349247097;1.1998027295402
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34443;462;1329029;0.93228138502618;0.0570705853455709;-1.22866436667953;0.219197671489287;0.833620608121681;1.04261887529952
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;26008;227;719257;0.898204522941418;0.0801494848341237;-1.33946566221575;0.180419125743899;0.767629882032735;1.05099004600503
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;25421;153;638450;0.861983820104259;0.0973089184011273;-1.52626070781154;0.12694494993079;0.712310936653961;1.04310641306703
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;28304;216;893727;1.44524517631067;0.0961146498924586;3.83166332885854;0.000127279834794539;1.19709492659073;1.74483541217392
