"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;77705;403;4207487.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;73197;37;821995.5;0.912981017692951;0.23249826394809;-0.391573632392814;0.695373273484382;0.57884044256203;1.44000708550756
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;47442;46;720753;0.703113575981942;0.175863604464133;-2.00289788377181;0.0451882502948803;0.498115564248398;0.992477923222621
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;6890;15;248416;0.460519743274885;0.26781076884292;-2.89532625590393;0.00378764640867625;0.272450314871791;0.778411410703506
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34195;13;437142;0.292131020119563;0.294570524923194;-4.17744741647326;2.94798786581166e-05;0.163998089918187;0.520375163873371
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;27975;50;1075018;0.370555812387429;0.15782098744006;-6.29036239712041;3.16725693319122e-10;0.271966969354601;0.504883407054755
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20899;28;574961;0.371555958468737;0.210776407951787;-4.69718507559581;2.63771428645439e-06;0.245816497606235;0.561613364513743
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20097;24;505299;0.400032569860449;0.231761696788405;-3.95323870697377;7.71004510450634e-05;0.253991649309322;0.630044560064526
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;22337;39;703657;0.988533675651161;0.2194484119525;-0.0525525312421803;0.958088439249754;0.64297878220394;1.51979949407794
