"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;77742;50;4209780.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;73197;3;822142.5;0.545342144640001;0.730299828111431;-0.830264323809696;0.406389354285085;0.130327697018874;2.2819251895281
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;47470;10;720861;1.03444350816408;0.408790124702932;0.0828386176706439;0.933979862176782;0.464241534916558;2.30499274860259
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;6896;3;248415;0.76815304118464;0.612836307265448;-0.430402523779461;0.666902859791492;0.231100318394146;2.55325954884603
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34195;2;437071;0.32208490286268;0.757361299994596;-1.49590439162256;0.134678571735159;0.0729967057196028;1.42114200400421
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;27973;5;1074435;0.309628392061907;0.490587404358597;-2.38975241807879;0.0168597339077185;0.118372827580521;0.809896520429307
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20889;3;574977;0.312615741879998;0.63663040333236;-1.82646084490277;0.0677808740157495;0.0897656255119431;1.08870852861354
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20094;3;505459;0.44141255364804;0.660275250552174;-1.23853702581514;0.215517002005419;0.121008915291614;1.61017097003584
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;22361;2;704540;0.636825318347652;0.871290611509069;-0.517921208572392;0.604513243930556;0.115445340304073;3.51288744110775
