"level";"Overall"
"Jansen-Ad26-Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"     6 (  0.0) "
"Moderna-mRNA-1273-AZ-ChAdOx1-AZ-ChAdOx1";"     1 (  0.0) "
"Moderna-mRNA-1273-Moderna-mRNA-1273-Moderna-mRNA-1273";" 12339 ( 11.1) "
"Moderna-mRNA-1273-Moderna-mRNA-1273-NA";"  3920 (  3.5) "
"Moderna-mRNA-1273-Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"   527 (  0.5) "
"Moderna-mRNA-1273-NA-NA";"   752 (  0.7) "
"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"     2 (  0.0) "
"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b-NA";"    24 (  0.0) "
"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"     5 (  0.0) "
"NA-NA-NA";" 14282 ( 12.8) "
"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273-Moderna-mRNA-1273";"     2 (  0.0) "
"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273-NA";"   522 (  0.5) "
"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"     8 (  0.0) "
"Pfizer-mRNA-BNT162b-NA-NA";"   965 (  0.9) "
"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b-AZ-ChAdOx1";"     3 (  0.0) "
"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";" 30581 ( 27.4) "
"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b-NA";"  9873 (  8.8) "
"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";" 16746 ( 15.0) "
"0";" 14282 ( 12.8) "
"1";" 97294 ( 87.2) "
"0";" 25795 ( 23.1) "
"1";" 24440 ( 21.9) "
"2";" 21542 ( 19.3) "
"3";" 20393 ( 18.3) "
"4";" 19406 ( 17.4) "
"0";" 93050 ( 83.4) "
"1";" 18526 ( 16.6) "
"0";" 98256 ( 88.1) "
"1";" 13320 ( 11.9) "
"0";" 96845 ( 86.8) "
"1";" 14731 ( 13.2) "
"0";"105177 ( 94.3) "
"1";"  6399 (  5.7) "
"0";"108244 ( 97.0) "
"1";"  3332 (  3.0) "
"0";"109265 ( 97.9) "
"1";"  2311 (  2.1) "
"0";"109128 ( 97.8) "
"1";"  2448 (  2.2) "
"0";"101741 ( 91.2) "
"1";"  9835 (  8.8) "
"0";"109490 ( 98.1) "
"1";"  2086 (  1.9) "
"0";"107240 ( 96.1) "
"1";"  4336 (  3.9) "
"0";"109915 ( 98.5) "
"1";"  1661 (  1.5) "
"0";"107565 ( 96.4) "
"1";"  4011 (  3.6) "
"0";"109695 ( 98.3) "
"1";"  1881 (  1.7) "
"0";"110998 ( 99.5) "
"1";"   578 (  0.5) "
"0";"110721 ( 99.2) "
"1";"   855 (  0.8) "
"0";"109397 ( 98.0) "
"1";"  2179 (  2.0) "
"0";"110427 ( 99.0) "
"1";"  1149 (  1.0) "
"0";"111079 ( 99.6) "
"1";"   497 (  0.4) "
"0";"110380 ( 98.9) "
"1";"  1196 (  1.1) "
"0";"108543 ( 97.3) "
"1";"  3033 (  2.7) "
"0";"110260 ( 98.8) "
"1";"  1316 (  1.2) "
"0";"107680 ( 96.5) "
"1";"  3896 (  3.5) "
"0";"108705 ( 97.4) "
"1";"  2871 (  2.6) "
"0";"102131 ( 91.5) "
"1";"  9445 (  8.5) "
"0";" 99999 ( 89.6) "
"1";" 11577 ( 10.4) "
"0";" 90768 ( 81.4) "
"1";" 20808 ( 18.6) "
"0";" 84641 ( 75.9) "
"1";" 26935 ( 24.1) "
"0";"109397 ( 98.0) "
"1";"  2179 (  2.0) "
"0";" 93050 ( 83.4) "
"1";" 18526 ( 16.6) "
"0";"110150 ( 98.7) "
"1";"  1426 (  1.3) "
"0";"104881 ( 94.0) "
"1";"  6695 (  6.0) "
"0";"105836 ( 94.9) "
"1";"  5740 (  5.1) "
"0";"108244 ( 97.0) "
"1";"  3332 (  3.0) "
"0";"103502 ( 92.8) "
"1";"  8074 (  7.2) "
"0";" 99456 ( 89.1) "
"1";" 12120 ( 10.9) "
"0";"110174 ( 98.7) "
"1";"  1402 (  1.3) "
"0";"108843 ( 97.6) "
"1";"  2733 (  2.4) "
"0";"111482 ( 99.9) "
"1";"    94 (  0.1) "
"0";"111079 ( 99.6) "
"1";"   497 (  0.4) "
"0";"110785 ( 99.3) "
"1";"   791 (  0.7) "
"0";"102131 ( 91.5) "
"1";"  9445 (  8.5) "
"";"  3.00 [2.00, 6.00]"
"0";"108247 ( 97.0) "
"1";"  3329 (  3.0) "
"1";"111576 (100.0) "
"0";" 94166 ( 84.4) "
"1";" 17410 ( 15.6) "
"0";" 86368 ( 77.4) "
"1";" 25208 ( 22.6) "
"0";"107904 ( 96.7) "
"1";"  3672 (  3.3) "
"0";"105012 ( 94.1) "
"1";"  6564 (  5.9) "
"0";" 91375 ( 81.9) "
"1";" 20201 ( 18.1) "
"0";" 91341 ( 81.9) "
"1";" 20235 ( 18.1) "
"0";"104048 ( 93.3) "
"1";"  7528 (  6.7) "
"0";"104268 ( 93.5) "
"1";"  7308 (  6.5) "
"0";"101996 ( 91.4) "
"1";"  9580 (  8.6) "
"0";"108451 ( 97.2) "
"1";"  3125 (  2.8) "
"0";"105513 ( 94.6) "
"1";"  6063 (  5.4) "
"0";"106496 ( 95.4) "
"1";"  5080 (  4.6) "
"0";"109530 ( 98.2) "
"1";"  2046 (  1.8) "
"0";"109804 ( 98.4) "
"1";"  1772 (  1.6) "
"0";"110876 ( 99.4) "
"1";"   700 (  0.6) "
"";"  7.35 (8.72)"
"";"  8.33 (9.57)"
"0";" 11439 ( 10.3) "
"1";" 10702 (  9.6) "
"2";" 10404 (  9.3) "
"3+";" 79031 ( 70.8) "
