"age_group";"vac_exposure_date";"vac_concept_id";"n"
"18-49";2021-02-27;"AZ-ChAdOx1";13
"18-49";2021-02-28;"AZ-ChAdOx1";4
"18-49";2021-03-01;"Pfizer-mRNA-BNT162b";2
"18-49";2021-03-01;"Moderna-mRNA-1273";4
"18-49";2021-03-01;"AZ-ChAdOx1";12
"18-49";2021-03-02;"Pfizer-mRNA-BNT162b";8
"18-49";2021-03-02;"Moderna-mRNA-1273";2
"18-49";2021-03-02;"AZ-ChAdOx1";23
"18-49";2021-03-03;"Pfizer-mRNA-BNT162b";12
"18-49";2021-03-03;"Moderna-mRNA-1273";5
"18-49";2021-03-03;"AZ-ChAdOx1";25
"18-49";2021-03-04;"Pfizer-mRNA-BNT162b";15
"18-49";2021-03-04;"Moderna-mRNA-1273";13
"18-49";2021-03-04;"AZ-ChAdOx1";66
"18-49";2021-03-05;"Pfizer-mRNA-BNT162b";47
"18-49";2021-03-05;"Moderna-mRNA-1273";14
"18-49";2021-03-05;"AZ-ChAdOx1";60
"18-49";2021-03-06;"Pfizer-mRNA-BNT162b";6
"18-49";2021-03-06;"Moderna-mRNA-1273";2
"18-49";2021-03-06;"AZ-ChAdOx1";10
"18-49";2021-03-07;"Pfizer-mRNA-BNT162b";2
"18-49";2021-03-07;"AZ-ChAdOx1";6
"18-49";2021-03-08;"Pfizer-mRNA-BNT162b";16
"18-49";2021-03-08;"Moderna-mRNA-1273";10
"18-49";2021-03-08;"AZ-ChAdOx1";43
"18-49";2021-03-09;"Pfizer-mRNA-BNT162b";27
"18-49";2021-03-09;"Moderna-mRNA-1273";2
"18-49";2021-03-09;"AZ-ChAdOx1";49
"18-49";2021-03-10;"Pfizer-mRNA-BNT162b";28
"18-49";2021-03-10;"Moderna-mRNA-1273";6
"18-49";2021-03-10;"AZ-ChAdOx1";57
"18-49";2021-03-11;"Pfizer-mRNA-BNT162b";23
"18-49";2021-03-11;"Moderna-mRNA-1273";12
"18-49";2021-03-11;"AZ-ChAdOx1";29
"18-49";2021-03-12;"Pfizer-mRNA-BNT162b";42
"18-49";2021-03-12;"Moderna-mRNA-1273";12
"18-49";2021-03-12;"AZ-ChAdOx1";28
"18-49";2021-03-13;"Pfizer-mRNA-BNT162b";1
"18-49";2021-03-13;"AZ-ChAdOx1";10
"18-49";2021-03-14;"AZ-ChAdOx1";1
"18-49";2021-03-15;"Pfizer-mRNA-BNT162b";10
"18-49";2021-03-15;"Moderna-mRNA-1273";11
"18-49";2021-03-15;"AZ-ChAdOx1";17
"18-49";2021-03-16;"Pfizer-mRNA-BNT162b";18
"18-49";2021-03-16;"Moderna-mRNA-1273";2
"18-49";2021-03-17;"Pfizer-mRNA-BNT162b";36
"18-49";2021-03-17;"Moderna-mRNA-1273";23
"18-49";2021-03-18;"Pfizer-mRNA-BNT162b";37
"18-49";2021-03-18;"Moderna-mRNA-1273";36
"18-49";2021-03-19;"Pfizer-mRNA-BNT162b";29
"18-49";2021-03-19;"Moderna-mRNA-1273";40
"18-49";2021-03-20;"Pfizer-mRNA-BNT162b";5
"18-49";2021-03-22;"Pfizer-mRNA-BNT162b";3
"18-49";2021-03-22;"Moderna-mRNA-1273";77
"18-49";2021-03-23;"Pfizer-mRNA-BNT162b";9
"18-49";2021-03-23;"Moderna-mRNA-1273";45
"18-49";2021-03-23;"AZ-ChAdOx1";1
"18-49";2021-03-24;"Pfizer-mRNA-BNT162b";11
"18-49";2021-03-24;"Moderna-mRNA-1273";75
"18-49";2021-03-24;"AZ-ChAdOx1";4
"18-49";2021-03-25;"Pfizer-mRNA-BNT162b";13
"18-49";2021-03-25;"Moderna-mRNA-1273";91
"18-49";2021-03-25;"AZ-ChAdOx1";8
"18-49";2021-03-26;"Pfizer-mRNA-BNT162b";7
"18-49";2021-03-26;"Moderna-mRNA-1273";121
"18-49";2021-03-26;"AZ-ChAdOx1";6
"18-49";2021-03-27;"Moderna-mRNA-1273";1
"18-49";2021-03-27;"AZ-ChAdOx1";2
"18-49";2021-03-28;"Pfizer-mRNA-BNT162b";1
"18-49";2021-03-29;"Pfizer-mRNA-BNT162b";3
"18-49";2021-03-29;"Moderna-mRNA-1273";90
"18-49";2021-03-29;"AZ-ChAdOx1";2
"18-49";2021-03-30;"Pfizer-mRNA-BNT162b";6
"18-49";2021-03-30;"Moderna-mRNA-1273";101
"18-49";2021-03-30;"AZ-ChAdOx1";9
"18-49";2021-03-31;"Pfizer-mRNA-BNT162b";15
"18-49";2021-03-31;"Moderna-mRNA-1273";74
"18-49";2021-03-31;"AZ-ChAdOx1";9
"18-49";2021-04-01;"Pfizer-mRNA-BNT162b";4
"18-49";2021-04-01;"Moderna-mRNA-1273";35
"18-49";2021-04-01;"AZ-ChAdOx1";4
"18-49";2021-04-02;"Pfizer-mRNA-BNT162b";3
"18-49";2021-04-02;"Moderna-mRNA-1273";2
"18-49";2021-04-02;"AZ-ChAdOx1";2
"18-49";2021-04-03;"Moderna-mRNA-1273";1
"18-49";2021-04-03;"AZ-ChAdOx1";3
"18-49";2021-04-04;"AZ-ChAdOx1";2
"18-49";2021-04-05;"Pfizer-mRNA-BNT162b";1
"18-49";2021-04-05;"AZ-ChAdOx1";2
"18-49";2021-04-06;"Pfizer-mRNA-BNT162b";1
"18-49";2021-04-06;"Moderna-mRNA-1273";74
"18-49";2021-04-06;"AZ-ChAdOx1";1
"18-49";2021-04-07;"Pfizer-mRNA-BNT162b";10
"18-49";2021-04-07;"Moderna-mRNA-1273";66
"18-49";2021-04-07;"AZ-ChAdOx1";2
"18-49";2021-04-08;"Pfizer-mRNA-BNT162b";10
"18-49";2021-04-08;"Moderna-mRNA-1273";63
"18-49";2021-04-09;"Pfizer-mRNA-BNT162b";11
"18-49";2021-04-09;"Moderna-mRNA-1273";64
"18-49";2021-04-10;"Moderna-mRNA-1273";9
"18-49";2021-04-12;"Pfizer-mRNA-BNT162b";2
"18-49";2021-04-12;"Moderna-mRNA-1273";58
"18-49";2021-04-13;"Pfizer-mRNA-BNT162b";6
"18-49";2021-04-13;"Moderna-mRNA-1273";43
"18-49";2021-04-14;"Pfizer-mRNA-BNT162b";4
"18-49";2021-04-14;"Moderna-mRNA-1273";75
"18-49";2021-04-15;"Pfizer-mRNA-BNT162b";6
"18-49";2021-04-15;"Moderna-mRNA-1273";80
"18-49";2021-04-16;"Pfizer-mRNA-BNT162b";6
"18-49";2021-04-16;"Moderna-mRNA-1273";81
"18-49";2021-04-17;"Moderna-mRNA-1273";16
"18-49";2021-04-19;"Pfizer-mRNA-BNT162b";1
"18-49";2021-04-19;"Moderna-mRNA-1273";118
"18-49";2021-04-20;"Pfizer-mRNA-BNT162b";3
"18-49";2021-04-20;"Moderna-mRNA-1273";85
"18-49";2021-04-21;"Pfizer-mRNA-BNT162b";8
"18-49";2021-04-21;"Moderna-mRNA-1273";92
"18-49";2021-04-22;"Pfizer-mRNA-BNT162b";7
"18-49";2021-04-22;"Moderna-mRNA-1273";126
"18-49";2021-04-23;"Pfizer-mRNA-BNT162b";6
"18-49";2021-04-23;"Moderna-mRNA-1273";127
"18-49";2021-04-24;"Pfizer-mRNA-BNT162b";6
"18-49";2021-04-24;"Moderna-mRNA-1273";6
"18-49";2021-04-25;"Pfizer-mRNA-BNT162b";2
"18-49";2021-04-25;"Moderna-mRNA-1273";3
"18-49";2021-04-26;"Pfizer-mRNA-BNT162b";1
"18-49";2021-04-26;"Moderna-mRNA-1273";127
"18-49";2021-04-27;"Pfizer-mRNA-BNT162b";2
"18-49";2021-04-27;"Moderna-mRNA-1273";147
"18-49";2021-04-28;"Pfizer-mRNA-BNT162b";7
"18-49";2021-04-28;"Moderna-mRNA-1273";104
"18-49";2021-04-28;"Jansen-Ad26";1
"18-49";2021-04-29;"Pfizer-mRNA-BNT162b";10
"18-49";2021-04-29;"Moderna-mRNA-1273";84
"18-49";2021-04-30;"Pfizer-mRNA-BNT162b";9
"18-49";2021-04-30;"Moderna-mRNA-1273";50
"18-49";2021-05-01;"Moderna-mRNA-1273";1
"18-49";2021-05-02;"Pfizer-mRNA-BNT162b";2
"18-49";2021-05-03;"Pfizer-mRNA-BNT162b";8
"18-49";2021-05-03;"Moderna-mRNA-1273";38
"18-49";2021-05-04;"Pfizer-mRNA-BNT162b";6
"18-49";2021-05-04;"Moderna-mRNA-1273";86
"18-49";2021-05-04;"Jansen-Ad26";1
"18-49";2021-05-05;"Pfizer-mRNA-BNT162b";2
"18-49";2021-05-05;"Moderna-mRNA-1273";80
"18-49";2021-05-06;"Pfizer-mRNA-BNT162b";10
"18-49";2021-05-06;"Moderna-mRNA-1273";88
"18-49";2021-05-07;"Pfizer-mRNA-BNT162b";8
"18-49";2021-05-07;"Moderna-mRNA-1273";89
"18-49";2021-05-07;"AZ-ChAdOx1";1
"18-49";2021-05-08;"Pfizer-mRNA-BNT162b";1
"18-49";2021-05-08;"Moderna-mRNA-1273";3
"18-49";2021-05-10;"Pfizer-mRNA-BNT162b";6
"18-49";2021-05-10;"Moderna-mRNA-1273";51
"18-49";2021-05-11;"Pfizer-mRNA-BNT162b";5
"18-49";2021-05-11;"Moderna-mRNA-1273";72
"18-49";2021-05-12;"Pfizer-mRNA-BNT162b";8
"18-49";2021-05-12;"Moderna-mRNA-1273";79
"18-49";2021-05-13;"Pfizer-mRNA-BNT162b";18
"18-49";2021-05-13;"Moderna-mRNA-1273";85
"18-49";2021-05-14;"Pfizer-mRNA-BNT162b";24
"18-49";2021-05-14;"Moderna-mRNA-1273";67
"18-49";2021-05-14;"Jansen-Ad26";1
"18-49";2021-05-15;"Pfizer-mRNA-BNT162b";6
"18-49";2021-05-15;"Moderna-mRNA-1273";6
"18-49";2021-05-16;"Pfizer-mRNA-BNT162b";2
"18-49";2021-05-16;"Moderna-mRNA-1273";3
"18-49";2021-05-17;"Pfizer-mRNA-BNT162b";8
"18-49";2021-05-17;"Moderna-mRNA-1273";76
"18-49";2021-05-18;"Pfizer-mRNA-BNT162b";65
"18-49";2021-05-18;"Moderna-mRNA-1273";86
"18-49";2021-05-18;"Jansen-Ad26";1
"18-49";2021-05-19;"Pfizer-mRNA-BNT162b";51
"18-49";2021-05-19;"Moderna-mRNA-1273";73
"18-49";2021-05-20;"Pfizer-mRNA-BNT162b";61
"18-49";2021-05-20;"Moderna-mRNA-1273";80
"18-49";2021-05-21;"Pfizer-mRNA-BNT162b";43
"18-49";2021-05-21;"Moderna-mRNA-1273";57
"18-49";2021-05-21;"Jansen-Ad26";1
"18-49";2021-05-22;"Pfizer-mRNA-BNT162b";6
"18-49";2021-05-22;"Moderna-mRNA-1273";12
"18-49";2021-05-22;"Jansen-Ad26";1
"18-49";2021-05-23;"Pfizer-mRNA-BNT162b";6
"18-49";2021-05-23;"Moderna-mRNA-1273";3
"18-49";2021-05-23;"AZ-ChAdOx1";1
"18-49";2021-05-24;"Pfizer-mRNA-BNT162b";4
"18-49";2021-05-24;"Moderna-mRNA-1273";15
"18-49";2021-05-24;"Jansen-Ad26";1
"18-49";2021-05-25;"Pfizer-mRNA-BNT162b";39
"18-49";2021-05-25;"Moderna-mRNA-1273";86
"18-49";2021-05-25;"Jansen-Ad26";4
"18-49";2021-05-26;"Pfizer-mRNA-BNT162b";24
"18-49";2021-05-26;"Moderna-mRNA-1273";68
"18-49";2021-05-26;"AZ-ChAdOx1";2
"18-49";2021-05-26;"Jansen-Ad26";2
"18-49";2021-05-27;"Pfizer-mRNA-BNT162b";31
"18-49";2021-05-27;"Moderna-mRNA-1273";87
"18-49";2021-05-27;"AZ-ChAdOx1";24
"18-49";2021-05-27;"Jansen-Ad26";2
"18-49";2021-05-28;"Pfizer-mRNA-BNT162b";32
"18-49";2021-05-28;"Moderna-mRNA-1273";71
"18-49";2021-05-28;"AZ-ChAdOx1";78
"18-49";2021-05-28;"Jansen-Ad26";2
"18-49";2021-05-29;"Pfizer-mRNA-BNT162b";12
"18-49";2021-05-29;"Moderna-mRNA-1273";6
"18-49";2021-05-29;"AZ-ChAdOx1";69
"18-49";2021-05-29;"Jansen-Ad26";2
"18-49";2021-05-30;"Pfizer-mRNA-BNT162b";15
"18-49";2021-05-30;"Moderna-mRNA-1273";9
"18-49";2021-05-30;"AZ-ChAdOx1";57
"18-49";2021-05-31;"Pfizer-mRNA-BNT162b";28
"18-49";2021-05-31;"Moderna-mRNA-1273";58
"18-49";2021-05-31;"AZ-ChAdOx1";83
"18-49";2021-06-01;"Pfizer-mRNA-BNT162b";30
"18-49";2021-06-01;"Moderna-mRNA-1273";45
"18-49";2021-06-01;"AZ-ChAdOx1";65
"18-49";2021-06-02;"Pfizer-mRNA-BNT162b";51
"18-49";2021-06-02;"Moderna-mRNA-1273";30
"18-49";2021-06-02;"AZ-ChAdOx1";75
"18-49";2021-06-02;"Jansen-Ad26";7
"18-49";2021-06-03;"Pfizer-mRNA-BNT162b";74
"18-49";2021-06-03;"Moderna-mRNA-1273";46
"18-49";2021-06-03;"AZ-ChAdOx1";58
"18-49";2021-06-03;"Jansen-Ad26";4
"18-49";2021-06-04;"Pfizer-mRNA-BNT162b";103
"18-49";2021-06-04;"Moderna-mRNA-1273";62
"18-49";2021-06-04;"AZ-ChAdOx1";89
"18-49";2021-06-04;"Jansen-Ad26";5
"18-49";2021-06-05;"Pfizer-mRNA-BNT162b";112
"18-49";2021-06-05;"Moderna-mRNA-1273";6
"18-49";2021-06-05;"AZ-ChAdOx1";54
"18-49";2021-06-06;"Pfizer-mRNA-BNT162b";69
"18-49";2021-06-06;"Moderna-mRNA-1273";2
"18-49";2021-06-06;"AZ-ChAdOx1";32
"18-49";2021-06-07;"Pfizer-mRNA-BNT162b";249
"18-49";2021-06-07;"Moderna-mRNA-1273";72
"18-49";2021-06-07;"AZ-ChAdOx1";17
"18-49";2021-06-07;"Jansen-Ad26";3
"18-49";2021-06-08;"Pfizer-mRNA-BNT162b";268
"18-49";2021-06-08;"Moderna-mRNA-1273";64
"18-49";2021-06-08;"AZ-ChAdOx1";22
"18-49";2021-06-08;"Jansen-Ad26";4
"18-49";2021-06-09;"Pfizer-mRNA-BNT162b";311
"18-49";2021-06-09;"Moderna-mRNA-1273";44
"18-49";2021-06-09;"AZ-ChAdOx1";4
"18-49";2021-06-09;"Jansen-Ad26";3
"18-49";2021-06-10;"Pfizer-mRNA-BNT162b";310
"18-49";2021-06-10;"Moderna-mRNA-1273";67
"18-49";2021-06-10;"AZ-ChAdOx1";9
"18-49";2021-06-10;"Jansen-Ad26";11
"18-49";2021-06-11;"Pfizer-mRNA-BNT162b";397
"18-49";2021-06-11;"Moderna-mRNA-1273";43
"18-49";2021-06-11;"AZ-ChAdOx1";16
"18-49";2021-06-11;"Jansen-Ad26";15
"18-49";2021-06-12;"Pfizer-mRNA-BNT162b";194
"18-49";2021-06-12;"Moderna-mRNA-1273";17
"18-49";2021-06-12;"AZ-ChAdOx1";6
"18-49";2021-06-12;"Jansen-Ad26";14
"18-49";2021-06-13;"Pfizer-mRNA-BNT162b";79
"18-49";2021-06-13;"Moderna-mRNA-1273";9
"18-49";2021-06-13;"Jansen-Ad26";9
"18-49";2021-06-14;"Pfizer-mRNA-BNT162b";357
"18-49";2021-06-14;"Moderna-mRNA-1273";45
"18-49";2021-06-14;"AZ-ChAdOx1";10
"18-49";2021-06-14;"Jansen-Ad26";26
"18-49";2021-06-15;"Pfizer-mRNA-BNT162b";342
"18-49";2021-06-15;"Moderna-mRNA-1273";68
"18-49";2021-06-15;"AZ-ChAdOx1";5
"18-49";2021-06-15;"Jansen-Ad26";26
"18-49";2021-06-16;"Pfizer-mRNA-BNT162b";315
"18-49";2021-06-16;"Moderna-mRNA-1273";50
"18-49";2021-06-16;"AZ-ChAdOx1";6
"18-49";2021-06-16;"Jansen-Ad26";42
"18-49";2021-06-17;"Pfizer-mRNA-BNT162b";221
"18-49";2021-06-17;"Moderna-mRNA-1273";58
"18-49";2021-06-17;"AZ-ChAdOx1";20
"18-49";2021-06-17;"Jansen-Ad26";83
