"vac_exposure_date";"vac_number";"vac_concept_id";"n"
2021-02-12;"Dose Two";"Pfizer-mRNA-BNT162b";77
2021-02-13;"Dose One";"Pfizer-mRNA-BNT162b";23
2021-02-13;"Dose One";"Moderna-mRNA-1273";1
2021-02-13;"Dose One";"AZ-ChAdOx1";1
2021-02-13;"Dose Two";"Pfizer-mRNA-BNT162b";18
2021-02-14;"Dose One";"Pfizer-mRNA-BNT162b";1
2021-02-14;"Dose One";"AZ-ChAdOx1";4
2021-02-14;"Dose One";"Jansen-Ad26";1
2021-02-14;"Dose Two";"Pfizer-mRNA-BNT162b";5
2021-02-15;"Dose One";"Pfizer-mRNA-BNT162b";71
2021-02-15;"Dose One";"Moderna-mRNA-1273";20
2021-02-15;"Dose Two";"Pfizer-mRNA-BNT162b";25
2021-02-15;"Dose Two";"Moderna-mRNA-1273";1
2021-02-16;"Dose One";"Pfizer-mRNA-BNT162b";50
2021-02-16;"Dose One";"Moderna-mRNA-1273";5
2021-02-16;"Dose One";"AZ-ChAdOx1";23
2021-02-16;"Dose Two";"Pfizer-mRNA-BNT162b";6
2021-02-16;"Dose Two";"Moderna-mRNA-1273";1
2021-02-17;"Dose One";"Pfizer-mRNA-BNT162b";62
2021-02-17;"Dose One";"Moderna-mRNA-1273";5
2021-02-17;"Dose One";"AZ-ChAdOx1";74
2021-02-17;"Dose Two";"Pfizer-mRNA-BNT162b";8
2021-02-17;"Dose Two";"Moderna-mRNA-1273";1
2021-02-18;"Dose One";"Pfizer-mRNA-BNT162b";195
2021-02-18;"Dose One";"Moderna-mRNA-1273";9
2021-02-18;"Dose One";"AZ-ChAdOx1";91
2021-02-18;"Dose Two";"Pfizer-mRNA-BNT162b";9
2021-02-18;"Dose Two";"Moderna-mRNA-1273";6
2021-02-19;"Dose One";"Pfizer-mRNA-BNT162b";266
2021-02-19;"Dose One";"Moderna-mRNA-1273";7
2021-02-19;"Dose One";"AZ-ChAdOx1";74
2021-02-19;"Dose Two";"Pfizer-mRNA-BNT162b";15
2021-02-19;"Dose Two";"Moderna-mRNA-1273";14
2021-02-20;"Dose One";"Pfizer-mRNA-BNT162b";25
2021-02-20;"Dose Two";"Pfizer-mRNA-BNT162b";3
2021-02-21;"Dose One";"Pfizer-mRNA-BNT162b";4
2021-02-21;"Dose One";"AZ-ChAdOx1";1
2021-02-22;"Dose One";"Pfizer-mRNA-BNT162b";106
2021-02-22;"Dose One";"Moderna-mRNA-1273";6
2021-02-22;"Dose One";"AZ-ChAdOx1";55
2021-02-22;"Dose Two";"Pfizer-mRNA-BNT162b";10
2021-02-22;"Dose Two";"Moderna-mRNA-1273";2
2021-02-23;"Dose One";"Pfizer-mRNA-BNT162b";572
2021-02-23;"Dose One";"Moderna-mRNA-1273";23
2021-02-23;"Dose One";"AZ-ChAdOx1";68
2021-02-23;"Dose Two";"Pfizer-mRNA-BNT162b";6
2021-02-23;"Dose Two";"Moderna-mRNA-1273";7
2021-02-24;"Dose One";"Pfizer-mRNA-BNT162b";1047
2021-02-24;"Dose One";"Moderna-mRNA-1273";21
2021-02-24;"Dose One";"AZ-ChAdOx1";78
2021-02-24;"Dose Two";"Pfizer-mRNA-BNT162b";6
2021-02-24;"Dose Two";"Moderna-mRNA-1273";2
2021-02-25;"Dose One";"Pfizer-mRNA-BNT162b";1072
2021-02-25;"Dose One";"Moderna-mRNA-1273";24
2021-02-25;"Dose One";"AZ-ChAdOx1";80
2021-02-25;"Dose Two";"Pfizer-mRNA-BNT162b";5
2021-02-25;"Dose Two";"Moderna-mRNA-1273";2
2021-02-26;"Dose One";"Pfizer-mRNA-BNT162b";705
2021-02-26;"Dose One";"Moderna-mRNA-1273";28
2021-02-26;"Dose One";"AZ-ChAdOx1";79
2021-02-26;"Dose Two";"Pfizer-mRNA-BNT162b";10
2021-02-26;"Dose Two";"Moderna-mRNA-1273";2
2021-02-27;"Dose One";"Pfizer-mRNA-BNT162b";31
2021-02-27;"Dose One";"AZ-ChAdOx1";14
2021-02-28;"Dose One";"AZ-ChAdOx1";5
2021-03-01;"Dose One";"Pfizer-mRNA-BNT162b";49
2021-03-01;"Dose One";"Moderna-mRNA-1273";29
2021-03-01;"Dose One";"AZ-ChAdOx1";14
2021-03-01;"Dose One";"Jansen-Ad26";1
2021-03-01;"Dose Two";"Pfizer-mRNA-BNT162b";2
2021-03-01;"Dose Two";"Moderna-mRNA-1273";2
2021-03-02;"Dose One";"Pfizer-mRNA-BNT162b";488
2021-03-02;"Dose One";"Moderna-mRNA-1273";44
2021-03-02;"Dose One";"AZ-ChAdOx1";24
2021-03-02;"Dose Two";"Pfizer-mRNA-BNT162b";3
2021-03-03;"Dose One";"Pfizer-mRNA-BNT162b";885
2021-03-03;"Dose One";"Moderna-mRNA-1273";36
2021-03-03;"Dose One";"AZ-ChAdOx1";29
2021-03-03;"Dose Two";"Pfizer-mRNA-BNT162b";8
2021-03-04;"Dose One";"Pfizer-mRNA-BNT162b";669
2021-03-04;"Dose One";"Moderna-mRNA-1273";59
2021-03-04;"Dose One";"AZ-ChAdOx1";90
2021-03-04;"Dose One";"Jansen-Ad26";1
2021-03-04;"Dose Two";"Pfizer-mRNA-BNT162b";22
2021-03-04;"Dose Two";"Moderna-mRNA-1273";7
2021-03-05;"Dose One";"Pfizer-mRNA-BNT162b";394
2021-03-05;"Dose One";"Moderna-mRNA-1273";83
2021-03-05;"Dose One";"AZ-ChAdOx1";82
2021-03-05;"Dose Two";"Pfizer-mRNA-BNT162b";73
2021-03-05;"Dose Two";"Moderna-mRNA-1273";11
2021-03-06;"Dose One";"Pfizer-mRNA-BNT162b";8
2021-03-06;"Dose One";"Moderna-mRNA-1273";12
2021-03-06;"Dose One";"AZ-ChAdOx1";20
2021-03-06;"Dose Two";"Pfizer-mRNA-BNT162b";16
2021-03-06;"Dose Two";"Moderna-mRNA-1273";3
2021-03-07;"Dose One";"Pfizer-mRNA-BNT162b";1
2021-03-07;"Dose One";"AZ-ChAdOx1";10
2021-03-07;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-03-08;"Dose One";"Pfizer-mRNA-BNT162b";47
2021-03-08;"Dose One";"Moderna-mRNA-1273";42
2021-03-08;"Dose One";"AZ-ChAdOx1";54
2021-03-08;"Dose Two";"Pfizer-mRNA-BNT162b";45
2021-03-08;"Dose Two";"Moderna-mRNA-1273";20
2021-03-09;"Dose One";"Pfizer-mRNA-BNT162b";265
2021-03-09;"Dose One";"Moderna-mRNA-1273";8
2021-03-09;"Dose One";"AZ-ChAdOx1";75
2021-03-09;"Dose Two";"Pfizer-mRNA-BNT162b";59
2021-03-09;"Dose Two";"Moderna-mRNA-1273";3
2021-03-10;"Dose One";"Pfizer-mRNA-BNT162b";345
2021-03-10;"Dose One";"Moderna-mRNA-1273";32
2021-03-10;"Dose One";"AZ-ChAdOx1";78
2021-03-10;"Dose One";"Jansen-Ad26";1
2021-03-10;"Dose Two";"Pfizer-mRNA-BNT162b";52
2021-03-10;"Dose Two";"Moderna-mRNA-1273";6
2021-03-11;"Dose One";"Pfizer-mRNA-BNT162b";249
2021-03-11;"Dose One";"Moderna-mRNA-1273";21
2021-03-11;"Dose One";"AZ-ChAdOx1";37
2021-03-11;"Dose Two";"Pfizer-mRNA-BNT162b";162
2021-03-11;"Dose Two";"Moderna-mRNA-1273";28
2021-03-12;"Dose One";"Pfizer-mRNA-BNT162b";125
2021-03-12;"Dose One";"Moderna-mRNA-1273";14
2021-03-12;"Dose One";"AZ-ChAdOx1";53
2021-03-12;"Dose Two";"Pfizer-mRNA-BNT162b";273
2021-03-12;"Dose Two";"Moderna-mRNA-1273";25
2021-03-13;"Dose One";"Pfizer-mRNA-BNT162b";5
2021-03-13;"Dose One";"AZ-ChAdOx1";13
2021-03-13;"Dose Two";"Pfizer-mRNA-BNT162b";14
2021-03-14;"Dose One";"AZ-ChAdOx1";1
2021-03-14;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-03-15;"Dose One";"Pfizer-mRNA-BNT162b";32
2021-03-15;"Dose One";"Moderna-mRNA-1273";12
2021-03-15;"Dose One";"AZ-ChAdOx1";37
2021-03-15;"Dose Two";"Pfizer-mRNA-BNT162b";54
2021-03-15;"Dose Two";"Moderna-mRNA-1273";18
2021-03-16;"Dose One";"Pfizer-mRNA-BNT162b";41
2021-03-16;"Dose One";"Moderna-mRNA-1273";20
2021-03-16;"Dose Two";"Pfizer-mRNA-BNT162b";444
2021-03-16;"Dose Two";"Moderna-mRNA-1273";6
2021-03-16;"Dose Two";"AZ-ChAdOx1";1
2021-03-17;"Dose One";"Pfizer-mRNA-BNT162b";72
2021-03-17;"Dose One";"Moderna-mRNA-1273";86
2021-03-17;"Dose One";"AZ-ChAdOx1";1
