"Overall"
"111576"
" 65.03 (15.58)"
""
" 19154 ( 17.2) "
" 18844 ( 16.9) "
" 26953 ( 24.2) "
" 27628 ( 24.8) "
" 18997 ( 17.0) "
" 56701 ( 50.8) "
""
" 14465 ( 13.0) "
" 17077 ( 15.3) "
" 17552 ( 15.7) "
" 16661 ( 14.9) "
" 16156 ( 14.5) "
" 15799 ( 14.2) "
" 13866 ( 12.4) "
""
"  1036 (  0.9) "
"  1980 (  1.8) "
"  1544 (  1.4) "
"  1685 (  1.5) "
"   403 (  0.4) "
"    90 (  0.1) "
"   735 (  0.7) "
"  1744 (  1.6) "
"  3243 (  2.9) "
"  2142 (  1.9) "
"  1612 (  1.4) "
"   665 (  0.6) "
"  7050 (  6.3) "
"  2315 (  2.1) "
"  3065 (  2.7) "
"  2316 (  2.1) "
"  1055 (  0.9) "
"    35 (  0.0) "
"  3169 (  2.8) "
"  5444 (  4.9) "
"  7857 (  7.0) "
"  4890 (  4.4) "
"  7940 (  7.1) "
"  6203 (  5.6) "
"   845 (  0.8) "
"     3 (  0.0) "
"  2715 (  2.4) "
"   787 (  0.7) "
"  2715 (  2.4) "
"  1563 (  1.4) "
"  4227 (  3.8) "
"  6343 (  5.7) "
"  4003 (  3.6) "
"  1289 (  1.2) "
"  2107 (  1.9) "
"   427 (  0.4) "
"   403 (  0.4) "
"   788 (  0.7) "
"  3086 (  2.8) "
"  7304 (  6.5) "
"   593 (  0.5) "
"  4050 (  3.6) "
"   110 (  0.1) "
""
" 58700 ( 52.6) "
" 17570 ( 15.7) "
" 17423 ( 15.6) "
"  3601 (  3.2) "
" 14282 ( 12.8) "
""
" 58102 ( 52.1) "
" 19695 ( 17.7) "
" 16910 ( 15.2) "
" 16869 ( 15.1) "
""
" 18033 ( 16.2) "
" 58056 ( 52.0) "
"     9 (  0.0) "
" 35478 ( 31.8) "
""
"     2 (  0.0) "
"     4 (  0.0) "
"     1 (  0.0) "
"111569 (100.0) "
""
"     1 (  0.0) "
"     2 (  0.0) "
"111573 (100.0) "
""
" 16909 ( 15.2) "
"   115 (  0.1) "
"   135 (  0.1) "
"   264 (  0.2) "
"  2262 (  2.0) "
"   735 (  0.7) "
"   604 (  0.5) "
"     1 (  0.0) "
" 16786 ( 15.0) "
"   752 (  0.7) "
"    31 (  0.0) "
" 14282 ( 12.8) "
"   532 (  0.5) "
"   965 (  0.9) "
" 57203 ( 51.3) "
""
"     5 (  0.0) "
" 14991 ( 13.4) "
"  1225 (  1.1) "
"   688 (  0.6) "
"     2 (  0.0) "
"   111 (  0.1) "
"     2 (  0.0) "
"   135 (  0.1) "
"   133 (  0.1) "
"    93 (  0.1) "
"    38 (  0.0) "
"     4 (  0.0) "
"  2245 (  2.0) "
"    13 (  0.0) "
"   735 (  0.7) "
"     2 (  0.0) "
"   596 (  0.5) "
"     6 (  0.0) "
"     1 (  0.0) "
" 12339 ( 11.1) "
"  3920 (  3.5) "
"   527 (  0.5) "
"   752 (  0.7) "
"     2 (  0.0) "
"    24 (  0.0) "
"     5 (  0.0) "
" 14282 ( 12.8) "
"     2 (  0.0) "
"   522 (  0.5) "
"     8 (  0.0) "
"   965 (  0.9) "
"     3 (  0.0) "
" 30581 ( 27.4) "
"  9873 (  8.8) "
" 16746 ( 15.0) "
" 97294 ( 87.2) "
""
" 25795 ( 23.1) "
" 24440 ( 21.9) "
" 21542 ( 19.3) "
" 20393 ( 18.3) "
" 19406 ( 17.4) "
" 18526 ( 16.6) "
" 13320 ( 11.9) "
" 14731 ( 13.2) "
"  6399 (  5.7) "
"  3332 (  3.0) "
"  2311 (  2.1) "
"  2448 (  2.2) "
"  9835 (  8.8) "
"  2086 (  1.9) "
"  4336 (  3.9) "
"  1661 (  1.5) "
"  4011 (  3.6) "
"  1881 (  1.7) "
"   578 (  0.5) "
"   855 (  0.8) "
"  2179 (  2.0) "
"  1149 (  1.0) "
"   497 (  0.4) "
"  1196 (  1.1) "
"  3033 (  2.7) "
"  1316 (  1.2) "
"  3896 (  3.5) "
"  2871 (  2.6) "
"  9445 (  8.5) "
" 11577 ( 10.4) "
" 20808 ( 18.6) "
" 26935 ( 24.1) "
"  2179 (  2.0) "
" 18526 ( 16.6) "
"  1426 (  1.3) "
"  6695 (  6.0) "
"  5740 (  5.1) "
"  3332 (  3.0) "
"  8074 (  7.2) "
" 12120 ( 10.9) "
"  1402 (  1.3) "
"  2733 (  2.4) "
"    94 (  0.1) "
"   497 (  0.4) "
"   791 (  0.7) "
"  9445 (  8.5) "
"  3.00 [2.00, 6.00]"
"  3329 (  3.0) "
"111576 (100.0) "
" 17410 ( 15.6) "
" 25208 ( 22.6) "
"  3672 (  3.3) "
"  6564 (  5.9) "
" 20201 ( 18.1) "
" 20235 ( 18.1) "
"  7528 (  6.7) "
"  7308 (  6.5) "
"  9580 (  8.6) "
"  3125 (  2.8) "
"  6063 (  5.4) "
"  5080 (  4.6) "
"  2046 (  1.8) "
"  1772 (  1.6) "
"   700 (  0.6) "
"  7.35 (8.72)"
"  8.33 (9.57)"
""
" 11439 ( 10.3) "
" 10702 (  9.6) "
" 10404 (  9.3) "
" 79031 ( 70.8) "
