"covid_date";"n"
2021-12-17;113
2021-12-18;52
2021-12-19;53
2021-12-20;167
2021-12-21;143
2021-12-22;175
2021-12-23;176
2021-12-24;225
2021-12-25;109
2021-12-26;122
2021-12-27;364
2021-12-28;395
2021-12-29;366
2021-12-30;334
2021-12-31;309
2022-01-01;121
2022-01-02;176
2022-01-03;430
2022-01-04;428
2022-01-05;412
2022-01-06;190
2022-01-07;381
2022-01-08;216
2022-01-09;251
2022-01-10;562
2022-01-11;450
2022-01-12;464
2022-01-13;351
2022-01-14;351
2022-01-15;218
2022-01-16;163
2022-01-17;447
2022-01-18;400
2022-01-19;415
2022-01-20;379
2022-01-21;342
2022-01-22;205
2022-01-23;212
2022-01-24;385
2022-01-25;323
2022-01-26;328
2022-01-27;261
2022-01-28;249
2022-01-29;136
2022-01-30;127
2022-01-31;282
2022-02-01;227
2022-02-02;202
2022-02-03;179
2022-02-04;146
2022-02-05;76
2022-02-06;78
2022-02-07;178
2022-02-08;146
2022-02-09;140
2022-02-10;103
2022-02-11;86
2022-02-12;36
2022-02-13;40
2022-02-14;107
2022-02-15;88
2022-02-16;71
2022-02-17;82
2022-02-18;74
2022-02-19;42
2022-02-20;28
2022-02-21;75
2022-02-22;52
2022-02-23;67
2022-02-24;58
2022-02-25;62
2022-02-26;27
2022-02-27;25
2022-02-28;71
2022-03-01;67
2022-03-02;65
2022-03-03;83
2022-03-04;62
2022-03-05;18
2022-03-06;25
2022-03-07;77
2022-03-08;73
2022-03-09;80
2022-03-10;74
2022-03-11;68
2022-03-12;24
2022-03-13;37
2022-03-14;97
2022-03-15;61
2022-03-16;69
2022-03-17;55
2022-03-18;61
2022-03-19;28
2022-03-20;32
2022-03-21;53
2022-03-22;38
2022-03-23;56
2022-03-24;48
2022-03-25;48
2022-03-26;19
2022-03-27;18
2022-03-28;46
2022-03-29;46
2022-03-30;53
2022-03-31;37
2022-04-01;59
2022-04-02;15
2022-04-03;19
2022-04-04;71
2022-04-05;70
2022-04-06;60
2022-04-07;54
2022-04-08;74
2022-04-09;25
2022-04-10;21
2022-04-11;62
2022-04-12;79
2022-04-13;60
2022-04-14;48
2022-04-15;19
2022-04-16;28
2022-04-17;27
2022-04-18;30
2022-04-19;112
2022-04-20;91
2022-04-21;85
2022-04-22;72
2022-04-23;28
2022-04-24;24
2022-04-25;90
2022-04-26;132
2022-04-27;91
2022-04-28;90
2022-04-29;107
2022-04-30;37
2022-05-01;24
2022-05-02;151
2022-05-03;153
2022-05-04;138
2022-05-05;132
2022-05-06;144
2022-05-07;49
2022-05-08;44
2022-05-09;150
2022-05-10;138
2022-05-11;126
2022-05-12;140
2022-05-13;134
2022-05-14;36
2022-05-15;43
2022-05-16;156
2022-05-17;134
2022-05-18;141
2022-05-19;111
2022-05-20;123
2022-05-21;42
2022-05-22;31
2022-05-23;145
2022-05-24;122
2022-05-25;107
2022-05-26;110
2022-05-27;105
2022-05-28;35
2022-05-29;19
2022-05-30;106
2022-05-31;91
2022-06-01;125
2022-06-02;114
2022-06-03;112
2022-06-04;39
2022-06-05;42
2022-06-06;47
2022-06-07;178
2022-06-08;155
2022-06-09;124
2022-06-10;135
2022-06-11;51
2022-06-12;36
2022-06-13;146
2022-06-14;124
2022-06-15;125
2022-06-16;139
2022-06-17;133
2022-06-18;66
2022-06-19;57
2022-06-20;224
2022-06-21;190
2022-06-22;193
2022-06-23;177
2022-06-24;75
2022-06-25;93
2022-06-26;101
2022-06-27;279
2022-06-28;250
2022-06-29;205
2022-06-30;198
