"outcomes";"outcomes_dates";"n";"n_total";"cum_sum"
"death_date";2021-04-23;22;164467;0.0178029635124371
"death_date";2021-04-24;5;164467;0.0178333647479434
"death_date";2021-04-26;6;164467;0.0178698462305508
"death_date";2021-04-27;12;164467;0.0179428091957657
"death_date";2021-04-28;77;164467;0.0184109882225614
"death_date";2021-04-29;7;164467;0.0184535499522701
"death_date";2021-04-30;16;164467;0.0185508339058899
"death_date";2021-05-01;32;164467;0.0187454018131297
"death_date";2021-05-02;1;164467;0.0187514820602309
"death_date";2021-05-03;10;164467;0.0188122845312433
"death_date";2021-05-04;5;164467;0.0188426857667496
"death_date";2021-05-05;8;164467;0.0188913277435595
"death_date";2021-05-06;36;164467;0.0191102166392042
"death_date";2021-05-07;32;164467;0.019304784546444
"death_date";2021-05-08;28;164467;0.0194750314652787
"death_date";2021-05-10;11;164467;0.0195419141833924
"death_date";2021-05-11;7;164467;0.0195844759131011
"death_date";2021-05-12;53;164467;0.0199067290094669
"death_date";2021-05-13;13;164467;0.0199857722217831
"death_date";2021-05-14;30;164467;0.0201681796348204
"death_date";2021-05-15;19;164467;0.020283704329744
"death_date";2021-05-17;11;164467;0.0203505870478576
"death_date";2021-05-18;9;164467;0.0204053092717688
"death_date";2021-05-19;67;164467;0.020812685827552
"death_date";2021-05-20;6;164467;0.0208491673101595
"death_date";2021-05-21;26;164467;0.0210072537347918
"death_date";2021-05-22;15;164467;0.0210984574413104
"death_date";2021-05-24;4;164467;0.0211227784297154
"death_date";2021-05-25;8;164467;0.0211714204065253
"death_date";2021-05-26;51;164467;0.0214815130086887
"death_date";2021-05-27;19;164467;0.0215970377036123
"death_date";2021-05-28;14;164467;0.0216821611630297
"death_date";2021-05-29;27;164467;0.0218463278347632
"death_date";2021-05-31;5;164467;0.0218767290702694
"death_date";2021-06-01;4;164467;0.0219010500586744
"death_date";2021-06-02;53;164467;0.0222233031550402
"death_date";2021-06-03;4;164467;0.0222476241434452
"death_date";2021-06-04;26;164467;0.0224057105680775
"death_date";2021-06-05;20;164467;0.0225273155101023
"death_date";2021-06-07;2;164467;0.0225394760043048
"death_date";2021-06-08;3;164467;0.0225577167456085
"death_date";2021-06-09;44;164467;0.0228252476180632
"death_date";2021-06-10;4;164467;0.0228495686064682
"death_date";2021-06-11;43;164467;0.0231110192318216
"death_date";2021-06-12;8;164467;0.0231596612086315
"death_date";2021-06-13;1;164467;0.0231657414557328
"death_date";2021-06-14;3;164467;0.0231839821970365
"death_date";2021-06-15;5;164467;0.0232143834325427
"death_date";2021-06-16;71;164467;0.0236460809767309
"death_date";2021-06-17;6;164467;0.0236825624593383
"death_date";2021-06-18;33;164467;0.0238832106136793
"death_date";2021-06-19;17;164467;0.0239865748144005
"death_date";2021-06-21;4;164467;0.0240108958028054
"death_date";2021-06-22;9;164467;0.0240656180267166
"death_date";2021-06-23;47;164467;0.024351389640475
"death_date";2021-06-24;2;164467;0.0243635501346775
"death_date";2021-06-25;20;164467;0.0244851550767023
"death_date";2021-06-26;8;164467;0.0245337970535123
"death_date";2021-06-28;4;164467;0.0245581180419172
"death_date";2021-06-29;14;164467;0.0246432415013346
"death_date";2021-06-30;40;164467;0.0248864513853843
"death_date";2021-07-01;5;164467;0.0249168526208905
"death_date";2021-07-02;26;164467;0.0250749390455228
"death_date";2021-07-03;4;164467;0.0250992600339278
"death_date";2021-07-04;1;164467;0.025105340281029
"death_date";2021-07-05;3;164467;0.0251235810223327
"death_date";2021-07-06;23;164467;0.0252634267056613
"death_date";2021-07-07;62;164467;0.0256404020259383
"death_date";2021-07-08;10;164467;0.0257012044969508
"death_date";2021-07-09;41;164467;0.0259504946281017
"death_date";2021-07-10;17;164467;0.0260538588288228
"death_date";2021-07-12;4;164467;0.0260781798172278
"death_date";2021-07-13;2;164467;0.0260903403114303
"death_date";2021-07-14;46;164467;0.0263700316780874
"death_date";2021-07-15;4;164467;0.0263943526664924
"death_date";2021-07-16;22;164467;0.0265281181027197
"death_date";2021-07-17;21;164467;0.0266558032918458
"death_date";2021-07-19;3;164467;0.0266740440331495
"death_date";2021-07-20;6;164467;0.026710525515757
"death_date";2021-07-21;61;164467;0.0270814205889327
"death_date";2021-07-22;9;164467;0.0271361428128439
"death_date";2021-07-23;6;164467;0.0271726242954514
"death_date";2021-07-24;13;164467;0.0272516675077675
"death_date";2021-07-26;7;164467;0.0272942292374762
"death_date";2021-07-27;30;164467;0.0274766366505135
"death_date";2021-07-28;33;164467;0.0276772848048545
"death_date";2021-07-29;4;164467;0.0277016057932594
"death_date";2021-07-30;22;164467;0.0278353712294868
"death_date";2021-07-31;9;164467;0.0278900934533979
"death_date";2021-08-02;9;164467;0.0279448156773091
"death_date";2021-08-03;37;164467;0.0281697848200551
"death_date";2021-08-04;20;164467;0.0282913897620799
"death_date";2021-08-05;4;164467;0.0283157107504849
"death_date";2021-08-06;62;164467;0.0286926860707619
"death_date";2021-08-07;16;164467;0.0287899700243818
"death_date";2021-08-09;10;164467;0.0288507724953942
"death_date";2021-08-10;11;164467;0.0289176552135079
"death_date";2021-08-11;55;164467;0.0292520688040762
"death_date";2021-08-12;17;164467;0.0293554330047973
"death_date";2021-08-13;28;164467;0.0295256799236321
"death_date";2021-08-14;19;164467;0.0296412046185557
"death_date";2021-08-16;5;164467;0.0296716058540619
"death_date";2021-08-17;7;164467;0.0297141675837706
"death_date";2021-08-18;51;164467;0.030024260185934
"death_date";2021-08-19;4;164467;0.0300485811743389
"death_date";2021-08-20;20;164467;0.0301701861163638
"death_date";2021-08-21;22;164467;0.0303039515525911
"death_date";2021-08-22;1;164467;0.0303100317996923
"death_date";2021-08-23;4;164467;0.0303343527880973
"death_date";2021-08-24;2;164467;0.0303465132822998
"death_date";2021-08-25;42;164467;0.030601883660552
"death_date";2021-08-26;5;164467;0.0306322848960582
"death_date";2021-08-27;18;164467;0.0307417293438805
"death_date";2021-08-28;13;164467;0.0308207725561967
"death_date";2021-08-30;1;164467;0.0308268528032979
"death_date";2021-08-31;4;164467;0.0308511737917029
"death_date";2021-09-01;43;164467;0.0311126244170563
"death_date";2021-09-02;20;164467;0.0312342293590812
"death_date";2021-09-03;32;164467;0.0314287972663209
"death_date";2021-09-04;16;164467;0.0315260812199408
"death_date";2021-09-06;5;164467;0.031556482455447
"death_date";2021-09-07;26;164467;0.0317145688800793
"death_date";2021-09-08;41;164467;0.0319638590112302
"death_date";2021-09-09;9;164467;0.0320185812351414
"death_date";2021-09-10;15;164467;0.03210978494166
"death_date";2021-09-11;15;164467;0.0322009886481787
"death_date";2021-09-13;4;164467;0.0322253096365836
"death_date";2021-09-14;6;164467;0.0322617911191911
"death_date";2021-09-15;43;164467;0.0325232417445445
"death_date";2021-09-16;5;164467;0.0325536429800507
"death_date";2021-09-17;35;164467;0.0327664516285942
"death_date";2021-09-18;1;164467;0.0327725318756954
"death_date";2021-09-20;6;164467;0.0328090133583029
"death_date";2021-09-21;29;164467;0.0329853405242389
"death_date";2021-09-22;46;164467;0.033265031890896
"death_date";2021-09-23;4;164467;0.033289352879301
"death_date";2021-09-24;22;164467;0.0334231183155283
"death_date";2021-09-25;17;164467;0.0335264825162495
"death_date";2021-09-27;8;164467;0.0335751244930594
"death_date";2021-09-28;6;164467;0.0336116059756668
"death_date";2021-09-29;39;164467;0.0338487356126153
"death_date";2021-09-30;13;164467;0.0339277788249314
"death_date";2021-10-01;16;164467;0.0340250627785513
"death_date";2021-10-02;19;164467;0.0341405874734749
"death_date";2021-10-04;4;164467;0.0341649084618799
"death_date";2021-10-05;9;164467;0.0342196306857911
"death_date";2021-10-06;27;164467;0.0343837973575246
"death_date";2021-10-07;10;164467;0.034444599828537
"death_date";2021-10-08;21;164467;0.0345722850176631
"death_date";2021-10-09;31;164467;0.0347607726778016
"death_date";2021-10-11;11;164467;0.0348276553959153
"death_date";2021-10-13;39;164467;0.0350647850328637
"death_date";2021-10-14;29;164467;0.0352411121987998
"death_date";2021-10-15;26;164467;0.0353991986234321
"death_date";2021-10-16;2;164467;0.0354113591176345
"death_date";2021-10-18;2;164467;0.035423519611837
"death_date";2021-10-19;136;164467;0.036250433217606
"death_date";2021-10-20;46;164467;0.0365301245842631
"death_date";2021-10-21;14;164467;0.0366152480436805
"death_date";2021-10-22;25;164467;0.0367672542212115
"death_date";2021-10-23;29;164467;0.0369435813871476
"death_date";2021-10-25;13;164467;0.0370226245994637
"death_date";2021-10-26;6;164467;0.0370591060820712
"death_date";2021-10-27;32;164467;0.0372536739893109
"death_date";2021-10-28;8;164467;0.0373023159661209
"death_date";2021-10-29;10;164467;0.0373631184371333
"death_date";2021-10-30;32;164467;0.037557686344373
"death_date";2021-11-02;4;164467;0.037582007332778
"death_date";2021-11-03;11;164467;0.0376488900508917
"death_date";2021-11-04;25;164467;0.0378008962284227
"death_date";2021-11-05;30;164467;0.03798330364146
"death_date";2021-11-06;18;164467;0.0380927480892823
"death_date";2021-11-08;9;164467;0.0381474703131935
"death_date";2021-11-09;4;164467;0.0381717913015985
"death_date";2021-11-10;1;164467;0.0381778715486997
