"level";"0";"1";"p";"test"
"1";"  396 (  2.8) ";" 1265 (  1.3) ";"";""
"0";"13845 ( 96.9) ";"93720 ( 96.3) ";"<0.001";""
"1";"  437 (  3.1) ";" 3574 (  3.7) ";"";""
"0";"13922 ( 97.5) ";"95773 ( 98.4) ";"<0.001";""
"1";"  360 (  2.5) ";" 1521 (  1.6) ";"";""
"0";"14149 ( 99.1) ";"96849 ( 99.5) ";"<0.001";""
"1";"  133 (  0.9) ";"  445 (  0.5) ";"";""
"0";"14157 ( 99.1) ";"96564 ( 99.2) ";" 0.122";""
"1";"  125 (  0.9) ";"  730 (  0.8) ";"";""
"0";"14013 ( 98.1) ";"95384 ( 98.0) ";" 0.542";""
"1";"  269 (  1.9) ";" 1910 (  2.0) ";"";""
"0";"14019 ( 98.2) ";"96408 ( 99.1) ";"<0.001";""
"1";"  263 (  1.8) ";"  886 (  0.9) ";"";""
"0";"14209 ( 99.5) ";"96870 ( 99.6) ";" 0.232";""
"1";"   73 (  0.5) ";"  424 (  0.4) ";"";""
"0";"14092 ( 98.7) ";"96288 ( 99.0) ";" 0.002";""
"1";"  190 (  1.3) ";" 1006 (  1.0) ";"";""
"0";"13853 ( 97.0) ";"94690 ( 97.3) ";" 0.026";""
"1";"  429 (  3.0) ";" 2604 (  2.7) ";"";""
"0";"14113 ( 98.8) ";"96147 ( 98.8) ";" 0.997";""
"1";"  169 (  1.2) ";" 1147 (  1.2) ";"";""
"0";"13798 ( 96.6) ";"93882 ( 96.5) ";" 0.488";""
"1";"  484 (  3.4) ";" 3412 (  3.5) ";"";""
"0";"13846 ( 96.9) ";"94859 ( 97.5) ";"<0.001";""
"1";"  436 (  3.1) ";" 2435 (  2.5) ";"";""
"0";"13087 ( 91.6) ";"89044 ( 91.5) ";" 0.664";""
"1";" 1195 (  8.4) ";" 8250 (  8.5) ";"";""
"0";"12760 ( 89.3) ";"87239 ( 89.7) ";" 0.244";""
"1";" 1522 ( 10.7) ";"10055 ( 10.3) ";"";""
"0";"11222 ( 78.6) ";"79546 ( 81.8) ";"<0.001";""
"1";" 3060 ( 21.4) ";"17748 ( 18.2) ";"";""
"0";"11465 ( 80.3) ";"73176 ( 75.2) ";"<0.001";""
"1";" 2817 ( 19.7) ";"24118 ( 24.8) ";"";""
"0";"14013 ( 98.1) ";"95384 ( 98.0) ";" 0.542";""
"1";"  269 (  1.9) ";" 1910 (  2.0) ";"";""
"0";"12221 ( 85.6) ";"80829 ( 83.1) ";"<0.001";""
"1";" 2061 ( 14.4) ";"16465 ( 16.9) ";"";""
"0";"14054 ( 98.4) ";"96096 ( 98.8) ";"<0.001";""
"1";"  228 (  1.6) ";" 1198 (  1.2) ";"";""
"0";"12929 ( 90.5) ";"91952 ( 94.5) ";"<0.001";""
"1";" 1353 (  9.5) ";" 5342 (  5.5) ";"";""
"0";"13456 ( 94.2) ";"92380 ( 94.9) ";"<0.001";""
"1";"  826 (  5.8) ";" 4914 (  5.1) ";"";""
"0";"13810 ( 96.7) ";"94434 ( 97.1) ";" 0.018";""
