"age_group";"covid_date";"n";"n_total";"cum_sum"
"18-49";2020-12-27;6;19154;0.000313250495979952
"18-49";2020-12-28;21;19154;0.00140962723190978
"18-49";2020-12-29;13;19154;0.00208833663986635
"18-49";2020-12-30;32;19154;0.00375900595175942
"18-49";2020-12-31;17;19154;0.00464654902370262
"18-49";2021-01-01;7;19154;0.00501200793567923
"18-49";2021-01-02;11;19154;0.00558630051164248
"18-49";2021-01-03;7;19154;0.00595175942361909
"18-49";2021-01-04;22;19154;0.00710034457554558
"18-49";2021-01-05;28;19154;0.00856218022345202
"18-49";2021-01-06;3;19154;0.008718805471442
"18-49";2021-01-07;19;19154;0.00971076537537851
"18-49";2021-01-08;32;19154;0.0113814346872716
"18-49";2021-01-09;2;19154;0.0114858515192649
"18-49";2021-01-10;10;19154;0.0120079356792315
"18-49";2021-01-11;34;19154;0.0137830218231179
"18-49";2021-01-12;34;19154;0.0155581079670043
"18-49";2021-01-13;30;19154;0.017124360446904
"18-49";2021-01-14;30;19154;0.0186906129268038
"18-49";2021-01-15;32;19154;0.0203612822386969
"18-49";2021-01-16;7;19154;0.0207267411506735
"18-49";2021-01-17;7;19154;0.0210922000626501
"18-49";2021-01-18;31;19154;0.0227106609585465
"18-49";2021-01-19;23;19154;0.0239114545264697
"18-49";2021-01-20;24;19154;0.0251644565103895
"18-49";2021-01-21;28;19154;0.0266262921582959
"18-49";2021-01-22;16;19154;0.0274616268142425
"18-49";2021-01-23;2;19154;0.0275660436462358
"18-49";2021-01-24;9;19154;0.0280359193902057
"18-49";2021-01-25;15;19154;0.0288190456301556
"18-49";2021-01-26;15;19154;0.0296021718701055
"18-49";2021-01-27;20;19154;0.0306463401900386
"18-49";2021-01-28;18;19154;0.0315860916779785
"18-49";2021-01-29;16;19154;0.032421426333925
"18-49";2021-01-30;9;19154;0.032891302077895
"18-49";2021-01-31;8;19154;0.0333089694058682
"18-49";2021-02-01;19;19154;0.0343009293098047
"18-49";2021-02-02;14;19154;0.035031847133758
"18-49";2021-02-03;12;19154;0.0356583481257179
"18-49";2021-02-04;11;19154;0.0362326407016811
"18-49";2021-02-05;7;19154;0.0365980996136577
"18-49";2021-02-06;4;19154;0.0368069332776444
"18-49";2021-02-07;1;19154;0.036859141693641
"18-49";2021-02-08;12;19154;0.0374856426856009
"18-49";2021-02-09;8;19154;0.0379033100135742
"18-49";2021-02-10;6;19154;0.0382165605095541
"18-49";2021-02-11;13;19154;0.0388952699175107
"18-49";2021-02-12;10;19154;0.0394173540774773
"18-49";2021-02-13;2;19154;0.0395217709094706
"18-49";2021-02-14;4;19154;0.0397306045734572
"18-49";2021-02-15;11;19154;0.0403048971494205
"18-49";2021-02-16;9;19154;0.0407747728933904
"18-49";2021-02-17;6;19154;0.0410880233893704
"18-49";2021-02-18;12;19154;0.0417145243813303
"18-49";2021-02-19;7;19154;0.0420799832933069
"18-49";2021-02-20;2;19154;0.0421844001253002
"18-49";2021-02-21;1;19154;0.0422366085412969
"18-49";2021-02-22;9;19154;0.0427064842852668
"18-49";2021-02-23;8;19154;0.0431241516132401
"18-49";2021-02-24;2;19154;0.0432285684452334
"18-49";2021-02-25;5;19154;0.0434896105252167
"18-49";2021-02-26;2;19154;0.04359402735721
"18-49";2021-02-27;1;19154;0.0436462357732066
"18-49";2021-02-28;1;19154;0.0436984441892033
"18-49";2021-03-01;10;19154;0.0442205283491699
"18-49";2021-03-02;7;19154;0.0445859872611465
"18-49";2021-03-03;5;19154;0.0448470293411298
"18-49";2021-03-04;6;19154;0.0451602798371097
"18-49";2021-03-05;6;19154;0.0454735303330897
"18-49";2021-03-06;1;19154;0.0455257387490864
"18-49";2021-03-07;3;19154;0.0456823639970763
"18-49";2021-03-08;10;19154;0.0462044481570429
"18-49";2021-03-09;8;19154;0.0466221154850162
"18-49";2021-03-10;1;19154;0.0466743239010128
"18-49";2021-03-11;8;19154;0.0470919912289861
"18-49";2021-03-12;6;19154;0.0474052417249661
"18-49";2021-03-13;1;19154;0.0474574501409627
"18-49";2021-03-14;4;19154;0.0476662838049494
"18-49";2021-03-15;5;19154;0.0479273258849326
"18-49";2021-03-16;4;19154;0.0481361595489193
"18-49";2021-03-17;4;19154;0.0483449932129059
"18-49";2021-03-18;2;19154;0.0484494100448992
"18-49";2021-03-19;7;19154;0.0488148689568758
"18-49";2021-03-20;1;19154;0.0488670773728725
"18-49";2021-03-21;5;19154;0.0491281194528558
"18-49";2021-03-22;12;19154;0.0497546204448157
"18-49";2021-03-23;6;19154;0.0500678709407957
"18-49";2021-03-24;7;19154;0.0504333298527723
"18-49";2021-03-25;5;19154;0.0506943719327556
"18-49";2021-03-26;9;19154;0.0511642476767255
"18-49";2021-03-27;3;19154;0.0513208729247155
"18-49";2021-03-28;2;19154;0.0514252897567088
"18-49";2021-03-29;8;19154;0.051842957084682
"18-49";2021-03-30;4;19154;0.0520517907486687
"18-49";2021-03-31;3;19154;0.0522084159966587
"18-49";2021-04-01;10;19154;0.0527305001566252
"18-49";2021-04-02;4;19154;0.0529393338206119
"18-49";2021-04-03;5;19154;0.0532003759005952
"18-49";2021-04-04;7;19154;0.0535658348125718
"18-49";2021-04-05;3;19154;0.0537224600605618
"18-49";2021-04-06;11;19154;0.054296752636525
"18-49";2021-04-07;10;19154;0.0548188367964916
"18-49";2021-04-08;14;19154;0.0555497546204448
"18-49";2021-04-09;9;19154;0.0560196303644147
"18-49";2021-04-10;4;19154;0.0562284640284014
"18-49";2021-04-11;2;19154;0.0563328808603947
"18-49";2021-04-12;19;19154;0.0573248407643312
"18-49";2021-04-13;8;19154;0.0577425080923045
"18-49";2021-04-14;11;19154;0.0583168006682677
"18-49";2021-04-15;7;19154;0.0586822595802443
"18-49";2021-04-16;4;19154;0.058891093244231
"18-49";2021-04-17;3;19154;0.0590477184922209
"18-49";2021-04-18;1;19154;0.0590999269082176
"18-49";2021-04-19;8;19154;0.0595175942361909
"18-49";2021-04-20;6;19154;0.0598308447321708
"18-49";2021-04-21;5;19154;0.0600918868121541
"18-49";2021-04-22;8;19154;0.0605095541401274
"18-49";2021-04-23;7;19154;0.060875013052104
"18-49";2021-04-24;3;19154;0.061031638300094
"18-49";2021-04-25;4;19154;0.0612404719640806
"18-49";2021-04-26;7;19154;0.0616059308760572
"18-49";2021-04-27;10;19154;0.0621280150360238
"18-49";2021-04-28;12;19154;0.0627545160279837
"18-49";2021-04-29;13;19154;0.0634332254359403
"18-49";2021-04-30;1;19154;0.0634854338519369
"18-49";2021-05-01;3;19154;0.0636420590999269
"18-49";2021-05-02;5;19154;0.0639031011799102
"18-49";2021-05-03;5;19154;0.0641641432598935
"18-49";2021-05-04;7;19154;0.0645296021718701
"18-49";2021-05-05;4;19154;0.0647384358358567
"18-49";2021-05-06;6;19154;0.0650516863318367
"18-49";2021-05-07;6;19154;0.0653649368278166
"18-49";2021-05-08;2;19154;0.06546935365981
"18-49";2021-05-09;3;19154;0.0656259789077999
"18-49";2021-05-10;5;19154;0.0658870209877832
"18-49";2021-05-11;4;19154;0.0660958546517699
"18-49";2021-05-12;4;19154;0.0663046883157565
"18-49";2021-05-13;5;19154;0.0665657303957398
"18-49";2021-05-14;3;19154;0.0667223556437298
"18-49";2021-05-15;1;19154;0.0667745640597264
"18-49";2021-05-16;1;19154;0.0668267724757231
"18-49";2021-05-17;7;19154;0.0671922313876997
"18-49";2021-05-18;12;19154;0.0678187323796596
"18-49";2021-05-19;1;19154;0.0678709407956563
"18-49";2021-05-20;5;19154;0.0681319828756396
"18-49";2021-05-21;2;19154;0.0682363997076329
"18-49";2021-05-22;1;19154;0.0682886081236295
"18-49";2021-05-23;1;19154;0.0683408165396262
"18-49";2021-05-24;1;19154;0.0683930249556228
"18-49";2021-05-25;4;19154;0.0686018586196095
"18-49";2021-05-26;4;19154;0.0688106922835961
"18-49";2021-05-27;2;19154;0.0689151091155894
"18-49";2021-05-28;1;19154;0.0689673175315861
"18-49";2021-05-29;1;19154;0.0690195259475827
"18-49";2021-05-31;2;19154;0.0691239427795761
"18-49";2021-06-01;14;19154;0.0698548606035293
"18-49";2021-06-02;9;19154;0.0703247363474992
"18-49";2021-06-03;5;19154;0.0705857784274825
"18-49";2021-06-04;6;19154;0.0708990289234625
"18-49";2021-06-05;2;19154;0.0710034457554558
"18-49";2021-06-06;1;19154;0.0710556541714524
"18-49";2021-06-07;9;19154;0.0715255299154224
"18-49";2021-06-08;3;19154;0.0716821551634123
"18-49";2021-06-09;7;19154;0.072047614075389
"18-49";2021-06-10;8;19154;0.0724652814033622
"18-49";2021-06-11;4;19154;0.0726741150673489
"18-49";2021-06-13;1;19154;0.0727263234833455
"18-49";2021-06-14;5;19154;0.0729873655633288
"18-49";2021-06-15;2;19154;0.0730917823953221
"18-49";2021-06-16;6;19154;0.0734050328913021
"18-49";2021-06-17;2;19154;0.0735094497232954
"18-49";2021-06-18;7;19154;0.073874908635272
"18-49";2021-06-20;1;19154;0.0739271170512687
"18-49";2021-06-21;7;19154;0.0742925759632453
"18-49";2021-06-22;6;19154;0.0746058264592252
"18-49";2021-06-23;10;19154;0.0751279106191918
"18-49";2021-06-25;3;19154;0.0752845358671818
"18-49";2021-06-26;2;19154;0.0753889526991751
"18-49";2021-06-27;5;19154;0.0756499947791584
"18-49";2021-06-28;13;19154;0.076328704187115
"18-49";2021-06-29;18;19154;0.0772684556750548
"18-49";2021-06-30;25;19154;0.0785736660749713
"18-49";2021-07-01;26;19154;0.0799310848908844
"18-49";2021-07-02;21;19154;0.0810274616268142
"18-49";2021-07-03;8;19154;0.0814451289547875
"18-49";2021-07-04;8;19154;0.0818627962827608
"18-49";2021-07-05;36;19154;0.0837422992586405
"18-49";2021-07-06;34;19154;0.0855173854025269
"18-49";2021-07-07;38;19154;0.0875013052103999
"18-49";2021-07-08;39;19154;0.0895374334342696
"18-49";2021-07-09;29;19154;0.0910514774981727
"18-49";2021-07-10;16;19154;0.0918868121541192
"18-49";2021-07-11;20;19154;0.0929309804740524
"18-49";2021-07-12;41;19154;0.0950715255299154
"18-49";2021-07-13;36;19154;0.0969510285057951
"18-49";2021-07-14;35;19154;0.0987783230656782
"18-49";2021-07-15;33;19154;0.100501200793568
"18-49";2021-07-16;36;19154;0.102380703769448
"18-49";2021-07-17;17;19154;0.103268246841391
"18-49";2021-07-18;7;19154;0.103633705753367
"18-49";2021-07-19;37;19154;0.105565417145244
"18-49";2021-07-20;37;19154;0.10749712853712
"18-49";2021-07-21;30;19154;0.10906338101702
"18-49";2021-07-22;19;19154;0.110055340920956
"18-49";2021-07-23;24;19154;0.111308342904876
"18-49";2021-07-24;9;19154;0.111778218648846
"18-49";2021-07-25;12;19154;0.112404719640806
"18-49";2021-07-26;36;19154;0.114284222616686
"18-49";2021-07-27;24;19154;0.115537224600606
"18-49";2021-07-28;15;19154;0.116320350840556
"18-49";2021-07-29;18;19154;0.117260102328495
"18-49";2021-07-30;15;19154;0.118043228568445
"18-49";2021-07-31;3;19154;0.118199853816435
"18-49";2021-08-01;2;19154;0.118304270648429
"18-49";2021-08-02;25;19154;0.119609481048345
"18-49";2021-08-03;25;19154;0.120914691448261
"18-49";2021-08-04;10;19154;0.121436775608228
"18-49";2021-08-05;14;19154;0.122167693432181
"18-49";2021-08-06;12;19154;0.122794194424141
"18-49";2021-08-07;10;19154;0.123316278584108
"18-49";2021-08-08;2;19154;0.123420695416101
"18-49";2021-08-09;12;19154;0.124047196408061
"18-49";2021-08-10;11;19154;0.124621488984024
"18-49";2021-08-11;6;19154;0.124934739480004
"18-49";2021-08-12;13;19154;0.125613448887961
"18-49";2021-08-13;7;19154;0.125978907799937
"18-49";2021-08-14;6;19154;0.126292158295917
"18-49";2021-08-15;4;19154;0.126500991959904
"18-49";2021-08-16;8;19154;0.126918659287877
"18-49";2021-08-17;15;19154;0.127701785527827
"18-49";2021-08-18;4;19154;0.127910619191814
"18-49";2021-08-19;8;19154;0.128328286519787
"18-49";2021-08-20;6;19154;0.128641537015767
"18-49";2021-08-22;2;19154;0.12874595384776
"18-49";2021-08-23;9;19154;0.12921582959173
"18-49";2021-08-24;5;19154;0.129476871671713
"18-49";2021-08-25;3;19154;0.129633496919703
"18-49";2021-08-26;11;19154;0.130207789495667
"18-49";2021-08-27;6;19154;0.130521039991647
"18-49";2021-08-28;2;19154;0.13062545682364
"18-49";2021-08-29;1;19154;0.130677665239637
"18-49";2021-08-30;5;19154;0.13093870731962
"18-49";2021-08-31;5;19154;0.131199749399603
"18-49";2021-09-01;5;19154;0.131460791479587
"18-49";2021-09-02;1;19154;0.131512999895583
"18-49";2021-09-03;1;19154;0.13156520831158
"18-49";2021-09-05;2;19154;0.131669625143573
"18-49";2021-09-06;5;19154;0.131930667223556
"18-49";2021-09-07;4;19154;0.132139500887543
"18-49";2021-09-08;5;19154;0.132400542967526
"18-49";2021-09-09;6;19154;0.132713793463506
"18-49";2021-09-10;5;19154;0.13297483554349
"18-49";2021-09-11;2;19154;0.133079252375483
"18-49";2021-09-13;3;19154;0.133235877623473
"18-49";2021-09-14;4;19154;0.13344471128746
"18-49";2021-09-15;6;19154;0.133757961783439
"18-49";2021-09-16;5;19154;0.134019003863423
"18-49";2021-09-17;2;19154;0.134123420695416
"18-49";2021-09-18;1;19154;0.134175629111413
"18-49";2021-09-20;8;19154;0.134593296439386
"18-49";2021-09-21;8;19154;0.135010963767359
"18-49";2021-09-22;2;19154;0.135115380599353
"18-49";2021-09-23;2;19154;0.135219797431346
"18-49";2021-09-24;3;19154;0.135376422679336
"18-49";2021-09-25;1;19154;0.135428631095333
"18-49";2021-09-27;3;19154;0.135585256343323
"18-49";2021-09-28;1;19154;0.135637464759319
"18-49";2021-09-29;3;19154;0.135794090007309
"18-49";2021-09-30;3;19154;0.135950715255299
"18-49";2021-10-01;6;19154;0.136263965751279
"18-49";2021-10-03;1;19154;0.136316174167276
"18-49";2021-10-04;3;19154;0.136472799415266
"18-49";2021-10-05;3;19154;0.136629424663256
"18-49";2021-10-06;5;19154;0.136890466743239
"18-49";2021-10-07;6;19154;0.137203717239219
"18-49";2021-10-08;3;19154;0.137360342487209
"18-49";2021-10-09;1;19154;0.137412550903206
"18-49";2021-10-10;1;19154;0.137464759319202
"18-49";2021-10-11;1;19154;0.137516967735199
"18-49";2021-10-13;3;19154;0.137673592983189
"18-49";2021-10-14;6;19154;0.137986843479169
"18-49";2021-10-15;3;19154;0.138143468727159
"18-49";2021-10-17;1;19154;0.138195677143155
"18-49";2021-10-18;2;19154;0.138300093975149
"18-49";2021-10-19;2;19154;0.138404510807142
"18-49";2021-10-20;3;19154;0.138561136055132
"18-49";2021-10-21;4;19154;0.138769969719119
"18-49";2021-10-22;5;19154;0.139031011799102
"18-49";2021-10-23;1;19154;0.139083220215099
"18-49";2021-10-25;3;19154;0.139239845463089
"18-49";2021-10-26;5;19154;0.139500887543072
"18-49";2021-10-27;8;19154;0.139918554871045
"18-49";2021-10-28;2;19154;0.140022971703039
"18-49";2021-10-29;1;19154;0.140075180119035
"18-49";2021-10-30;1;19154;0.140127388535032
"18-49";2021-11-02;7;19154;0.140492847447008
"18-49";2021-11-03;3;19154;0.140649472694998
"18-49";2021-11-04;2;19154;0.140753889526992
"18-49";2021-11-05;4;19154;0.140962723190978
"18-49";2021-11-06;1;19154;0.141014931606975
"18-49";2021-11-07;1;19154;0.141067140022972
"18-49";2021-11-08;7;19154;0.141432598934948
"18-49";2021-11-09;3;19154;0.141589224182938
"18-49";2021-11-10;4;19154;0.141798057846925
"18-49";2021-11-11;6;19154;0.142111308342905
"18-49";2021-11-12;8;19154;0.142528975670878
"18-49";2021-11-13;3;19154;0.142685600918868
"18-49";2021-11-14;1;19154;0.142737809334865
"18-49";2021-11-15;6;19154;0.143051059830845
"18-49";2021-11-16;4;19154;0.143259893494831
"18-49";2021-11-17;3;19154;0.143416518742821
"18-49";2021-11-18;7;19154;0.143781977654798
"18-49";2021-11-19;8;19154;0.144199644982771
"18-49";2021-11-21;2;19154;0.144304061814765
"18-49";2021-11-22;10;19154;0.144826145974731
"18-49";2021-11-23;8;19154;0.145243813302704
"18-49";2021-11-24;11;19154;0.145818105878668
"18-49";2021-11-25;6;19154;0.146131356374648
"18-49";2021-11-26;11;19154;0.146705648950611
"18-49";2021-11-27;6;19154;0.147018899446591
"18-49";2021-11-29;16;19154;0.147854234102537
"18-49";2021-11-30;10;19154;0.148376318262504
"18-49";2021-12-01;14;19154;0.149107236086457
"18-49";2021-12-02;13;19154;0.149785945494414
"18-49";2021-12-03;12;19154;0.150412446486374
"18-49";2021-12-04;6;19154;0.150725696982354
"18-49";2021-12-05;7;19154;0.15109115589433
"18-49";2021-12-06;6;19154;0.15140440639031
"18-49";2021-12-07;21;19154;0.15250078312624
"18-49";2021-12-08;7;19154;0.152866242038217
"18-49";2021-12-09;18;19154;0.153805993526156
"18-49";2021-12-10;23;19154;0.15500678709408
"18-49";2021-12-11;8;19154;0.155424454422053
"18-49";2021-12-13;39;19154;0.157460582645923
"18-49";2021-12-14;43;19154;0.159705544533779
"18-49";2021-12-15;27;19154;0.161115171765689
"18-49";2021-12-16;31;19154;0.162733632661585
"18-49";2021-12-17;25;19154;0.164038843061502
"18-49";2021-12-18;15;19154;0.164821969301451
"18-49";2021-12-19;16;19154;0.165657303957398
"18-49";2021-12-20;50;19154;0.168267724757231
"18-49";2021-12-21;49;19154;0.170825937141067
"18-49";2021-12-22;66;19154;0.174271692596847
"18-49";2021-12-23;59;19154;0.177351989140649
"18-49";2021-12-24;75;19154;0.181267620340399
"18-49";2021-12-25;32;19154;0.182938289652292
"18-49";2021-12-26;50;19154;0.185548710452125
"18-49";2021-12-27;132;19154;0.192440221363684
"18-49";2021-12-28;126;19154;0.199018481779263
"18-49";2021-12-29;122;19154;0.205387908530855
"18-49";2021-12-30;106;19154;0.210922000626501
"18-49";2021-12-31;106;19154;0.216456092722147
"18-49";2022-01-01;32;19154;0.21812676203404
"18-49";2022-01-02;79;19154;0.222251226897776
"18-49";2022-01-03;137;19154;0.229403779889318
"18-49";2022-01-04;152;19154;0.23733945912081
"18-49";2022-01-05;151;19154;0.245222929936306
"18-49";2022-01-06;63;19154;0.248512060144095
"18-49";2022-01-07;142;19154;0.255925655215621
"18-49";2022-01-08;75;19154;0.25984128641537
"18-49";2022-01-09;88;19154;0.264435627023076
"18-49";2022-01-10;203;19154;0.275033935470398
"18-49";2022-01-11;128;19154;0.28171661271797
"18-49";2022-01-12;152;19154;0.289652291949462
"18-49";2022-01-13;103;19154;0.295029758797118
"18-49";2022-01-14;110;19154;0.300772684556751
"18-49";2022-01-15;70;19154;0.304427273676517
"18-49";2022-01-16;52;19154;0.307142111308343
"18-49";2022-01-17;152;19154;0.315077790539835
"18-49";2022-01-18;144;19154;0.322595802443354
"18-49";2022-01-19;145;19154;0.330166022762869
"18-49";2022-01-20;142;19154;0.337579617834395
"18-49";2022-01-21;125;19154;0.344105669833977
"18-49";2022-01-22;80;19154;0.34828234311371
"18-49";2022-01-23;81;19154;0.352511224809439
"18-49";2022-01-24;126;19154;0.359089485225018
"18-49";2022-01-25;104;19154;0.364519160488671
"18-49";2022-01-26;84;19154;0.36890466743239
"18-49";2022-01-27;90;19154;0.373603424872089
"18-49";2022-01-28;75;19154;0.377519056071839
"18-49";2022-01-29;40;19154;0.379607392711705
"18-49";2022-01-30;44;19154;0.381904563015558
"18-49";2022-01-31;78;19154;0.385976819463297
"18-49";2022-02-01;55;19154;0.388848282343114
"18-49";2022-02-02;48;19154;0.391354286310953
"18-49";2022-02-03;46;19154;0.3937558734468
"18-49";2022-02-04;30;19154;0.395322125926699
"18-49";2022-02-05;23;19154;0.396522919494623
"18-49";2022-02-06;24;19154;0.397775921478542
"18-49";2022-02-07;40;19154;0.399864258118409
"18-49";2022-02-08;34;19154;0.401639344262295
"18-49";2022-02-09;29;19154;0.403153388326198
"18-49";2022-02-10;23;19154;0.404354181894121
"18-49";2022-02-11;23;19154;0.405554975462044
"18-49";2022-02-12;8;19154;0.405972642790018
"18-49";2022-02-13;8;19154;0.406390310117991
"18-49";2022-02-14;25;19154;0.407695520517907
"18-49";2022-02-15;26;19154;0.409052939333821
"18-49";2022-02-16;22;19154;0.410201524485747
"18-49";2022-02-17;25;19154;0.411506734885664
"18-49";2022-02-18;18;19154;0.412446486373603
"18-49";2022-02-19;10;19154;0.41296857053357
"18-49";2022-02-20;5;19154;0.413229612613553
"18-49";2022-02-21;16;19154;0.4140649472695
"18-49";2022-02-22;12;19154;0.41469144826146
"18-49";2022-02-23;19;19154;0.415683408165396
"18-49";2022-02-24;16;19154;0.416518742821343
"18-49";2022-02-25;11;19154;0.417093035397306
"18-49";2022-02-26;7;19154;0.417458494309283
"18-49";2022-02-27;3;19154;0.417615119557273
"18-49";2022-02-28;22;19154;0.418763704709199
"18-49";2022-03-01;15;19154;0.419546830949149
"18-49";2022-03-02;19;19154;0.420538790853086
"18-49";2022-03-03;19;19154;0.421530750757022
"18-49";2022-03-04;18;19154;0.422470502244962
"18-49";2022-03-05;4;19154;0.422679335908949
"18-49";2022-03-06;6;19154;0.422992586404928
"18-49";2022-03-07;28;19154;0.424454422052835
"18-49";2022-03-08;13;19154;0.425133131460791
"18-49";2022-03-09;10;19154;0.425655215620758
"18-49";2022-03-10;14;19154;0.426386133444711
"18-49";2022-03-11;10;19154;0.426908217604678
"18-49";2022-03-12;4;19154;0.427117051268665
"18-49";2022-03-13;10;19154;0.427639135428631
"18-49";2022-03-14;21;19154;0.428735512164561
"18-49";2022-03-15;10;19154;0.429257596324528
"18-49";2022-03-16;9;19154;0.429727472068497
"18-49";2022-03-17;11;19154;0.430301764644461
"18-49";2022-03-18;13;19154;0.430980474052417
"18-49";2022-03-19;10;19154;0.431502558212384
"18-49";2022-03-20;11;19154;0.432076850788347
"18-49";2022-03-21;11;19154;0.43265114336431
"18-49";2022-03-22;6;19154;0.43296439386029
"18-49";2022-03-23;18;19154;0.43390414534823
"18-49";2022-03-24;12;19154;0.43453064634019
"18-49";2022-03-25;12;19154;0.43515714733215
"18-49";2022-03-26;1;19154;0.435209355748147
"18-49";2022-03-27;4;19154;0.435418189412133
"18-49";2022-03-28;10;19154;0.4359402735721
"18-49";2022-03-29;11;19154;0.436514566148063
"18-49";2022-03-30;7;19154;0.43688002506004
"18-49";2022-03-31;3;19154;0.43703665030803
"18-49";2022-04-01;5;19154;0.437297692388013
"18-49";2022-04-02;2;19154;0.437402109220006
"18-49";2022-04-03;5;19154;0.43766315129999
"18-49";2022-04-04;11;19154;0.438237443875953
"18-49";2022-04-05;6;19154;0.438550694371933
"18-49";2022-04-06;6;19154;0.438863944867913
"18-49";2022-04-07;11;19154;0.439438237443876
"18-49";2022-04-08;7;19154;0.439803696355853
"18-49";2022-04-09;5;19154;0.440064738435836
"18-49";2022-04-10;2;19154;0.440169155267829
"18-49";2022-04-11;10;19154;0.440691239427796
"18-49";2022-04-12;8;19154;0.441108906755769
"18-49";2022-04-13;5;19154;0.441369948835752
"18-49";2022-04-14;9;19154;0.441839824579722
"18-49";2022-04-15;3;19154;0.441996449827712
"18-49";2022-04-16;4;19154;0.442205283491699
"18-49";2022-04-17;4;19154;0.442414117155686
"18-49";2022-04-18;3;19154;0.442570742403675
"18-49";2022-04-19;18;19154;0.443510493891615
"18-49";2022-04-20;13;19154;0.444189203299572
"18-49";2022-04-21;14;19154;0.444920121123525
"18-49";2022-04-22;9;19154;0.445389996867495
"18-49";2022-04-23;6;19154;0.445703247363475
"18-49";2022-04-24;4;19154;0.445912081027462
"18-49";2022-04-25;14;19154;0.446642998851415
"18-49";2022-04-26;27;19154;0.448052626083325
"18-49";2022-04-27;10;19154;0.448574710243291
"18-49";2022-04-28;7;19154;0.448940169155268
"18-49";2022-04-29;15;19154;0.449723295395218
"18-49";2022-04-30;2;19154;0.449827712227211
"18-49";2022-05-01;7;19154;0.450193171139188
"18-49";2022-05-02;20;19154;0.451237339459121
"18-49";2022-05-03;33;19154;0.452960217187011
"18-49";2022-05-04;26;19154;0.454317636002924
"18-49";2022-05-05;15;19154;0.455100762242874
"18-49";2022-05-06;25;19154;0.45640597264279
"18-49";2022-05-07;6;19154;0.45671922313877
"18-49";2022-05-08;9;19154;0.45718909888274
"18-49";2022-05-09;28;19154;0.458650934530646
"18-49";2022-05-10;21;19154;0.459747311266576
"18-49";2022-05-11;16;19154;0.460582645922523
"18-49";2022-05-12;18;19154;0.461522397410463
"18-49";2022-05-13;22;19154;0.462670982562389
"18-49";2022-05-14;5;19154;0.462932024642372
"18-49";2022-05-15;8;19154;0.463349691970346
"18-49";2022-05-16;29;19154;0.464863736034249
"18-49";2022-05-17;23;19154;0.466064529602172
"18-49";2022-05-18;14;19154;0.466795447426125
"18-49";2022-05-19;18;19154;0.467735198914065
"18-49";2022-05-20;16;19154;0.468570533570011
"18-49";2022-05-21;2;19154;0.468674950402005
"18-49";2022-05-22;3;19154;0.468831575649995
"18-49";2022-05-23;25;19154;0.470136786049911
"18-49";2022-05-24;21;19154;0.471233162785841
"18-49";2022-05-25;15;19154;0.472016289025791
"18-49";2022-05-26;18;19154;0.472956040513731
"18-49";2022-05-27;21;19154;0.474052417249661
"18-49";2022-05-28;4;19154;0.474261250913647
"18-49";2022-05-29;2;19154;0.474365667745641
"18-49";2022-05-30;12;19154;0.474992168737601
"18-49";2022-05-31;12;19154;0.47561866972956
"18-49";2022-06-01;17;19154;0.476506212801504
"18-49";2022-06-02;16;19154;0.47734154745745
"18-49";2022-06-03;13;19154;0.478020256865407
"18-49";2022-06-04;2;19154;0.4781246736974
"18-49";2022-06-05;6;19154;0.47843792419338
"18-49";2022-06-06;5;19154;0.478698966273363
"18-49";2022-06-07;33;19154;0.480421844001253
"18-49";2022-06-08;18;19154;0.481361595489193
"18-49";2022-06-09;15;19154;0.482144721729143
"18-49";2022-06-10;12;19154;0.482771222721103
"18-49";2022-06-11;7;19154;0.483136681633079
"18-49";2022-06-12;4;19154;0.483345515297066
"18-49";2022-06-13;15;19154;0.484128641537016
"18-49";2022-06-14;22;19154;0.485277226688942
"18-49";2022-06-15;21;19154;0.486373603424872
"18-49";2022-06-16;21;19154;0.487469980160802
"18-49";2022-06-17;21;19154;0.488566356896732
"18-49";2022-06-18;11;19154;0.489140649472695
"18-49";2022-06-19;10;19154;0.489662733632662
"18-49";2022-06-20;40;19154;0.491751070272528
"18-49";2022-06-21;20;19154;0.492795238592461
"18-49";2022-06-22;25;19154;0.494100448992378
"18-49";2022-06-23;31;19154;0.495718909888274
"18-49";2022-06-24;9;19154;0.496188785632244
"18-49";2022-06-25;11;19154;0.496763078208207
"18-49";2022-06-26;15;19154;0.497546204448157
"18-49";2022-06-27;34;19154;0.499321290592043
"18-49";2022-06-28;32;19154;0.500991959903937
"18-49";2022-06-29;19;19154;0.501983919807873
"18-49";2022-06-30;25;19154;0.50328913020779
"18-49";NA;105284;19154;6
"50-59";2020-12-27;9;18844;0.000477605603905752
"50-59";2020-12-28;21;18844;0.00159201867968584
"50-59";2020-12-29;16;18844;0.00244109530885162
"50-59";2020-12-30;20;18844;0.00350244109530885
"50-59";2020-12-31;13;18844;0.00419231585650605
"50-59";2021-01-01;3;18844;0.00435151772447463
"50-59";2021-01-02;4;18844;0.00456378688176608
"50-59";2021-01-03;6;18844;0.00488219061770325
"50-59";2021-01-04;21;18844;0.00599660369348334
"50-59";2021-01-05;21;18844;0.00711101676926343
"50-59";2021-01-06;4;18844;0.00732328592655487
"50-59";2021-01-07;21;18844;0.00843769900233496
"50-59";2021-01-08;21;18844;0.00955211207811505
"50-59";2021-01-09;2;18844;0.00965824665676077
"50-59";2021-01-10;5;18844;0.00992358310337508
"50-59";2021-01-11;37;18844;0.011887072808321
"50-59";2021-01-12;24;18844;0.0131606877520696
