"0";"1";"p";"test";"SMD"
" 2061 ( 14.4) ";"16465 ( 16.9) ";"<0.001";"";" 0.069"
"  228 (  1.6) ";" 1198 (  1.2) ";"<0.001";"";" 0.031"
" 1353 (  9.5) ";" 5342 (  5.5) ";"<0.001";"";" 0.152"
"  826 (  5.8) ";" 4914 (  5.1) ";"<0.001";"";" 0.032"
"  472 (  3.3) ";" 2860 (  2.9) ";" 0.018";"";" 0.021"
" 1048 (  7.3) ";" 7026 (  7.2) ";" 0.628";"";" 0.004"
" 1355 (  9.5) ";"10765 ( 11.1) ";"<0.001";"";" 0.052"
"  294 (  2.1) ";" 1108 (  1.1) ";"<0.001";"";" 0.073"
"  481 (  3.4) ";" 2252 (  2.3) ";"<0.001";"";" 0.063"
"   16 (  0.1) ";"   78 (  0.1) ";" 0.284";"";" 0.010"
"   73 (  0.5) ";"  424 (  0.4) ";" 0.232";"";" 0.011"
"  112 (  0.8) ";"  679 (  0.7) ";" 0.274";"";" 0.010"
" 1195 (  8.4) ";" 8250 (  8.5) ";" 0.664";"";" 0.004"
" 3.00 [2.00, 8.00]";" 3.00 [2.00, 6.00]";"<0.001";"nonnorm";" 0.261"
"  396 (  2.8) ";" 2933 (  3.0) ";" 0.119";"";" 0.014"
"14282 (100.0) ";"97294 (100.0) ";"    NA";"";"<0.001"
" 3566 ( 25.0) ";"13844 ( 14.2) ";"<0.001";"";" 0.273"
" 3047 ( 21.3) ";"22161 ( 22.8) ";"<0.001";"";" 0.035"
"  642 (  4.5) ";" 3030 (  3.1) ";"<0.001";"";" 0.072"
"  867 (  6.1) ";" 5697 (  5.9) ";" 0.317";"";" 0.009"
" 2645 ( 18.5) ";"17556 ( 18.0) ";" 0.172";"";" 0.012"
" 2946 ( 20.6) ";"17289 ( 17.8) ";"<0.001";"";" 0.073"
" 1046 (  7.3) ";" 6482 (  6.7) ";" 0.003";"";" 0.026"
" 1012 (  7.1) ";" 6296 (  6.5) ";" 0.006";"";" 0.024"
" 1518 ( 10.6) ";" 8062 (  8.3) ";"<0.001";"";" 0.080"
"  519 (  3.6) ";" 2606 (  2.7) ";"<0.001";"";" 0.055"
"  845 (  5.9) ";" 5218 (  5.4) ";" 0.007";"";" 0.024"
"  661 (  4.6) ";" 4419 (  4.5) ";" 0.660";"";" 0.004"
"  458 (  3.2) ";" 1588 (  1.6) ";"<0.001";"";" 0.103"
"  318 (  2.2) ";" 1454 (  1.5) ";"<0.001";"";" 0.054"
"  131 (  0.9) ";"  569 (  0.6) ";"<0.001";"";" 0.039"
" 7.04 (9.94)";" 7.39 (8.53)";"<0.001";"";" 0.038"
" 9.43 (12.95)";" 8.17 (8.96)";"<0.001";"";" 0.113"
"";"";"<0.001";"";" 0.300"
" 2743 ( 19.2) ";" 8696 (  8.9) ";"";"";""
" 1279 (  9.0) ";" 9423 (  9.7) ";"";"";""
" 1268 (  8.9) ";" 9136 (  9.4) ";"";"";""
" 8992 ( 63.0) ";"70039 ( 72.0) ";"";"";""
