"vac_exposure_date";"vac_concept_id";"n"
2021-03-04;"Pfizer-mRNA-BNT162b";691
2021-03-04;"Moderna-mRNA-1273";66
2021-03-04;"AZ-ChAdOx1";90
2021-03-04;"Jansen-Ad26";1
2021-03-05;"Pfizer-mRNA-BNT162b";467
2021-03-05;"Moderna-mRNA-1273";94
2021-03-05;"AZ-ChAdOx1";82
2021-03-06;"Pfizer-mRNA-BNT162b";24
2021-03-06;"Moderna-mRNA-1273";15
2021-03-06;"AZ-ChAdOx1";20
2021-03-07;"Pfizer-mRNA-BNT162b";2
2021-03-07;"AZ-ChAdOx1";10
2021-03-08;"Pfizer-mRNA-BNT162b";92
2021-03-08;"Moderna-mRNA-1273";62
2021-03-08;"AZ-ChAdOx1";54
2021-03-09;"Pfizer-mRNA-BNT162b";324
2021-03-09;"Moderna-mRNA-1273";11
2021-03-09;"AZ-ChAdOx1";75
2021-03-10;"Pfizer-mRNA-BNT162b";397
2021-03-10;"Moderna-mRNA-1273";38
2021-03-10;"AZ-ChAdOx1";78
2021-03-10;"Jansen-Ad26";1
2021-03-11;"Pfizer-mRNA-BNT162b";411
2021-03-11;"Moderna-mRNA-1273";49
2021-03-11;"AZ-ChAdOx1";37
2021-03-12;"Pfizer-mRNA-BNT162b";398
2021-03-12;"Moderna-mRNA-1273";39
2021-03-12;"AZ-ChAdOx1";53
2021-03-13;"Pfizer-mRNA-BNT162b";19
2021-03-13;"AZ-ChAdOx1";13
2021-03-14;"Pfizer-mRNA-BNT162b";1
2021-03-14;"AZ-ChAdOx1";1
2021-03-15;"Pfizer-mRNA-BNT162b";86
2021-03-15;"Moderna-mRNA-1273";30
2021-03-15;"AZ-ChAdOx1";37
2021-03-16;"Pfizer-mRNA-BNT162b";485
2021-03-16;"Moderna-mRNA-1273";26
2021-03-16;"AZ-ChAdOx1";1
2021-03-17;"Pfizer-mRNA-BNT162b";1026
2021-03-17;"Moderna-mRNA-1273";93
2021-03-17;"AZ-ChAdOx1";1
2021-03-18;"Pfizer-mRNA-BNT162b";1133
2021-03-18;"Moderna-mRNA-1273";221
2021-03-19;"Pfizer-mRNA-BNT162b";963
2021-03-19;"Moderna-mRNA-1273";208
2021-03-20;"Pfizer-mRNA-BNT162b";23
2021-03-20;"Moderna-mRNA-1273";1
2021-03-22;"Pfizer-mRNA-BNT162b";68
2021-03-22;"Moderna-mRNA-1273";438
2021-03-23;"Pfizer-mRNA-BNT162b";575
2021-03-23;"Moderna-mRNA-1273";300
2021-03-23;"AZ-ChAdOx1";1
2021-03-24;"Pfizer-mRNA-BNT162b";1144
2021-03-24;"Moderna-mRNA-1273";570
2021-03-24;"AZ-ChAdOx1";466
2021-03-25;"Pfizer-mRNA-BNT162b";1120
2021-03-25;"Moderna-mRNA-1273";678
2021-03-25;"AZ-ChAdOx1";663
2021-03-26;"Pfizer-mRNA-BNT162b";884
2021-03-26;"Moderna-mRNA-1273";556
2021-03-26;"AZ-ChAdOx1";529
2021-03-27;"Pfizer-mRNA-BNT162b";9
2021-03-27;"Moderna-mRNA-1273";4
2021-03-27;"AZ-ChAdOx1";434
2021-03-28;"Pfizer-mRNA-BNT162b";1
2021-03-28;"AZ-ChAdOx1";106
2021-03-29;"Pfizer-mRNA-BNT162b";97
2021-03-29;"Moderna-mRNA-1273";512
2021-03-29;"AZ-ChAdOx1";612
2021-03-30;"Pfizer-mRNA-BNT162b";1975
2021-03-30;"Moderna-mRNA-1273";594
2021-03-30;"AZ-ChAdOx1";562
2021-03-31;"Pfizer-mRNA-BNT162b";2517
2021-03-31;"Moderna-mRNA-1273";540
2021-03-31;"AZ-ChAdOx1";498
2021-04-01;"Pfizer-mRNA-BNT162b";1557
2021-04-01;"Moderna-mRNA-1273";259
2021-04-01;"AZ-ChAdOx1";499
2021-04-02;"Pfizer-mRNA-BNT162b";47
2021-04-02;"Moderna-mRNA-1273";18
2021-04-02;"AZ-ChAdOx1";160
2021-04-03;"Pfizer-mRNA-BNT162b";1
2021-04-03;"Moderna-mRNA-1273";28
2021-04-03;"AZ-ChAdOx1";380
2021-04-04;"AZ-ChAdOx1";268
2021-04-05;"Pfizer-mRNA-BNT162b";1
2021-04-05;"AZ-ChAdOx1";369
2021-04-06;"Pfizer-mRNA-BNT162b";946
2021-04-06;"Moderna-mRNA-1273";492
2021-04-06;"AZ-ChAdOx1";528
2021-04-07;"Pfizer-mRNA-BNT162b";2457
2021-04-07;"Moderna-mRNA-1273";437
2021-04-07;"AZ-ChAdOx1";483
2021-04-08;"Pfizer-mRNA-BNT162b";2496
2021-04-08;"Moderna-mRNA-1273";471
2021-04-08;"AZ-ChAdOx1";199
2021-04-09;"Pfizer-mRNA-BNT162b";1973
2021-04-09;"Moderna-mRNA-1273";337
2021-04-09;"AZ-ChAdOx1";215
2021-04-10;"Pfizer-mRNA-BNT162b";2
2021-04-10;"Moderna-mRNA-1273";27
2021-04-10;"AZ-ChAdOx1";66
2021-04-11;"Pfizer-mRNA-BNT162b";1
2021-04-11;"AZ-ChAdOx1";22
2021-04-12;"Pfizer-mRNA-BNT162b";38
2021-04-12;"Moderna-mRNA-1273";408
2021-04-12;"AZ-ChAdOx1";313
2021-04-12;"Jansen-Ad26";1
2021-04-13;"Pfizer-mRNA-BNT162b";1486
2021-04-13;"Moderna-mRNA-1273";254
2021-04-13;"AZ-ChAdOx1";322
2021-04-14;"Pfizer-mRNA-BNT162b";2312
2021-04-14;"Moderna-mRNA-1273";348
2021-04-14;"AZ-ChAdOx1";329
2021-04-15;"Pfizer-mRNA-BNT162b";2120
2021-04-15;"Moderna-mRNA-1273";508
2021-04-15;"AZ-ChAdOx1";668
2021-04-16;"Pfizer-mRNA-BNT162b";1545
2021-04-16;"Moderna-mRNA-1273";382
2021-04-16;"AZ-ChAdOx1";574
2021-04-17;"Moderna-mRNA-1273";95
2021-04-17;"AZ-ChAdOx1";44
2021-04-18;"AZ-ChAdOx1";13
2021-04-19;"Pfizer-mRNA-BNT162b";69
2021-04-19;"Moderna-mRNA-1273";632
2021-04-19;"AZ-ChAdOx1";186
2021-04-20;"Pfizer-mRNA-BNT162b";1804
2021-04-20;"Moderna-mRNA-1273";445
2021-04-20;"AZ-ChAdOx1";271
2021-04-21;"Pfizer-mRNA-BNT162b";2582
2021-04-21;"Moderna-mRNA-1273";735
2021-04-21;"AZ-ChAdOx1";220
2021-04-22;"Pfizer-mRNA-BNT162b";2297
2021-04-22;"Moderna-mRNA-1273";889
2021-04-22;"AZ-ChAdOx1";377
2021-04-23;"Pfizer-mRNA-BNT162b";899
2021-04-23;"Moderna-mRNA-1273";629
2021-04-23;"AZ-ChAdOx1";389
2021-04-23;"Jansen-Ad26";37
2021-04-24;"Pfizer-mRNA-BNT162b";7
2021-04-24;"Moderna-mRNA-1273";76
2021-04-24;"AZ-ChAdOx1";10
2021-04-24;"Jansen-Ad26";1
2021-04-25;"Pfizer-mRNA-BNT162b";2
2021-04-25;"Moderna-mRNA-1273";32
2021-04-26;"Pfizer-mRNA-BNT162b";22
2021-04-26;"Moderna-mRNA-1273";738
2021-04-26;"AZ-ChAdOx1";373
2021-04-26;"Jansen-Ad26";212
2021-04-27;"Pfizer-mRNA-BNT162b";1253
2021-04-27;"Moderna-mRNA-1273";747
2021-04-27;"AZ-ChAdOx1";300
2021-04-27;"Jansen-Ad26";182
2021-04-28;"Pfizer-mRNA-BNT162b";2453
2021-04-28;"Moderna-mRNA-1273";781
2021-04-28;"AZ-ChAdOx1";295
2021-04-28;"Jansen-Ad26";76
2021-04-29;"Pfizer-mRNA-BNT162b";2556
2021-04-29;"Moderna-mRNA-1273";465
2021-04-29;"AZ-ChAdOx1";261
2021-04-29;"Jansen-Ad26";79
2021-04-30;"Pfizer-mRNA-BNT162b";3256
2021-04-30;"Moderna-mRNA-1273";232
2021-04-30;"AZ-ChAdOx1";160
2021-04-30;"Jansen-Ad26";17
2021-05-01;"Pfizer-mRNA-BNT162b";601
2021-05-01;"Moderna-mRNA-1273";29
2021-05-01;"AZ-ChAdOx1";62
2021-05-01;"Jansen-Ad26";2
2021-05-02;"Pfizer-mRNA-BNT162b";320
2021-05-02;"Moderna-mRNA-1273";5
2021-05-02;"AZ-ChAdOx1";15
2021-05-03;"Pfizer-mRNA-BNT162b";711
2021-05-03;"Moderna-mRNA-1273";210
2021-05-03;"AZ-ChAdOx1";305
2021-05-03;"Jansen-Ad26";334
2021-05-04;"Pfizer-mRNA-BNT162b";1561
2021-05-04;"Moderna-mRNA-1273";578
2021-05-04;"AZ-ChAdOx1";609
2021-05-04;"Jansen-Ad26";68
2021-05-05;"Pfizer-mRNA-BNT162b";2311
2021-05-05;"Moderna-mRNA-1273";488
2021-05-05;"AZ-ChAdOx1";488
2021-05-05;"Jansen-Ad26";41
2021-05-06;"Pfizer-mRNA-BNT162b";2142
2021-05-06;"Moderna-mRNA-1273";503
2021-05-06;"AZ-ChAdOx1";420
