"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V2 7D+) - (no-vax)";"Age 80+";" -0.53212247";"  0.16673553";"Inf";"   -0.9025774";"-1.616675e-01";"V2 7D+";"no-vax";"112";" 31896";"1089001.0";" 55";"  9856";" 762359";"14966.76";"14989.40";"355455";"0.0155409516";"age_bin_80"
"(V1 14D+) - (no-vax)";"Age < 85";" -0.44794062";"  0.14702258";"Inf";"   -0.7745971";"-1.212841e-01";"V1 14D+";"no-vax";"393";"183880";"6631289.0";" 60";" 94183";"1438898";"14973.35";"14996.00";"355455";"0.4187952964";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age < 85";" -0.78925893";"  0.10869475";"Inf";"   -1.0307582";"-5.477597e-01";"V2 7D+";"no-vax";"393";"183880";"6631289.0";"117";" 49346";"3592346";"14973.35";"14996.00";"355455";"0.4187952964";"age_bin_85"
"(V1 14D+) - (no-vax)";"Age 85+";"  0.07027221";"  0.36855356";"Inf";"   -0.7485844";" 8.891288e-01";"V1 14D+";"no-vax";" 74";" 15226";" 538166.0";"  9";"  7964";"  60209";"14973.35";"14996.00";"355455";"0.4187952964";"age_bin_85"
"(V2 7D+) - (no-vax)";"Age 85+";" -0.67078450";"  0.21323849";"Inf";"   -1.1445603";"-1.970087e-01";"V2 7D+";"no-vax";" 74";" 15226";" 538166.0";" 32";"  4856";" 384595";"14973.35";"14996.00";"355455";"0.4187952964";"age_bin_85"
"(V1 14D+) - (no-vax)";"M";" -0.31090971";"  0.17665841";"Inf";"   -0.7034114";" 8.159202e-02";"V1 14D+";"no-vax";"240";" 97787";"3330251.0";" 41";" 47308";" 691487";"15017.53";"15040.18";"355455";"0.0530630293";"gender_concept_id"
"(V2 7D+) - (no-vax)";"M";" -0.55391921";"  0.12526891";"Inf";"   -0.8322431";"-2.755953e-01";"V2 7D+";"no-vax";"240";" 97787";"3330251.0";" 93";" 25338";"1856922";"15017.53";"15040.18";"355455";"0.0530630293";"gender_concept_id"
"(V1 14D+) - (no-vax)";"F";" -0.63005018";"  0.20657350";"Inf";"   -1.0890176";"-1.710828e-01";"V1 14D+";"no-vax";"227";"101319";"3839204.0";" 28";" 54839";" 807620";"15017.53";"15040.18";"355455";"0.0530630293";"gender_concept_id"
"(V2 7D+) - (no-vax)";"F";" -0.98830849";"  0.15152330";"Inf";"   -1.3249647";"-6.516522e-01";"V2 7D+";"no-vax";"227";"101319";"3839204.0";" 56";" 28864";"2120019";"15017.53";"15040.18";"355455";"0.0530630293";"gender_concept_id"
"(V1 14D+) - (no-vax)";"Other VOC";" -0.46081325";"  0.13863996";"Inf";"   -0.7688451";"-1.527814e-01";"V1 14D+";"no-vax";"451";"184744";"6649472.0";" 69";"101546";"1487006";"15032.66";"15050.77";"355455";"0.0107124621";"covid_voc"
"(V2 7D+) - (no-vax)";"Other VOC";" -0.82901882";"  0.10430277";"Inf";"   -1.0607599";"-5.972777e-01";"V2 7D+";"no-vax";"451";"184744";"6649472.0";"127";" 38272";"3379857";"15032.66";"15050.77";"355455";"0.0107124621";"covid_voc"
"(V1 14D+) - (no-vax)";"Delta VOC";"-11.93006183";"694.72448224";"Inf";"-1555.4770263";" 1.531617e+03";"V1 14D+";"no-vax";" 16";" 14362";" 519983.0";"  0";"   601";"  12101";"15032.66";"15050.77";"355455";"0.0107124621";"covid_voc"
"(V2 7D+) - (no-vax)";"Delta VOC";"  0.16722108";"  0.32863052";"Inf";"   -0.5629340";" 8.973762e-01";"V2 7D+";"no-vax";" 16";" 14362";" 519983.0";" 22";" 15930";" 597084";"15032.66";"15050.77";"355455";"0.0107124621";"covid_voc"
