"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"Age 80+";" -1.07080695";"   0.1773685";"Inf";"-1.464886e+00";"-6.767275e-01";"V3 60+";"no-vax";"216";" 24852";" 609489";" 42";" 3927";" 256840";"13103.732";"13126.246";"167681";"8.339245e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -1.58713840";"   0.1796734";"Inf";"-1.986339e+00";"-1.187938e+00";"V3 14-60D";"no-vax";"398";"104210";"2515445";" 37";"25335";" 700434";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.08952826";"   0.1347741";"Inf";"-1.388971e+00";"-7.900855e-01";"V3 60+";"no-vax";"398";"104210";"2515445";" 77";"20241";"1152378";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -1.57406422";"   0.3198083";"Inf";"-2.284618e+00";"-8.635103e-01";"V3 14-60D";"no-vax";"116";" 12268";" 310948";" 11";" 3534";"  90320";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -0.88494327";"   0.2178829";"Inf";"-1.369038e+00";"-4.008484e-01";"V3 60+";"no-vax";"116";" 12268";" 310948";" 28";" 2093";" 135853";"13170.098";"13192.612";"167681";"7.099882e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 14-60D";"no-vax";" 11";" 27614";" 287361";" 29";"14168";" 371980";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 60+";"no-vax";" 11";" 27614";" 287361";" 58";"10137";" 596682";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";"  1.15064914";"   0.8234566";"Inf";"-6.789163e-01";" 2.980215e+00";"V3 14-60D";"no-vax";"  2";" 26653";" 285474";" 19";"14701";" 418774";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";"  1.35317473";"   0.7934107";"Inf";"-4.096345e-01";" 3.115984e+00";"V3 60+";"no-vax";"  2";" 26653";" 285474";" 47";"12197";" 691549";" 3088.641";" 3097.977";"105470";"1.523699e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"0";" -1.40677658";"   0.5249657";"Inf";"-2.573151e+00";"-2.404017e-01";"V3 14-60D";"no-vax";" 44";" 10442";" 308909";"  4";" 2408";"  74327";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";" -1.00147373";"   0.3873254";"Inf";"-1.862038e+00";"-1.409096e-01";"V3 60+";"no-vax";" 44";" 10442";" 308909";"  8";" 2397";" 132745";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";" -2.40950690";"   1.0211346";"Inf";"-4.678276e+00";"-1.407380e-01";"V3 14-60D";"no-vax";" 25";" 11147";" 272131";"  1";" 2630";"  74453";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" -1.07660409";"   0.4925907";"Inf";"-2.171048e+00";" 1.783958e-02";"V3 60+";"no-vax";" 25";" 11147";" 272131";"  5";" 2225";" 127977";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";" -0.38709113";"   0.4684739";"Inf";"-1.427952e+00";" 6.537697e-01";"V3 14-60D";"no-vax";" 20";" 10993";" 276006";"  6";" 2666";"  75598";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";" -0.24853245";"   0.4045227";"Inf";"-1.147306e+00";" 6.502407e-01";"V3 60+";"no-vax";" 20";" 10993";" 276006";"  9";" 2231";" 127337";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";" -1.69051222";"   0.1791389";"Inf";"-2.088525e+00";"-1.292499e+00";"V3 14-60D";"no-vax";"425";" 83896";"1969347";" 37";"21165";" 566376";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";" -1.11549684";"   0.1310810";"Inf";"-1.406734e+00";"-8.242596e-01";"V3 60+";"no-vax";"425";" 83896";"1969347";" 83";"15481";" 900172";"13191.842";"13241.373";"167681";"1.641801e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"< 1y";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 14-60D";"no-vax";"  4";" 11604";" 125052";" 10";" 6576";" 193201";" 3099.139";" 3108.475";"105470";"3.750693e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 60+";"no-vax";"  4";" 11604";" 125052";" 32";" 5626";" 313343";" 3099.139";" 3108.475";"105470";"3.750693e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";"  0.67829732";"   0.6982104";"Inf";"-8.729946e-01";" 2.229589e+00";"V3 14-60D";"no-vax";"  9";" 42663";" 447783";" 38";"22293";" 597553";" 3099.139";" 3108.475";"105470";"3.750693e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";"  0.14445427";"   0.6372736";"Inf";"-1.271448e+00";" 1.560356e+00";"V3 60+";"no-vax";"  9";" 42663";" 447783";" 73";"16708";" 974888";" 3099.139";" 3108.475";"105470";"3.750693e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 2y";" -0.31665475";"   0.4793588";"Inf";"-1.381700e+00";" 7.483901e-01";"V3 14-60D";"no-vax";"  6";" 22867";" 244144";" 22";"12581";" 355857";"13235.075";"13257.589";"167681";"1.938977e-03";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";"  0.31083075";"   0.4511422";"Inf";"-6.915223e-01";" 1.313184e+00";"V3 60+";"no-vax";"  6";" 22867";" 244144";" 52";"10231";" 580826";"13235.075";"13257.589";"167681";"1.938977e-03";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";" -1.59472988";"   0.2076626";"Inf";"-2.056117e+00";"-1.133343e+00";"V3 14-60D";"no-vax";"508";" 93611";"2582249";" 26";"16288";" 434897";"13235.075";"13257.589";"167681";"1.938977e-03";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";" -1.12108885";"   0.1533805";"Inf";"-1.461871e+00";"-7.803063e-01";"V3 60+";"no-vax";"508";" 93611";"2582249";" 53";"12103";" 707405";"13235.075";"13257.589";"167681";"1.938977e-03";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 3y";"  0.08380138";"   0.4370234";"Inf";"-8.871824e-01";" 1.054785e+00";"V3 14-60D";"no-vax";"  7";" 33736";" 358029";" 33";"18252";" 508022";"13222.507";"13245.021";"167681";"2.039601e-05";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"< 3y";"  0.59051072";"   0.4185124";"Inf";"-3.393451e-01";" 1.520367e+00";"V3 60+";"no-vax";"  7";" 33736";" 358029";" 69";"14468";" 826779";"13222.507";"13245.021";"167681";"2.039601e-05";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";" -1.71367756";"   0.2670741";"Inf";"-2.307066e+00";"-1.120289e+00";"V3 14-60D";"no-vax";"507";" 82742";"2468364";" 15";"10617";" 282732";"13222.507";"13245.021";"167681";"2.039601e-05";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";" -1.08313207";"   0.1801158";"Inf";"-1.483315e+00";"-6.829487e-01";"V3 60+";"no-vax";"507";" 82742";"2468364";" 36";" 7866";" 461452";"13222.507";"13245.021";"167681";"2.039601e-05";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 4y";"  0.08946222";"   0.3770640";"Inf";"-7.483029e-01";" 9.272274e-01";"V3 14-60D";"no-vax";" 10";" 43990";" 465236";" 42";"23522";" 649796";"13213.675";"13236.189";"167681";"2.331443e-05";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";"  0.53780353";"   0.3610996";"Inf";"-2.644917e-01";" 1.340099e+00";"V3 60+";"no-vax";" 10";" 43990";" 465236";" 83";"18438";"1058137";"13213.675";"13236.189";"167681";"2.331443e-05";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";" -1.93225649";"   0.4139167";"Inf";"-2.851901e+00";"-1.012612e+00";"V3 14-60D";"no-vax";"504";" 72488";"2361157";"  6";" 5347";" 140958";"13213.675";"13236.189";"167681";"2.331443e-05";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";" -0.88276859";"   0.2238980";"Inf";"-1.380228e+00";"-3.853093e-01";"V3 60+";"no-vax";"504";" 72488";"2361157";" 22";" 3896";" 230094";"13213.675";"13236.189";"167681";"2.331443e-05";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"0";" -1.51800981";"   0.1849630";"Inf";"-1.928963e+00";"-1.107057e+00";"V3 14-60D";"no-vax";"347";"103025";"2462778";" 35";"25487";" 696475";"13094.964";"13117.478";"167681";"9.326245e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";" -0.99872312";"   0.1376745";"Inf";"-1.304610e+00";"-6.928364e-01";"V3 60+";"no-vax";"347";"103025";"2462778";" 75";"19731";"1141192";"13094.964";"13117.478";"167681";"9.326245e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";" -1.64267444";"   0.2924981";"Inf";"-2.292550e+00";"-9.927987e-01";"V3 14-60D";"no-vax";"167";" 13453";" 363615";" 13";" 3382";"  94279";"13094.964";"13117.478";"167681";"9.326245e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"1";" -0.99966653";"   0.2048579";"Inf";"-1.454822e+00";"-5.445108e-01";"V3 60+";"no-vax";"167";" 13453";" 363615";" 30";" 2603";" 147039";"13094.964";"13117.478";"167681";"9.326245e-01";"CCI_Metastatic_Solid_Tumor"
