"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"n_obs";"n_event";"exposure";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high"
"periodno-vax";"period";"factor";"categorical";9;"contr.treatment";"treatment";TRUE;77757;1759;4221328.5;NA;NA;NA;NA;NA;NA
"periodV1 0-14D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;73197;30;822148.5;0.0753438813835633;0.189930076621287;-13.6139183735996;3.31010039762911e-42;0.051925323994711;0.109324314712387
"periodV1 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;47472;158;722142;0.495512503776572;0.0913532678653774;-7.68623506605252;1.51527989725626e-14;0.414280579789378;0.592672341831127
"periodV1 60D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;6906;44;249066;0.482527229177721;0.156258284153127;-4.66354747344043;3.10804443306943e-06;0.355234005766062;0.655434229602612
"periodV1V2 0-13D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;34210;11;437398;0.0524921242736574;0.305426040608044;-9.64911874771963;4.95799527180181e-22;0.0288479549543414;0.0955153706778241
"periodV1V2 14-59D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;27998;133;1076425;0.309401477369192;0.0952925345032044;-12.3106765080974;7.93552141198349e-35;0.256690165902934;0.372937053749219
"periodV1V2 60-89D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20929;77;576021;0.392999524160273;0.126874070836925;-7.36121156782421;1.82248448484619e-13;0.306476105054918;0.503949976663028
"periodV1V2 90-120D";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;20133;80;506407;0.404735587662907;0.125942622706349;-7.18201094767682;6.86934193862435e-13;0.316205076482401;0.518052707259291
"periodV1V2 120D+";"period";"factor";"categorical";9;"contr.treatment";"treatment";FALSE;22407;180;705817;0.681598531675891;0.0949719191807236;-4.03608204411788;5.4351216417599e-05;0.565833168890758;0.821048648126216
