"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"Age < 75";"-1.486639e+01";"1.221126e+03";"Inf";" -2896.023484";" 2.866291e+03";"V3 0-14D";"no-vax";" 29";"33969";"1465955";" 0";"33969";" 348234";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age < 75";"-1.474277e+00";"5.410305e-01";"Inf";"    -2.750799";"-1.977554e-01";"V3 14-60D";"no-vax";" 29";"33969";"1465955";" 4";"17203";" 507847";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age < 75";"-1.101257e+00";"5.006611e-01";"Inf";"    -2.282530";" 8.001649e-02";"V3 60+";"no-vax";" 29";"33969";"1465955";" 5";" 8345";" 867278";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age 75+";"-1.813965e+00";"1.061971e+00";"Inf";"    -4.319607";" 6.916766e-01";"V3 0-14D";"no-vax";" 76";"20298";" 797456";" 1";"20298";" 224668";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 14-60D) - (no-vax)";"Age 75+";"-1.682283e+00";"3.832186e-01";"Inf";"    -2.586460";"-7.781073e-01";"V3 14-60D";"no-vax";" 76";"20298";" 797456";" 8";"11673";" 283512";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 60+) - (no-vax)";"Age 75+";"-1.348858e+00";"3.454808e-01";"Inf";"    -2.163994";"-5.337212e-01";"V3 60+";"no-vax";" 76";"20298";" 797456";"11";" 3540";" 423331";"2551.2371";"2571.5220";"167779";"8.460397e-01";"age_bin_75"
"(V3 0-14D) - (no-vax)";"Age < 80";"-1.546735e+01";"1.161668e+03";"Inf";" -2756.337177";" 2.725402e+03";"V3 0-14D";"no-vax";" 53";"42508";"1783005";" 0";"42508";" 441118";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 80";"-1.506879e+00";"4.121309e-01";"Inf";"    -2.479272";"-5.344864e-01";"V3 14-60D";"no-vax";" 53";"42508";"1783005";" 7";"21880";" 618068";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age < 80";"-1.118704e+00";"3.818732e-01";"Inf";"    -2.019706";"-2.177021e-01";"V3 60+";"no-vax";" 53";"42508";"1783005";" 9";" 9741";"1032465";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age 80+";"-1.430877e+00";"1.064933e+00";"Inf";"    -3.943508";" 1.081754e+00";"V3 0-14D";"no-vax";" 52";"11759";" 480406";" 1";"11759";" 131784";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
