"term";"estimate";"std.error";"statistic";"p.value"
"periodV3 14-60D";-0.621790577557297;0.0914209534408841;-6.80140114661316;1e-11
"periodV3 60+";-1.03836976452218;0.0865189363693442;-12.0016473629477;0
