"term";"variable";"var_class";"var_type";"var_nlevels";"contrasts";"contrasts_type";"reference_row";"estimate";"std.error";"statistic";"p.value";"conf.low";"conf.high";"n"
"periodno-vax";"period";"factor";"categorical";3;"contr.treatment";"treatment";TRUE;NA;NA;NA;NA;NA;NA;NA
"periodV3 14-60D";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;0.153846153846159;0.759554525312741;-2.46434207752348;0.013726503748157;0.0347178369551709;0.681742905925211;NA
"periodV3 60+";"period";"factor";"categorical";3;"contr.treatment";"treatment";FALSE;0.272727272727273;0.65133894727893;-1.99478779759481;0.0460660287901461;0.0760865430259032;0.977573199296675;NA
