"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"Age 80+";" -1.1366181";"1.304761e-01";"Inf";"   -1.4265113";"  -0.84672486";"V3 60+";"no-vax";"383";" 24864";" 612190";" 77";" 3947";" 258144";"22030.458";"22055.595";"167779";"6.152680e-02";"age_bin_80"
"(V3 14-60D) - (no-vax)";"Age < 85";" -2.1898093";"1.982162e-01";"Inf";"   -2.6302083";"  -1.74941039";"V3 14-60D";"no-vax";"686";"104256";"2523739";" 28";"25339";" 700825";"22074.187";"22099.324";"167779";"3.330312e-02";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";" -1.4245841";"1.100848e-01";"Inf";"   -1.6691718";"  -1.17999648";"V3 60+";"no-vax";"686";"104256";"2523739";"106";"20264";"1153819";"22074.187";"22099.324";"167779";"3.330312e-02";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";" -1.5953816";"2.487080e-01";"Inf";"   -2.1479638";"  -1.04279933";"V3 14-60D";"no-vax";"236";" 12275";" 312574";" 18";" 3537";"  90534";"22074.187";"22099.324";"167779";"3.330312e-02";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" -1.0526666";"1.567068e-01";"Inf";"   -1.4008395";"  -0.70449368";"V3 60+";"no-vax";"236";" 12275";" 312574";" 53";" 2108";" 136790";"22074.187";"22099.324";"167779";"3.330312e-02";"age_bin_85"
"(V3 14-60D) - (no-vax)";"M";" -1.7891287";"1.825333e-01";"Inf";"   -2.1946833";"  -1.38357407";"V3 14-60D";"no-vax";"552";" 58797";"1353354";" 34";"14174";" 372390";"22213.465";"22238.602";"167779";"1.500442e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";" -1.2946461";"1.158790e-01";"Inf";"   -1.5521075";"  -1.03718463";"V3 60+";"no-vax";"552";" 58797";"1353354";" 97";"10163";" 598387";"22213.465";"22238.602";"167779";"1.500442e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";" -2.4266445";"2.968558e-01";"Inf";"   -3.0862022";"  -1.76708682";"V3 14-60D";"no-vax";"370";" 57734";"1482959";" 12";"14702";" 418969";"22213.465";"22238.602";"167779";"1.500442e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";" -1.3523666";"1.415115e-01";"Inf";"   -1.6667786";"  -1.03795469";"V3 60+";"no-vax";"370";" 57734";"1482959";" 62";"12209";" 692222";"22213.465";"22238.602";"167779";"1.500442e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"0";" -1.6919467";"4.617166e-01";"Inf";"   -2.7177940";"  -0.66609938";"V3 14-60D";"no-vax";" 91";" 10444";" 309517";"  5";" 2408";"  74397";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";" -1.2825598";"2.888472e-01";"Inf";"   -1.9243240";"  -0.64079567";"V3 60+";"no-vax";" 91";" 10444";" 309517";" 14";" 2401";" 132951";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
