"term";"estimate";"std.error";"statistic";"p.value"
"periodV3 0-14D";-1.14772630159186;0.205689440668733;-5.57989898684346;2.4e-08
"periodV3 14-60D";-1.17649091592475;0.208551657265705;-5.64124462662907;1.7e-08
"periodV3 60+";-1.67518931890212;0.202653523026231;-8.26627286753502;2.2e-16
