"level";"0";"1";"p";"test"
"n";"";"54267";"54267";"";""
"outcome_covid_status (%)";"0";"50373 (92.8) ";"52046 (95.9) ";"<0.001";""
"";"1";"  811 ( 1.5) ";"  190 ( 0.4) ";"";""
"";"2";" 3083 ( 5.7) ";" 2031 ( 3.7) ";"";""
"outcome_hosp_status (%)";"0";"53014 (97.7) ";"53919 (99.4) ";"<0.001";""
"";"1";"  896 ( 1.7) ";"  206 ( 0.4) ";"";""
"";"2";"  357 ( 0.7) ";"  142 ( 0.3) ";"";""
"outcome_hosp_severe_status (%)";"0";"53223 (98.1) ";"54025 (99.6) ";"<0.001";""
"";"1";" 1013 ( 1.9) ";"  234 ( 0.4) ";"";""
"";"2";"   31 ( 0.1) ";"    8 ( 0.0) ";"";""
"outcome_death_status (%)";"0";"53251 (98.1) ";"54028 (99.6) ";"<0.001";""
"";"1";"  820 ( 1.5) ";"  192 ( 0.4) ";"";""
"";"2";"  196 ( 0.4) ";"   47 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"0";"53014 (97.7) ";"53919 (99.4) ";"<0.001";""
"";"1";"  811 ( 1.5) ";"  190 ( 0.4) ";"";""
"";"2";"  442 ( 0.8) ";"  158 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"";"15.00 [6.00, 36.00]";"16.00 [7.00, 43.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"";"16.00 [7.00, 39.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"";"16.00 [7.00, 39.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"";"16.00 [7.00, 41.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"";"16.00 [7.00, 40.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";"";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
