"term";"estimate";"std.error";"statistic";"p.value"
"periodV3 14-60D";-0.954168262193024;0.0789239109919487;-12.0897235096517;0
"periodV3 60+";-1.21962564504749;0.069886224444444;-17.4515887035368;0
