"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Age < 60";" -1.20061160";"  0.3315812";"Inf";"-1.937322e+00";"  -0.46390071";"V1 14D+";"no-vax";"138";" 65878";"2736876.0";" 10";" 40987";" 583282";"13718.79";"13740.97";"355452";"6.551005e-05";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age < 60";" -1.47098376";"  0.2409224";"Inf";"-2.006268e+00";"  -0.93569949";"V2 7D+";"no-vax";"138";" 65878";"2736876.0";" 20";" 20030";"1495438";"13718.79";"13740.97";"355452";"6.551005e-05";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age 60+";" -0.28677828";"  0.1547293";"Inf";"-6.305576e-01";"   0.05700109";"V1 14D+";"no-vax";"293";"133228";"4431846.0";" 56";" 61159";" 915715";"13718.79";"13740.97";"355452";"6.551005e-05";"age_bin_60"
"(V2 7D+) - (no-vax)";"Age 60+";" -0.53324629";"  0.1173297";"Inf";"-7.939309e-01";"  -0.27256169";"V2 7D+";"no-vax";"293";"133228";"4431846.0";"107";" 34170";"2481352";"13718.79";"13740.97";"355452";"6.551005e-05";"age_bin_60"
"(V1 14D+) - (no-vax)";"Age < 65";" -0.99380086";"  0.2391182";"Inf";"-1.525076e+00";"  -0.46252532";"V1 14D+";"no-vax";"194";" 89457";"3663709.0";" 20";" 52788";" 889431";"13710.32";"13732.50";"355452";"6.164029e-06";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age < 65";" -1.38143209";"  0.2011732";"Inf";"-1.828401e+00";"  -0.93446323";"V2 7D+";"no-vax";"194";" 89457";"3663709.0";" 29";" 26282";"1909621";"13710.32";"13732.50";"355452";"6.164029e-06";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age 65+";" -0.05693507";"  0.1722721";"Inf";"-4.396912e-01";"   0.32582105";"V1 14D+";"no-vax";"237";"109649";"3505013.0";" 46";" 49358";" 609566";"13710.32";"13732.50";"355452";"6.164029e-06";"age_bin_65"
"(V2 7D+) - (no-vax)";"Age 65+";" -0.48581485";"  0.1239929";"Inf";"-7.613038e-01";"  -0.21032589";"V2 7D+";"no-vax";"237";"109649";"3505013.0";" 98";" 27918";"2067169";"13710.32";"13732.50";"355452";"6.164029e-06";"age_bin_65"
"(V1 14D+) - (no-vax)";"Age < 70";" -0.67992747";"  0.1888659";"Inf";"-1.099552e+00";"  -0.26030299";"V1 14D+";"no-vax";"230";"115575";"4580032.0";" 34";" 65490";"1165312";"13694.98";"13717.17";"355452";"7.565443e-04";"age_bin_70"
"(V2 7D+) - (no-vax)";"Age < 70";" -1.15323738";"  0.1704124";"Inf";"-1.531862e+00";"  -0.77461314";"V2 7D+";"no-vax";"230";"115575";"4580032.0";" 42";" 32494";"2310760";"13694.98";"13717.17";"355452";"7.565443e-04";"age_bin_70"
