"term";"estimate";"std.error";"statistic";"p.value"
"periodV1 14D+";-0.806629645234694;0.0333616861200835;-24.1783236713899;0
"periodV2 7D+";-1.23642809983359;0.0438029429322944;-28.2270554685039;0
